,Comments,Datetime,num_words
0,It will lower cost and produces at a faster rate  It is good for the world but there should be also producing for America to keep Americans jobs ,2021-03-11,28
1,India has capacity to produce 70% of world vaccines Needs,2021-03-10,9
2,Bananas love india produced vaccines. ,2021-03-10,5
3,Ganga river water cures everything. No need vaccine.,2021-03-12,8
5,This is good news for the eligible cargo drivers.,2021-03-10,9
6,It is good for the selected ones!ðŸ‘ We will take care of them. Let's also extend this initiative to our southern neighbours too. Why stop there. They do provide us our daily necessity too. We must be fair. If not we might lose their supply chain. Together we can make a difference.ðŸ‘ (Remind me who I should vow for in the next GE.),2021-03-10,62
8,"By doing so, govt secures safe logistics of food coming in SG. ",2021-03-10,12
10,The tax payer direct or indirect $$ must be well spend . It should be at discount prices. This apply to those FW or FT in this little red dot.,2021-03-10,28
11,Small in size but having a Big heart.,2021-03-10,8
12,"FEBRUARY 11, 2021  KUALA LUMPUR (Reuters) - Malaysia will extend its free COVID-19 vaccination programme to all foreigners residing in the country, including students, refugees and undocumented migrants, the government said on Thursday.  https://www.reuters.com/article/us-health-coronavirus-malaysia-vaccines-idUSKBN2AB0E1",2021-03-10,30
14,Doesn't matter sharing and keep those in close contact and service provider the vaccine.. As long as all were safe... ðŸ™ðŸ™ðŸ™ðŸ™,2021-03-10,19
15,"The price of a commodity will never go to zero. When you invest in commodities futures, you are not buying a piece of paper that says you own an intangible of a company that can go bankrupt.â€ Donâ€™t work for money; make it work for you.â€ You cannot save time for future use. But you can invest it for the future you.â€ Investing time in yourself is the only safe investment that will give you maximum return throughout life.â€Never depend on a single source of income, make investments to open other opportunities, you're yet to become what you want to be. Reach out to fidelia Armstrong today to make other opportunities in making extra income and you will never regret you did. ðŸ‘‡ðŸ‘‡ðŸ‘‡ðŸ‘‡ðŸ‘‡ðŸ‘‡ðŸ‘‡ Fidelia Armstrong",2021-03-10,124
16,The Singapore Government will bear the cost of the vaccination for eligible cargo drivers. federal will spend a lot of money on this project,2021-03-10,24
17,"Well done , because Malaysia will take about 10 years to vaccinate the whole country. If they inoculate 10K dose per day x 300 days is 3 million dose a year , their population is 30million , so it will take 10 years for the first dose.... second dose, yearly booster dose, PM change, Ruling party change .....so if you consider all this factors, god knows how many decades more or this will not end in our generation. .",2021-03-10,69
18,Spending some money to make the community safe. Isnâ€™t it benefiting for the society at large? More money had already been spent on securing vaccines at an early stage even before trial results are out. Money went into the drain for vaccines with results that did not reach the standard. So it is nothing to compare with giving it to them for free.   Looking far sighted and long term is what our govt have been doing. Priority should really be given to people who come into contact with larger group of people a day.   It make sense to vaccinate Malaysia delivery driver and accompany personnel looking at the high covid rate there. This will keep Singaporean in contact with them safe and in turn prevent spread of covid to locals or forming of a covid cluster thru them. ,2021-03-09,138
20,Not spore govt la...is taxpayers ok. Correct it pls,2021-03-09,10
21,I think the most important question is how can Singaporeans apply to be a Malaysian truck driver? Seriously would take half of the pay for that job of driving the scenic journey from KL and Selangor to Singapore,2021-03-09,38
22,Donâ€™t see a privilege to be a citizen ,2021-03-09,8
23,"Get it back from where u spent, not only from certain group...pls.",2021-03-09,13
24,We need malaysia more then malaysia need us..,2021-03-09,8
25,Singapore government is funded by Singapore tax residents. We are paying for it.,2021-03-09,13
