,Comments,Datetime,num_words
0,”To comply with the law (eg. court order）”is my reason can leave home n meet my kid. ,2020-04-16,18
1,"While it's not mandatory, it's might be best to wear masks whenever we go out. We might encounter others in lifts and a stray cough/sneeze could spread the virus in an enclosed environment.",2020-04-13,32
2,"I have previously posted a query on the Ministry of Health website: Is a private wake allowed on a common  open area  of a privately owned development. This wake is ongoing now the fourth day, obviously they have an official permit to jold a social gathering as an exemption to your circuit breaker guidelines. We ask the site administrator to please respond; the MOH site has not responded to date. Please enlignten us on this issue.",2020-04-15,76
3,"Wat if my friend drive me home after working at night as he stay nearby.taking other transport eg.cab,grab.also seems the same scenario..just sharing point of view.",2020-04-13,25
4,"Hi, please can I confirm that there is no restriction on the number of household members who go out to exercise at one time? Thank you",2020-04-13,26
5,"If we go downstairs to buy meal for less than 10 minutes, do we still need to wear mask?",2020-04-13,18
6,"Happens that my neighbor are going to the market and as myself too was going and driving there,  can we go in the same car the 2 of us",2020-04-13,28
7,Good advice. Hope every S’porean listen n obey.!! Very important.,2020-04-13,11
8,Can one do their exercises at the HDB void deck and jog around the HDB estate??  Or all these activities can be practise when at a Park or jogging at a Park or PCN only??,2020-04-13,35
9,Will be good if u can do one of these videos in other languages eg chinese n dialects for the elderly...just like the other tv channels....,2020-04-13,27
10,"When I don’t see the answer a “No”, I take it as no offences committed.",2020-04-13,16
12,Why TCM is non essential?,2020-04-15,5
13,Do we have this in Chinese? Thanks.,2020-04-15,7
14,What is the hotline number to call? ,2020-04-14,7
15,Donald KatigbakFredrik Jose DonaldCarla KatigbakGibo MonferoNek MilanesMaria Cristina Nogrado EsguerraJennifer Dimayuga,2020-04-14,11
17,Can essential workers have their lunch at hawker center ?,2020-04-16,9
21,"Please allow eating at food courts and restaurants, and save on tons of plastic packing wastes that harm our ecological system.  Social distancing can still be maintained.",2020-05-05,27
22,"☝️ One Minute - Lets Everybody Pray 🙏  ( No Boundaries, No Colour, No Race, No Religious, No Caste )        *****Gentle Reminder *****",2020-04-13,17
23,NO 😷 wearing of masks should banned entry to EVERYWHERE.  No one should sell anything to people without 😷 masks   Stringent action must be enforced No more excuses  😡,2020-04-13,26
24,"Kindly provide updates on their living conditions, the number of workers per room n the distance between them. ",2020-07-08,18
25,Shouldn't have happened. 30 minutes is way too long to disperse.,2020-07-07,9
26,Get those complaints Kings n queens to the dormitory to help since no jobs these days❗ this will help them to mature thereafter,2020-07-08,23
29,Recovered workers means what? No longer infectious? Look like a prison.,2020-07-08,11
31,"Kindly provide updates on their living conditions, the number of workers per room n the distance between them. ",2020-07-08,18
32,Shouldn't have happened. 30 minutes is way too long to disperse.,2020-07-07,9
33,Get those complaints Kings n queens to the dormitory to help since no jobs these days❗ this will help them to mature thereafter,2020-07-08,23
36,Recovered workers means what? No longer infectious? Look like a prison.,2020-07-08,11
38,"Kindly provide updates on their living conditions, the number of workers per room n the distance between them. ",2020-07-08,18
39,Shouldn't have happened. 30 minutes is way too long to disperse.,2020-07-07,9
40,Get those complaints Kings n queens to the dormitory to help since no jobs these days❗ this will help them to mature thereafter,2020-07-08,23
43,Recovered workers means what? No longer infectious? Look like a prison.,2020-07-08,11
45,"Very seldom I hear about collective this and that - when it comes to resources. But when all lives are threatened, then starts teaching about it. Asking people to survive on their own get out to work if can find anything here.",2020-01-31,41
46,"Yes, we will care for each other 🙂 thanks ",2020-01-31,8
48,Thise who think only themselves are not so bright hence self defense.  These are the ones who suffer the worst of everything too . Hence good luck is alway not on their side. Poor people,2020-02-01,34
49,Just admit that you are no prepare.,2020-01-31,7
51,No smoke without fire!!! Not to TCSS,2020-01-31,7
52,We have higher number of infected people than Malaysia.. anyway reason why,2020-01-30,12
54,Cannot find enough masks how to hoard?,2020-01-31,7
56,Please stop China flight! Is so scary,2020-01-30,7
57,We can’t buy hand sanitizer n mask! Tell me how ??,2020-01-30,11
59,Stop all flights from China is the best.,2020-01-30,8
60,"Yes stopping China flights is the first defence, why didn't they do that in the beginning of this year",2020-01-31,18
61,"If you ppl are vigilant enough, this would not have happened.",2020-01-30,11
62,Please stop all the flights from China.,2020-01-30,7
63,"Hello, 3M operates in Singapore no? Why should there be a shortage?",2020-01-31,11
64,"Hmm lets be realistic, taiwan is not exporting anymore mask and China needs them most. How many more mask can we get in the market when most came from wuhan?! Hence the need to reduce local consumption and avoid hoarding so that frontliners in hospital have adequate supplies.",2020-01-31,48
65,Hoarding Mask??? I cant even get 1! All sold out!! What rubbish!,2020-01-31,11
66,The virus broke out way before CNY. No precaution was taken. The sars ordeal thought you nothing.,2020-01-30,17
68,"People who work at the airport are told to wear mask as they come into contact with tourists who visit their stalls. If government holding back the stock of masks, are these people to stop wearing masks at work?",2020-01-31,39
69,"Very seldom I hear about collective this and that - when it comes to resources. But when all lives are threatened, then starts teaching about it. Asking people to survive on their own get out to work if can find anything here.",2020-01-31,41
70,"Yes, we will care for each other 🙂 thanks ",2020-01-31,8
72,Thise who think only themselves are not so bright hence self defense.  These are the ones who suffer the worst of everything too . Hence good luck is alway not on their side. Poor people,2020-02-01,34
73,Just admit that you are no prepare.,2020-01-31,7
75,No smoke without fire!!! Not to TCSS,2020-01-31,7
76,We have higher number of infected people than Malaysia.. anyway reason why,2020-01-30,12
78,Cannot find enough masks how to hoard?,2020-01-31,7
80,Please stop China flight! Is so scary,2020-01-30,7
81,We can’t buy hand sanitizer n mask! Tell me how ??,2020-01-30,11
83,Stop all flights from China is the best.,2020-01-30,8
84,"Yes stopping China flights is the first defence, why didn't they do that in the beginning of this year",2020-01-31,18
85,"If you ppl are vigilant enough, this would not have happened.",2020-01-30,11
86,Please stop all the flights from China.,2020-01-30,7
87,"Hello, 3M operates in Singapore no? Why should there be a shortage?",2020-01-31,11
88,"Hmm lets be realistic, taiwan is not exporting anymore mask and China needs them most. How many more mask can we get in the market when most came from wuhan?! Hence the need to reduce local consumption and avoid hoarding so that frontliners in hospital have adequate supplies.",2020-01-31,48
89,Hoarding Mask??? I cant even get 1! All sold out!! What rubbish!,2020-01-31,11
90,The virus broke out way before CNY. No precaution was taken. The sars ordeal thought you nothing.,2020-01-30,17
92,"People who work at the airport are told to wear mask as they come into contact with tourists who visit their stalls. If government holding back the stock of masks, are these people to stop wearing masks at work?",2020-01-31,39
93,"Frontliners, government and whoever helping to stop the spread of this virus are very very tired. Please just adhere to staying home and stay safe 🙏 for the benefits of all",2020-04-15,30
