,Comments,Datetime,num_words
0,I am grateful for the incredible practical leaders in Singapore in this most uncertain time ,2020-03-20,15
1,"What can we do if the classrooms and staff room in a school are too small to ensure 1m distance apart between students and between teachers?  Also, I think it is not practical for teachers to work from home or to work at staggered hours.",2020-03-20,44
2,"Dear Mr Wong well said. Sad to said, some companies are sacrificing their employees and families health and life. ",2020-03-20,19
3,Please stop doing this because I am the one that has to dispose of it and sanitize the area,2020-03-22,19
4,"This is not the time to be difficult, have a little kindness. SG United.",2020-03-21,14
5,Sir in MRT and MRT station in bus no safety distance please advise,2020-03-24,13
6,Pls implement mamdatory social distancing and mandatory work from home; or staggered hours. if cannot work from home. Keep all schools closed for another 2 weeks.  Pls make it mandatory rather than just appealing to public. Don't wait till numbers get out of control. Do it now while Msia is still on lockdown.,2020-03-22,51
7,Work together and follow instruction. ,2020-03-23,5
8,The mrt is very crowded this morning....some are coughing...can all relevant authorities quickly implement staggered working hours for all including schools..else no point all the social distancing...,2020-03-23,30
9,"we will do what u say... hope this will pass over soon, and thanks for all your hard work ! 😢",2020-03-20,19
10,I just had to walk through a void deck  event that was packed and I was terrified. Daily I have to clean up after people who have to pee and poop on toilet seats.   Likewise I handle trash disposal. It does not help that our customers do not know how to mind public hygiene. I even had to pick up a used mask.  We get people that clear their throats and threaten to spit.  Did I say I am terrified? I cannot afford to be quarantined,2020-03-21,86
11,Think should not even allow gathering of 250! ! Here you are requiring 1 metre distancing there you allowing 250 to gather. ? ,2020-03-21,18
12,What about mrt and buses? People going to work in offices etc. And the students on school? where are the social distancing measures??,2020-03-22,23
13,"Understand distancing also be implemented in Food courts etc.  I wonder how could it possibly be done with 1m apart from another table. In this case, shouldn’t public buses and trains also implement this ?",2020-03-21,34
14,What safe distance are you talking about? you have created a lot of Josephine Small spaces by letting in more than a quarter of a million Malaysians in and our space has become smaller as per Josephine Teo.,2020-03-21,38
15,"Morning train is jammed packed when heading to work,  what measurement taken for transportation Sir.",2020-03-21,15
16,What about void decks wedding ?,2020-03-20,5
17,How about taxi drivers and phv drivers??? Can they work at home ??? Please advise. Especially rental  !!!,2020-03-20,16
18,Sir pls do something on public transport such as buses and trains esp during peak periods. 1m distancing not possible in this case!,2020-03-21,22
19,250 is alot...should not even allow more than 10,2020-03-23,8
20,the problem today is all the new cases are imported so how much distance makes no purpose.  Only solution is ban all foreign entries then only the situations will change,2020-03-20,30
21,Any good suggestion on how to keep safe distance in construction site? It is so dirty and the air not ventilated.....,2020-03-23,21
22,How to distance in buses and mrt....please advise.,2020-03-21,9
23,What about queues in saloons and barber shops and wet markets?,2020-03-21,11
24,"Based on the 1 meter distance rule, there should be an empty seat between two passengers on bus, on mrt, at bus stop. Then most passengers will have to stand. Some negative social behaviour is expected to happen",2020-03-20,37
25,how can we reinforce or help observe the social distancing rules on public transport?  ,2020-03-21,14
27,"Why so many useless policies and rules , just shut down for 30days! The people will not follow simply go down to the ground and check  it’s waste of time . Come down to the ground please ...",2020-03-21,35
28,"I guess this is a good time to fine those who sneeze, cough and having running nose without a mask in public transport. Also to those who spit.",2020-03-21,28
32,250 not consider big gatherings too? Should cancel all gatherings of this amount too!🤦‍♀️,2020-03-20,13
33,"Hi,how about school??There are more then 250 students rite???Is that ok???",2020-03-20,13
34,What abt public transport? How are u going to implement social distancing in MRT trains during peak hours ?,2020-03-21,18
35,"To prevent community spread, please educate restaurants, foodcourts and hawker centres don’t lay cutlery, plates and bowls on tables or leave these items in open trays or containers that’s easily contaminate by people queueing for food as such practice risks exposure to corona virus that just released from an infected person if he/she cough or sneeze.",2020-03-21,59
37,Schools? Study in the open field?,2020-03-21,6
38,The many ah Ma ah gong and foreign helpers congregate outside primary school gates waiting to pick up these  children ,2020-03-21,20
41,why 250 allowed .. unless its essential lets ban all mass events..,2020-03-21,10
42,Are u nuts? 249 is ok!??? Pl lockdown for 2 weeks!!!,2020-03-21,9
43,What about MRT and bus?,2020-03-20,5
44,MRT like sardine everyday.. how to distance?,2020-03-20,7
52,See Malaysia ppl organise and rules https://www.facebook.com/184463598274747/posts/2771361259584955/,2020-03-21,6
53,At the market I still see Muslims greeting each other kissing hands...,2020-03-21,12
54,"Kindly note at least 20% of staffs are still reporting to work in the banking sector (and I believe many other companies as well); with staffs from all depts choosing to not wfh (technically all depts are classifying their line of work as essential svces). Reasons include mindset (older collegues prefer to work from office), convenience (arising from unpreparedness to support staffs to wfh, comfort (air-conditioned office) etc. A simple 'spot check' will uncover the shocking reality, and I hope this will be resolved soon, otherwise no amount of 'circuit breakers' strategies will be effective ty.",2020-04-07,94
55,What about those who are finishing up with their employers and want to go back home to the Philippines like my fiance.,2020-04-06,22
56,As usual..reactive actions..oledy 2months+ into this..,2020-04-06,7
57,Please do the necessary to protect workers. ,2020-04-06,7
59,These measure should be put on since the 1st case reported months ago. Isn't it too late now?,2020-04-08,16
60,"Healthy people should also wear masks to protect themselves especially in public spaces. Thus patients also would like wear masks in public spaces. For healthy people, and for patients, healthy people should also wear masks in public spaces. https://www.youtube.com/watch?v=fH-YdDiQteI",2020-04-06,38
61,"https://www.ricemedia.co/current-affairs-opinion-covid-19-migrant-worker-dorms-delay-inexcusable/  http://twc2.org.sg/2020/04/03/covid-19-the-risks-from-packing-them-in/  By the way, ""Ensure residents are kept well informed, in languages they can understand"" is particularly relevant (have seen some mingling at void deck in the past week).",2020-04-07,28
62," Maggio Capital is one of the legitimate proven and trusted hard money lending private company we have available today in the world today when it comes to online lending companies.We are specialist in equity-based, residential and commercial real estate loans through out California and international levels we give out loans of any kind including personal loan, student loans of any amount we loan out up to a million dollar. Speak to a decision maker today and open up new opportunities to achieve your financial goals kindly contact us with the details below  and get attended to by a loan consultant from our company thank you our loans are easy access to hard money at affordable loan interest rate transactions.  Email: Magiocapitalinternationalloans @ zohomail . com Company Phone:(619) 639-7590 Company Buisness whatsapp:+12019056637 ",2020-04-07,126
63,How about in buses and MRTs? It's always crowded.  Most of our students and workers take a public transport everyday.  Please highlight on this issue.,2020-03-20,24
64,"The government can advise all they want about social distancing but unfortunately look at the smaller restaurants, how can they have more space between tables?  That would means less business for them (to take tables away).  Even for bigger restaurants, they may not want to turn away earnings by having lesser tables. I was just at Coffee Academic in Scotts Square last week, their tables are less than 10cm apart and they love to sit all the guests together in 1 section and closed off other areas for easy serving 🙄.  When customers asked if they can sit somewhere else; the staff said no, the other sections are closed.  Unless government impose some kind of fine to those who don’t implement distancing, many restaurants will not bother. ",2020-03-20,125
65,You should promote mask. Instead of this. There should be sufficient supply now.,2020-03-20,13
66,"Safe distancing is an illusion if not enforced, like PMDs or discrimination against the old, the disabled, those who cannot care for themselves and even Singaporeans ..... the measures you are adopting are insufficient and as long you continue to avoid those tough measures, we will not be able to contain nor delay the spread of the virus.",2020-03-21,57
67,The term daily activities takes a new meaning each day,2020-03-20,10
68,It's ironic the reporters are crowding around him.,2020-03-20,7
69,It's fxxking sick to hear this team of inefficient  enforcer in protecting a bloody small nation,2020-03-22,15
70,"Since this announcement on SAFE Distancing Measure, we can't share lift with our neighbour(s). This morning, I greet my neighbour & allowed her to use the lift first. I then pressed button for the other lift.😳",2020-03-21,35
71,Was at Shengshiong loyang point today. Tape on flooring was done but still no one is following. So crowded and simply this social distancing not working. Decided to get my groceries and leave fast,2020-03-21,34
72,I somewhat agree but how about bus and train all fully pack so what distances apart. We taking public tpt daily perhaps u have your own cars.,2020-03-22,27
73,"How about splitting in public places, I caught a student or a teenage splitting after his cross the traffic lights.",2020-03-20,20
74,Why is he not wearing a mask because he want people be able to see his face ?,2020-03-20,17
75,"Social distancing is never applied at wet markets, people even queueing too close to each other😢",2020-03-24,16
76,Went their last Friday.... Wah! the crowd was like National Day parade squad.specially the restaurants. I left that place even job undone.,2020-03-20,21
77,The doorstop interview just flouted the social distancing measure ,2020-03-21,9
78,Do they disinfect the microphones and devices after each interview? The virus survives on surfaces for days,2020-03-20,17
79,Why not encourage people to put on mask . You can’t see the virus. ,2020-03-22,14
80,"Not ready, it may creates fears and you may get into people tell you not to sit next to them in public transport ",2020-03-21,23
81,They talk as if they can see where is the virus. That 6 ft people still moving around . The queue move . Have you ever do a experiment whether it works. ,2020-03-22,29
82,Can you advice how to keep a distance when in a crowded bus/train?,2020-03-21,14
83,Settle your congested trains and buses first. Don't imply social distancing for show to feel good.,2020-03-23,15
84,This scares me. Singapore might become the next Italy.,2020-03-22,9
85,Look at the people Interviewing you. How close are they with you. Faint.,2020-03-20,13
86,Hard to implement this inside a MRT train ,2020-03-21,8
87,Safe distance?  you can come out with all the necessary measures but do u think it works. Pls walk around n see yourself,2020-03-24,23
88,Nex has the dirtiest toilets among most shopping malls,2020-03-21,9
89,Peak hours MRT & Bus how?,2020-03-20,5
90,"Government is making great n extensive efforts to contain the virus. Keep it up. Social distancing  will not work, especially on crowded buses n trains. Also heartlands coffee shops around Singapore are always crowded with drinkers n diners in the evening. How are the authorities to handle crowded places like coffee shops enviroment? No distancing what so ever 👎👎👎👎👎👎👎👎",2020-03-23,58
91,How to make 1 m a way from the childcate teacher to a child that she take care.???,2020-03-21,17
92,Please wear mask even if your are not sick ,2020-03-22,9
93,Pls consider temporary  closing singapore border except for our own citizen & PR.  We are too tiny a country to handle the high rate of imported Covid cases,2020-03-21,27
94,May i know what is the purpose of distance queuing?,2020-03-23,10
95,Malls n shops are not essential to visit but public transports are a necessity most use it Everyday so where are the priorities lies in implementing this measure.?,2020-03-24,28
96,Safe Distancing Measures is not practical in small country like Singapore.😳  Where is the Safe Distancing in this video clip with journalists???😭,2020-03-20,22
97,Dear Mr Chee hope you  yourself or send your man to coffees shop n Check how dirty and how near each other table seating especially those smoking area tables.,2020-03-22,29
98,"Instead of crowd sourcing, everyone can do crowd sanitizing...",2020-03-20,9
100,VTO is a must.lousy leadership for not closing the border and hence the increase in such huge numbers  of covid carrier.,2020-03-23,20
102,"How to have social distancing while on the MRT , everyday is so many people taking the MRT?",2020-03-22,17
103,This corona plague is for judgement on the oppressive ones  ..😈😎  https://youtu.be/Ae5WWEnnSsc  ,2020-03-22,10
108,Guess you guys can still go to Nex Esther Heng Sidney Oon,2020-03-20,12
109,Rhiannon Eastment Georgia Eastment another one 😂,2020-10-22,6
112,Mental illness and stubborn person only put on their mask!!!,2020-10-27,10
113,We hate wearing the mask!!,2020-10-27,5
115,Mask Mask Mask stop it can? We have enough of it already!!,2020-10-27,12
116,We should remove our mask right now!!!,2020-10-27,7
122,"Singapore hdb landlord doesn’t like the tenant to work from home, how ar ? ",2020-07-15,14
128,I don't think so ..there are so many ppl drinking and gathering outside,2020-08-02,12
130,More logical than my country,2021-02-10,5
133,How does a family with 2 parents and 4 children eat out? Not practical to book 2 tables and split the family up.,2020-08-22,20
134,the extra member can eat at a different table nearby.,2020-08-24,10
135,What about familes with 10 n more members?,2020-08-22,7
136,Yea...we gotta be extra careful but you keep on IMPORTING INFECTED Foreigners who are NON essential (dependants) & way tooo many maids! If during CB people can live WITHOUT maids why NOW must hire so many maids?? ,2021-02-06,37
137,"Precisely,  I used to take 858 long distance to changi airport to work,  always crowded and pack,  what is the measure. Then in the bus,  at time hear people caught or sneezing without mask.",2020-03-24,33
138,"Safe distance has been arranging for Food courts, mall and etc. What abt public transport like mrt and buses specially during peak period?",2020-03-25,23
139,Companies to have workers work from home n to have staggered working hours so that public transport less crowded,2020-03-25,19
140,Mrt and bus can? What plan 4G leaders have during peak hr to keep safe distance....!!!!,2020-03-24,15
141,How if we are in public transports e.g. buses & trains which is much longer time to reach our destination from NEL to City ?,2020-03-24,24
142,Pls advice how to maintain so safe distance while taking public transport...,2020-03-24,12
143,Possible to do all this at home too but what do we do with a little toddler hmm,2020-03-25,18
144,Yep had a packed train ride from Jurong to Tampines yesterday. An hour  and a half duration!,2020-03-24,17
145,How about waiters who come to your table to take orders ? They stood so close to customers and they not wearing masks ?,2020-03-24,22
146,"Wear mask if cannot keep a distance, that's what I do. Others may not agree.",2020-03-25,14
147,Just say to save face.  When ask how to carry it out.  Blurr like sotong,2020-03-24,15
148,How to keep 1m away when it’s so crowded in NTUC?,2020-03-24,11
150,Can give some executable plan for MRT and Bus instead of show some cartoon pictures?,2020-03-24,15
152,"Sadly most of food court design bounces sound a LOT, notwithstanding the equally poor sound proofing area where cleaners collects and sort out dishes and trays. Authorities had been negligent in keeping up our food court designs as first world standards. Today we pay the cost.",2020-08-22,46
153,But queues at Singapore Pools outlets still business as usual with nobody observing social distancing...,2020-03-22,15
154,One imported case will destroy all efforts. Even worse if such imported case started a community spread within Singapore. Travellers clearing custom without any symptoms doesn't means that they are not infected. Putting a 14-days quarantine order on all travellers entering Singapore may be a good measure to start off with.,2020-03-11,50
155,Social distancing?   The Singapore Primary School Sports Council insists  that Primary school children 12 years and under in Singapore will be having the inter school swimming competition at the OCBC Aquatic Centre in April 2020! The Secondary schools will also compete the following week after! The Ministry of Singapore continues to push ahead regardless of the COVID-19.,2020-03-11,55
156,"Perhaps mandate for all entering Singapore to,  for 14 days,  wear masks whenever they're around people, and not partake in any communal activities?",2020-03-11,21
160,"Israel will be implementing 14-day quarantine for everyone entering the nation, starting Thursday.  Perhaps Singapore could consider similar measures, that would minimise the risk of imported cases leading to subsequent local transmission, and sabotaging our local containment/mitigation efforts?  Also, can Singapore create a mobile app where people can opt-in to allow precise-tracking of their movements? This would allow efficient contact-tracing and quarantining of at-risk individuals. Hopefully everyone will opt-in (unless we want to make it mandatory). Also provide in the app a function for recording of key details like times/dates of onset of various symptoms.  In recent days, unlinked cases have been emerging consistently. Perhaps with better contact-tracing enhanced by technology, we'd be able to eliminate the virus from local circulation, and swiftly contain any outbreak caused by imported cases too.  This way, we can increase the likelihood that we will never come to a point where we would need to step-up social-distancing to catch-up with a runaway outbreak that we failed to prevent.",2020-03-11,156
162,This even better. No Tax. Italy.   https://www.bbc.com/news/business-51814481,2020-03-11,6
163,Hello. Tax time. All worry Virus for what? Pay pay pay. Or go to Jail.,2020-03-11,15
164,"Public transport and shopping centres are so crowded nowadays, does this even make a difference?  I thought there are smart scholars in public service who can come up with amazing solutions?",2021-01-22,31
166,Can I suggest the government just spend 100millions buying 10millions boxes of surgery masks (50pcs) from China now?  Then give everyone a box and make sure everyone must wear one daily whenever they leave home. This can last 50 days. Then the government can keep the remaining.  China has a high stock now due to overproduction. Even individuals are allowed to buy 50k boxes easily now.  Take action early before China donates these masks to US or Europe.,2020-03-25,73
167,"All these measures should have been taken weeks ago! I can’t believe schools remain open, social distancing you say? How?",2020-03-26,21
168,"It became worst in schools when kids are restricted  to sit together according to classes at the canteen. there is no ""safe distancing "" practised at all since they have to squeezed together now!",2020-03-25,33
169,"Should have just enforce it all down with immediate effect. We see what happen to msia when they announce a lockdown on 16th March but only takes effect on 18th March. Uds this lockdown is on a Country, thus maybe due considerations are made to announce earlier.  However, we are banning activities deem a potential platform/channel for further  spreading of Covid within our own country. Is there a need for a ""2days notice""? Whats the considerations here? You leave a Grey Area for people to exploit, entertainment venues to ""throw a last party"", and you now advising people not to attend if they intended to. There are so many ""invincibles"", ""i not so unlucky"", ""it wont happen to me"" people around.   We been reactive to situation, yet leaving chance for worsening situation. Hope the next measure(s), regardless how drastic it may be, how inconvenient it could be, how tough it will be, be rolled out with an ""IMMEDIATE EFFECT"" enforcement. 🙏🙏🙏",2020-03-25,159
170,Why not close the construction site.working time worker how to control  safe distance.?,2020-03-25,12
171,Any safe distancing on public transport?,2020-03-25,6
172,That’s really the dumbest thing to do for anyone who joins the last party that can turn out to be the last party of his/her life. ,2020-03-26,28
173,Take note and revoke their licences. Also note all the shareholders and do not renew their respective work passes. ,2020-03-25,19
174,The government should just temporarily take away their license to operate for tomorrow. Issue solved,2020-03-25,15
175,"Make no mistake. When loved ones are removed from your home by ambulance because the virus has hit them hard, you are not going to be able to follow them there, sit by their hospital bed and hold their hand. You are not going to be able to pop in at 7.00 pm for visiting hours. They are going to have no one other than exhausted and brave hospital staff to see them through days or weeks of barely breathing through a ventilator until they either die or recover. They are not going to be well enough to text you.  You are not going to be able to phone the ward to check in on them regularly (staff will be too busy for that). During that time, they will be completely alone, while you sit at home waiting to hear whether they have made it through.  Imagine that person is someone you love dearly. Because it's going to be a reality for many in the coming weeks.  And if that person in hospital happens to be you, going through that ordeal completely alone, it would be nothing less than terrifying.  Please stay home and only go out if absolutely necessary. Social distancing is imperative right now for your family and mine.",2020-03-25,209
176,Singapore pool not a risk? No safety measures too! 🤔 ,2020-03-25,9
177,“Plz” is of no use. Penalty yes,2020-03-25,7
178,When do you suggest lock down Sir??? When figures go up higher.,2020-03-26,12
179,"Can get those people who are not celebrating CNY, like students, NS boys and maybe foreign workers or malaysians who are stuck here, and their companies close for CNY ones to work as EOs. Sure can catch many people flouting rules.",2021-01-23,41
180,"Good idea, can save angbao 👏👏👏",2021-01-23,5
181,“Keep it to family” is advisory or rule? ,2021-01-24,8
182,"Well, stayed at home and be safe. Forget about visitations.",2021-01-23,10
183,"if there is one family consists of 6 members, and lets say this 8 visitors (siblings and parents) all come one shot.. and now total in unit is 14 members... is this ok?",2021-01-23,30
184,https://twitter.com/mediumshawn/status/1352568798587494401?s=19 Trying to create racial issue 😕,2021-01-23,5
185,Sir some PA don't care when said group of 5only  but still group of 7 at my park woodland near 349 doing Tai Zi   and said  approved.,2020-06-26,23
186,"Pls check on Geylang Serai Market Hawker Centre .. yesterday, the place was packed & no safe distancing 🤦🏻‍♀️",2020-06-26,16
187,🙏🇸🇬Agree. Jewel Changi many folliwing advisories👏👏evening in Restaurants. Marina Barrage after 9pm all the way in to the night....breaching. 😥,2020-06-25,20
188,Seen quite a number of secondary students not practicing safe distancing ..... 🙄  Went to Bishan Park in the morning on a weekend... tables of old folks near the dog park chatting without masks... 🙄 ,2020-06-26,32
189,The SDAs require proper training and not just stand around with other SDAs in the shopping mall for air con and chit chat amongst themselves. 🤷‍♀️,2020-06-25,25
190,Think all supermarkets n wet mkts need to implement even n odd days according to their ics...to prevent overcrowding. F&Bs n retail crowds can be easily controlled. Most custs enter retail shops with perceived thoughts of what they want to buy n generally spend 10 to 15 mins in the retail shops. Its the supermarkets n wet markets where crazy crowds are present  esp weekends,2020-06-26,65
191,Thank you for the updated Sir #SGUnited #SGTogether Singapore ❤,2020-06-26,7
192,i think ur ppl should go everywhere yesterday one uncle scold safe distancing ambassador for not wearing mask when entering the supermarket and i dont know how the security can pass him threw...,2020-06-26,33
193,For once I like your tone of insistence to businesses & individuals to take ALL these safety measures Seriously! ,2020-06-26,18
194,"All malls require compulsory Check In. But I have come across malls that don't require Check Out, while some insist. Why such inconsistency? Roti prata policy.",2020-06-26,25
195,it is allow basket court having 20 students.,2020-06-26,7
196,Ohh plenty of small shops & eateries at hdb vicinity no precaution. People also all going out as if covid is gone. Esp dinning with no mask etc,2020-06-26,27
197,Let's remind those PA to work probably.....talking here is too late n in vain. Let's work in unity.,2020-06-27,17
199,Agree ng p penny must take action immediately.,2020-06-28,8
200,"A lot business with no entry to their premises and coffee shop did not comply safe entry requirements and more complacence. As phase 2 activated, those need to eat at coffee shop or any eating area need to safe entry requirements but not enforced, same with those business which lets customers go into their premises ",2020-06-29,54
202,"This is a common sight in jurong Park Central which alot of essential workers used the path between the canal and khong guan factory is located. Every morning between 5.30am to 6.30am, there will be more than 10 essential workers not wearing mask, another group will be smoking while using the park to commute and there is a few who kept spitting. I wrote to NEA to highlight this issue but nothing visible has been done since 1 month ago. I did not see any officers patrolling. I think since they are essential workers and probably handling our food, they do not have proper hygiene practices in the public, I wonder what goes on in the factories.",2020-06-26,115
203,Please check on beaches on weekend nights Friday- Sunday. Especially Changi beach.  People are flocking in group of more than 5. And most of them don't even wearing mask when they just relaxing for chat without social distancing of 1 metre,2020-06-28,38
204,"#tanrottenapple The global recession downturn already started from 2016, corporations making use of attractive book value to selfishly cover themselves like placing a time BOMB waiting for explosion. The COVID-19 Pandemic is not the main culprit, but its accelerated and faster the process which landed us quickly on the rotten ground. Whether any Pandemic or not, the world recession will still be realised slowly at years, but destruction will be far more complicated with more incurable wounds. COVID 19 could be a plot or a gift that successfully wash cards and reset the order. New round of cards new opportunities, new reset of order new development, new decisions new outlook. It’s a whole new world from now on………on the road of better discovery …better approach …better and ever………",2020-06-28,127
205,"When u go for jogging, don't wear masks.  u are supposed to breath in fresh Oxygen and breath out carbon dioxide. Now u recycle your carbon dioxide to become fresh air. But I see a lot of youngsters still wearing masks when jogging.  They follow the uncle and aunt mind set. Wear masks ounce u are outdoor.",2020-11-18,56
206,We need increased compliance checks around hotspots such as Marina Bay and East Coast Park at weekends where violations are common during the late afternoon.,2020-11-18,25
207,"Ideally yes, but realistically there’s still some don’t even wear masks ☹️",2020-11-17,13
208,There’s people pushing their bike who don’t even bothered to wear mask.,2020-11-18,14
210,"With 73 new cases in the last 24 hours, including 3 linked to Dover Court International School and a new cluster involving a preschool, please reconsider temporary closure of all schools. Please do not put our children in harm's way. Regardless of the additional challenges that families will face with children homebound, we cannot in any way put our children at risk at this time. Let's be sensible here, and ensure the health and well-being of Singapore's children is prioritized.",2020-03-26,73
211,"I suggest everyone wear a mask of some sort, since we can’t stop public transport, and isolation in public places. ",2020-03-26,21
212,Why are gyms still open? They’re not cleaned well and every gym I pass has classes of 20+ people in them aka no social distancing and everyone is in there sweating and dropping germs everywhere!,2020-03-26,35
213,"We should call it ""physical distancing"" rather than ""social distancing"", as we should still socially connect via online platforms etc.",2020-03-26,20
214,Pls also help to enforce some restrictions on hdb playgrounds. I have noticed so many kids play together and adults sitting together.,2020-03-26,22
215,"So much for social distancing, go check out the supermarkets! The long queues and the crowd.....speechless ",2020-03-25,17
216,What about the public transport? Please ensure safe distancing in public transport too? They are all the more mass petri dishes since all are aircondirioned enclosed spaces.   https://amp.scmp.com/news/china/science/article/3074351/coronavirus-can-travel-twice-far-official-safe-distance-and-stay,2020-03-26,27
217,"Should monitor on Western Union . Yestersay I happen to pass by one of Western Union , there are many Queeue like sardine pack from inside the shop all the way outside. Understand those who can not go back home country need to send money. But it come after social distancing and less crowding should be first as this is the time that need extra care and attention. Western Uninon Remittance please make sure your customer are comply with Government guidelines on covid 19.",2020-03-26,81
218,What about external training for employees? Are they allowed to have class sizes that are larger than 10?,2020-03-25,17
219,"there are 10 people within 1 meter radius when I stand in purple line at 6pm today toward punggol, how can I practice social distancing? 🙄",2020-03-25,22
