,Comments,Datetime,num_words
0,Hat off to all the frontline...May GOD bless you all with good health...,2020-12-28,14
1,Respect and Salute to our Healthcare workers for their sacrifices to keeping us safe. God bless.,2020-12-29,16
2,Thanks Singapore for keeping us safe..specially the health care and frontliners bravo and we salute you all...god bless us all,2020-12-28,22
3,"Thank-you health workers, on ground heroes & ministers too who planned & executed every phase so strategically . 👏",2020-12-29,14
4,Salute to all the health care heroes..💪💪👏👏👏  Thank you very much for all the sacrifices 🙏🙏,2020-12-28,15
5,Salute to the frontline workers for the endless hard work. Thanks & stay strong 💪🏼🙏🏼👍🏼 United together ,2020-12-28,15
6,"Salute to the health workers. Where have you been all these while, Minister for Health? You have been pretty quiet over the last few months..",2020-12-28,25
7,A heartfelt note of appreciation to all healthcare staff and our national leaders for the hard work and decisive steps taken to help us ride through 2020!,2020-12-28,26
8,Thank you so much for all the sacrifices that the healthcare staff and our National leaders of Singapore to fight a forth this year to reach phase 3.,2020-12-28,27
9,Thank you health workers and help in maintaining our  healthcare system to be great and efficiency. ,2020-12-28,16
10,Salute and thank you to all the health workers of singapore..,2020-12-28,11
11,Thank you healthcare workers! You have our utmost respect and appreciation! 👏🤝,2020-12-28,11
12,Thank you for your service and your dedication to keep us safe. You all are our heroes♥️,2020-12-29,17
13,Thank you to all our health care workers who had risked their own health taking care of all the covid 19 patients.,2020-12-28,21
14,Thank you so much all frontline healthcare of  Singapore,2020-12-28,9
15,Praise is fantastic but please give our frontliners the fat bonuses they deserve for all their hard work! 💪👏 They need to eat well to build up their physical health.,2020-12-28,29
16,Thank you to all the healthcare workers and also to all the cooperative Singaporeans who have endured hardship in bringing us to Phase 3.,2020-12-29,23
17,"Thank you again, healthcare heros. We can never thank or appreciate you enough for your sacrifices and excellent care. Merry Christmas and be in good health!",2020-12-28,26
18,"Maybe on top of reassuring words also just provide many more additional incentives, benefits, perks for our healthcare workers, both in their workplace and as part of their job. Good words are only as good as the deeds that accompany them.",2020-12-28,41
