,Comments,Datetime,num_words
0,Happy Chinese New Year to All Singaporean and to All Chinese around the World💐❤️🎈,2021-02-12,14
1,Happy chinese new year everyone..,2021-02-12,5
3,"Good morning Gong Xi Fa Cai ,good health always 😊💕💕💕",2021-02-13,9
4,Happy new year to all of us!,2021-02-12,7
7,😇✨🧧🌏💓🌎💪🌍🧧 C 🧧 🌈🐄 N 🐄🧧 Y 🌈 A HEALTHY IS G(💓)LD 👍✨😇,2021-02-12,8
16,"During house visits, people are cursing MOH.  OMG.",2021-02-13,8
17,"This Ox year, I hope America will stop bullying China. The whole world Chinese will thank Americans.",2021-02-13,17
19,O the frind in a few days and I will be there ❤️😂,2021-02-12,12
20,https://www.facebook.com/1663012860577644/posts/2819931138219138/  hello hi there to whom it may concern at ministry of health and in this post here we all can see clearly that the young man in black polo tee can be seen not wearing his mask properly and is just so clear that is mask is below his nose and shouldn't he be fine and i know that ministry of health is fair and strict too and so please take action on this young man for flouting the covid 19 rules and regulations thank you.,2021-02-17,84
23,"Think out of box, use prerecord message to replace shouting while tossing yusheng la.",2021-01-24,14
24,If the Mainland Chinese allowed to visit Singapore during this CNY. After CNY sure cases goes up.,2021-01-25,17
28,"I will bribe my next door neighbour with 2 oranges, bak kua,Lian know and ask him to close 2 eyes and don't count as I expect more than 8 visitors. Love thy neighbour.",2021-01-26,30
29,"So time to revise dining out,  increase the number to 12 pax max but with safe distance measures still...  Visitors to different household also should be increased to 10pax this allow family members to bond...  We also want to encourage bonding  which this Covid 19 has caused a lot of isolation ",2020-09-23,48
30,And gatherings of friends of more than 5pax is not allowed? Explain?,2020-09-24,11
31,When we all workers can go anywhere in Singapore,2020-09-23,9
32,I’d like to suggest that those of us who are serving Singapore so well by increasing the birth rate not be penalised by having to get a separate kid’s table when we eat out at restaurants. I can’t even take my kids out to eat without making some of them sit at a separate table. 🤦🏻‍♀️,2020-09-23,58
33,100 people? Are we planning to return to Circuit Breaker ? ,2020-09-23,9
34,how about the funeral service can go to 100 people,2020-09-23,9
35,When dormitory workers allow to go community .?,2020-09-23,7
36,How about funeral service also increase to 100 people?,2020-09-23,8
37,"Wedding ceremonies can be a cultural importance to almost all races in Singapore, will the Ministry allow more than 100 people for the occasion if the venue/hall is good enough to accommodate more guests say up to 200...",2020-09-24,37
38,Can we play 11 aside football?,2020-09-23,5
39,And why dining with immediate family members still restricting it to 5 persons per table? Can't comprehend,2020-09-23,15
40,What about religious prayers with karaoke type singing in private homes. Are this allowed?,2020-09-24,14
41,How about those who flout the rule of wearing masks? I still see many not wearing masks. ,2020-09-23,17
42,But then eat outside with my family only 5 pax lai I clap for you forever and ever,2020-09-23,17
44,"When covid-19 (or coronavirus as it was named) first started, the gov was slow to react and even advised that wearing of face mask was not required then.  Even though there is a decreased in number of cases here in SG, there are still transmissions happening, especially in the dormitories. And the number of daily transmissions around the world is still very high. Yes, numbers are low here. Yes, there are screening at all our borders to prevent inbound infections. Yes, there are having safe distancing rules. Yes, there are laws to punish those who do not follow the rules. So what! Are all this measures full proof? No it's not. The situation is still in the pandemic stage across the world. Until the number of transmissions are reduced, the chances of transmissions are still high. Gov.sg,you Reacted Too Slowly in the beginning, now you are Reacting Too Fast rushing into opening up the community.",2020-09-26,154
45,What about international travel? I want to visit Singapore! ,2020-09-26,9
48,Sin Rashid Mona A Rashid,2020-09-24,5
49,Why can't we remove our mask when are are outside?,2020-09-23,9
50,"I think the change on wearing mask adjusted from 2yo to 6yo may need to review again. At 6yo, kids are practically attending K2. Most centers grouped their K1 & K2 in the same center....from my personal encounter. Which means these K2 kids may be wearing mask while the K1 kids do not need to do so. It may be a measure tough for centers to adhere. May i suggest that this measure be either adjusted from 2yo to 5yo or 7yo. Then it’s either all kindergartens kids to wear or not to wear mask. This will also help centers from encountering issues where some parents arguing abt age for kids whose birthdays are around end of year.",2020-09-23,108
52,"I think Ministry of Health, Singapore should review restrictions for incoming travelers from India. Why does It takes so long for you to implement this measure when you ban China pretty early? I thought i read that they are supposed to be tested covid free before departure but apparently seems not so. And Does the covid cert now helps? There are so many fake certs made in India as your media reported. Wondering if you will relook at it if there is better way? Thank you 🙏 ",2020-09-23,86
53,"We still not have  vaccine yet , 100 pax In one event is too many  . Just hope we not return to CB .",2020-09-24,20
54,Stop forcing everyone to put on their mask anymore can?,2020-09-23,10
55,What about sports I’m larger groups? Soccer for example. 22 people playing sports together is less than 50 people at a wedding ain’t it? Plus you’d get more verbal interaction at a wedding than among those 22 people playing soccer. Consistency much?,2020-09-24,42
56,Rahmah Hussin for your info,2020-09-23,5
57,Better to also enforce everyone to wear a mask when taking public transport this will be even more effective in slowing the spread of the virus,2020-04-03,26
58,No wonder you guys taking tighter measure cause it is spreading like crazy: https://youtu.be/lMjGt0YHxxs,2020-04-03,13
59,Please note that not all are abiding to law of social distancing especially queue at Supermarket they just ignore it and thermometer are faulty at restaurants how to monitor the virus from spreading on such cases please do a check on the ground and make them do the proper job.,2020-04-03,50
60,How do I report a pharmacist still at work today while having cough? She coughed so many times with a mask on but isn’t she suppose to be on 5 days MC ? Location at Oasis Guardian today. I told the Sales staff n cashier n they noted that she’s sick n coughing n they doesn’t dare to tell her to go home. So what can I do in this situation if own colleagues just keep quiet even after I complaint n she’s still serving customers. ,2020-04-03,88
61,Plz dear  MOM  the Singapore's lots of Foreign worker coming work in here. they every month take few money like if they have work than there get money either can't take any single of cent.. plz take care those man they were suffer this prob.🙏🙏🙏🙏🙏 The all man are not same.  The Foreign worker aslo part of the family member in Singapore gov... So plz also take a responsibility  for those kind of people,2020-04-03,72
62,"One more measure is being overlooked, please arrange for rapid test kit , which is available.... activate retired nurse or medics corp , arrange home test , if someone suspect himself or herself with COVID , they call hotline and response team arrives to test ....this is highly necessary. Please look into this ,   It will greatly reduce risk of exposure to COVID",2020-04-04,58
63,"Happy on the use of reusable masks to stop the spreading. Thank you minister Wong and taskforce, finally. Will be good to make it mandatory to wear these masks whenever ones go out. 👍",2020-04-03,33
64,"yes, please be more stern and assertive. people just don't get it really, this concept of social distancing.. i don't know how to further simplify how much it'll help but really.. stubborn people will remain stubborn, so please do be stern and enforce the need for social distancing on those who jussssst can't get it. we can try our best to educate and advice, but some really, it just won't get into their head.. ""drinking together only what"".. ""not so near what"".. ""aiyah, ok one lah"".. many are still complacent, especially those who've never been critically ill or have a critically ill love ones.. so please, for stubborn people, please do have authorities to help make sure they disperse and go home, not loiter and later regroup to catch up, chillout, jam, game together etc...",2020-04-05,129
65,Finally our Iron Teeth Papaya Minister come out and say wearing a mask is correct.  As usual any mistake done by them without any apology.,2020-04-03,25
66,Thank you for a near lockdown.... Very well planned and thought of.  Thank you,2020-04-03,14
67,"Ministry of Health, Singapore Good job . Any new measures is most welcomed at this most crucial phase to fight this stubborn virus.   However I feel we are having a missed opportunity here in curbing the number of imported cases. Although , the number of imported cases have steadily dropped, there is still a few cases Everyday . At the moment , we must drill that mindset that even one case is one too many.   Thus , I had hoped the recently announced circuit breaker measures would have included a semi closure of air travel into Singapore for a period of time. We could have used this measure to stop the number of imported cases to zero , so that we could fully concentrate on bringing the number of local infections down.   I do hope the officials will consider also suspending all passenger arrivals and departures for this one month and to only allow cargo flights to operate. This timeframe would help our medical resources to fully concentrate on all local cases. ",2020-04-03,166
68,Omg mostly Malaysian can go bk Liao no job for them as sg company closed 1 mth 😓😓😓 Monday sure many car in custom Liao 😓😓😓,2020-04-03,23
69,Perhaps can Ensure All Food Preparations are done wearing masks for this Crucial Hygiene Period 😷,2020-04-03,15
70,The way to stop the spread is to lockdown all countries.. I said it 2 months ago.,2020-04-03,16
71,"Dear MOH, pls send out notice about joggers/walkers/cyclists also need to practice safe distancing. Lots of people still neglecting this. Thanks",2020-04-04,23
72,You doctor ah...Does it mean she is infected when she cough. I use to cough for almost 2 months but still go back to work as doctors from KTPH and Yishun polyclinic found nothing.,2020-04-04,34
73,A taskforce be created to patrol around. Teenagers very difficult they ignore and go out. Elderly always drink coffee sit at coffee shop.,2020-04-03,23
75,"This was long, long overdue.",2020-04-04,5
76,Why aren't we into Red Alert yet?,2020-04-03,6
77,Dorscon Red without labelling it??,2020-04-04,5
78,"We thank Minister Wong and Gan for finally making the correct decision to encourage wearing mask in public. The communication should be more focus on stopping the spreaders rather than keeping one safe. As long as we can mitigate virus droplets flying, we have succeeded. Scream, if you see someone not wearing mask in crowded and enclosed places, like market, shopping mall, buses and MRT. Peer pressure is the most effective. Support the frontline to flatten the curve.",2020-04-03,78
81,So are we on Dorscon Red now yet?,2020-04-03,8
82,Kanchiong spiders all panicky liao,2020-04-03,5
85,"MOH, please be aware that privately arranged hitching services like GrabHitch may be an overlooked highly Covid-19 spreading potential if they are not banned. These services also affected the main fulltime businesses on taxi and PHV services. Please look into enforcing them.",2020-04-04,42
86,"I have a widow neighbour who stays alone in her unit. Her daughter, with her family of 4, still come and visit her over the weekend and stay overnight. Can meh? I am really confused. ",2020-04-19,34
87,Plz dear  MOM  the Singapore's lots of Foreign worker coming work in here. they every month take few money like if they have work than there get money either can't take any single of cent.. plz take care those man they were suffer this prob.🙏🙏🙏🙏🙏 The all man are not same.  The Foreign worker aslo part of the family member in Singapore gov... So plz also take a responsibility  for those kind of people,2020-04-03,72
