Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Hat off to all the frontline...May GOD bless you all with good health...,28/12/20,14,Circuit Breaker,14,1,-11.41041115,1,0,1,16.61032234,2,0,0
Respect and Salute to our Healthcare workers for their sacrifices to keeping us safe. God bless.,29/12/20,16,Circuit Breaker,16,1,-11.42892442,1,1,2,14.10040367,2,0,0
Thanks Singapore for keeping us safe..specially the health care and frontliners bravo and we salute you all...god bless us all,28/12/20,22,Circuit Breaker,22,1,-12.40730758,3,1,3,13.81653873,2,0,0
"Thank-you health workers, on ground heroes & ministers too who planned & executed every phase so strategically . 👏",29/12/20,14,Circuit Breaker,15,1,-13.05834882,2,0,0,16.87838266,2,0,0
Salute to all the health care heroes..💪💪👏👏👏  Thank you very much for all the sacrifices 🙏🙏,28/12/20,15,Circuit Breaker,15,1,-10.37766393,0,0,1,16.87838266,2,0,0
Salute to the frontline workers for the endless hard work. Thanks & stay strong 💪🏼🙏🏼👍🏼 United together ,28/12/20,15,Circuit Breaker,15,1,-10.89725841,0,0,0,20.5002706,3,0,0
"Salute to the health workers. Where have you been all these while, Minister for Health? You have been pretty quiet over the last few months..",28/12/20,25,Circuit Breaker,25,1,-9.805866572,4,1,1,18.47250603,2,0,0
A heartfelt note of appreciation to all healthcare staff and our national leaders for the hard work and decisive steps taken to help us ride through 2020!,28/12/20,26,Circuit Breaker,27,2,-10.68965947,3,1,2,16.61032234,2,0,0
Thank you so much for all the sacrifices that the healthcare staff and our National leaders of Singapore to fight a forth this year to reach phase 3.,28/12/20,27,Circuit Breaker,28,2,-9.951030894,2,1,2,10.28006393,2,0,0
Thank you health workers and help in maintaining our  healthcare system to be great and efficiency. ,28/12/20,16,Circuit Breaker,16,1,-10.24947102,3,1,2,16.61032234,2,0,0
Salute and thank you to all the health workers of singapore..,28/12/20,11,Circuit Breaker,11,1,-10.60727342,0,1,1,20.41697144,3,0,0
Thank you healthcare workers! You have our utmost respect and appreciation! 👏🤝,28/12/20,11,Circuit Breaker,11,1,-10.96392571,2,1,2,26.8352074,3,0,0
Thank you for your service and your dedication to keep us safe. You all are our heroes♥️,29/12/20,17,Circuit Breaker,17,1,-10.06925515,2,1,4,36.26203009,4,0,0
