Unnamed: 0,Unnamed: 0.1,Comments,Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,0,"Happy 元宵节, our Beloved PM - Wishing you & your family Abundance of good health & happiness! Under your steadfast leadership Singaporeans are blessed to be able to celebrate our Lunar New Year on a smaller scale compared with many other countries. Thank you for giving us a safe & peaceful environment. 🙏🙏🙏",26/2/21,47,Social Distancing,48,2,-12.431076724741455,7,0,7,2.1139436225937644,0,0,0.0
1,1,We pray and hopeful next year Chinese new year will  better than this year.Honorable PM who comprehensive trying free from pandemic of Singapore,26/2/21,22,Social Distancing,24,1,-11.431987332224605,3,2,0,7.430894621083496,1,1,0.0
2,2,"Yes ! I believe that if everyone does their part seriously in compliance with all the mandatory Social Distancing Management at all times, support the vaccination drive, working with the new mindset of the new normal, strive with patience and resilience against all the odds, we can celebrate with the roar of jubilation for our success in containing the world worst pandemic in history.",27/2/21,63,Social Distancing,63,3,-10.782605488887295,6,2,2,1.841150861709221,0,0,0.0
3,3,Fingers crossed I can be in Singapore for Chinese New Year in 2022!,26/2/21,12,Social Distancing,13,1,-11.381564385383742,2,0,1,8.157520887733781,1,0,0.0
4,4,"Thank you for leading us well that we are able to celebrate our lunar new year, unlike most of the other countries. Happy 元宵节 to you and your family our dear PM Lee.",26/2/21,32,Social Distancing,32,2,-10.646137942851196,4,1,7,5.58231984906241,1,0,0.0
5,5,Thank you PM Lee ! I spotted beautiful rainbow lanterns at AMK Central tonite too ! How stunning in the dark ! Thank you for being the RAINBOW 🌈 to SINGAPORE & making our AMK pretty too 😍👍,27/2/21,32,Social Distancing,32,2,-12.52239928303805,4,0,3,4.12990220903046,0,0,0.0
6,6,Hope to be able to join you in Singapore before the next New Year and for the next New Year to visit family.,26/2/21,23,Social Distancing,23,1,-9.623495254202295,3,2,1,6.8321534768721595,1,0,0.0
7,7,Happy yuan xiao our dearest PM lee,26/2/21,7,Social Distancing,7,0,-16.359535220341666,0,0,1,10.458498421283293,2,0,0.0
8,10,"Good evening Mr PM Lee Hsien Loong . Thank you Sire for sharing the Last day of CNY ""Yen Siao Chey"" . Time flies and so fast it passed . Certainly this CNY is celebrated in a new norm way under the influence of COVID19 but still traditions and meanings Of CNY Greetings, hong baos abd orange exchanging and small groups of family gathering is still carried out . Wishing You , Sire amd Mrs Lee-Ho Ching have a great time of Chap Goh Mei",26/2/21,79,Social Distancing,80,3,-13.734387907741372,10,4,2,0.921576527159507,0,0,0.0
9,12,Lee Hsien Loong! I misssss SG so much hahaha. Yeah travel travel... So hoping that the Covid vaccination works for the whole 🌎,4/3/21,22,Social Distancing,22,1,-12.772051716349214,3,0,0,4.5467838350471865,0,0,0.0
