Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Thank you for all the hard work through this difficult times! Singapore is very fortunate to have someone like you who is so passionate and so committed to bring greater good to the community! Salute!!,2/3/20,35,Vaccination,35,2,-9.833124999,4,1,2,6.111149617,1,0,0
THANK YOU SO MUCH to you & your team for the hard work in keeping Singapore safe! Really appreciate it!!!,1/3/20,19,Vaccination,19,1,-11.76895517,2,0,2,8.963978707,1,0,0
Thank you to you and all your colleagues for doing a great job looking after Singapore!👍👍👍,3/3/20,16,Vaccination,16,1,-9.900805927,2,1,2,11.51657661,2,0,0
"It will be good if everyone keeps their own log of their activities during this period. In case you are really one of the positive cases or a close contact, the tracing will be less tedious for the contact tracers.",1/3/20,40,Vaccination,40,2,-10.32165954,4,2,1,4.380609579,0,0,0
Thanks for doing what you guys have been doing. Since CNY! ,22/3/20,11,Vaccination,11,1,-10.84830656,5,0,1,25.06360687,3,0,0
"A big THANK YOU for your monumental efforts. I’m sure you’re all thoroughly exhausted yet still putting in your best, day in, day out.",1/3/20,26,Vaccination,24,1,-11.37901232,3,2,3,8.447591799,1,0,0
Countries like Taiwan still dun appreciate what u guys are doing. But I do. Respect. N a big thank you,3/3/20,20,Vaccination,20,1,-11.3119355,6,1,1,9.026992087,1,0,0
"Glad that he and his colleagues are doing this difficult task. Not sure how long they can keep it up though, he’s cheerful but it’s also clear that he looks tired out. ",4/3/20,34,Vaccination,32,2,-10.44610015,5,4,0,11.94874885,2,0,0
Must purposely use the still at this moment huh,1/3/20,9,Vaccination,9,0,-11.67807234,1,1,0,16.3881304,2,0,0
I'm incredibly impressed by the contact tracing team. SPF may want to consider them if they want a career switch but this guy looks so happy with his job. Kudos to him & his colleagues. 🙌🏼,7/3/20,33,Vaccination,34,2,-10.81678939,6,2,0,4.746664147,0,0,1
Not all heroes wear Cape...,1/3/20,5,Vaccination,5,0,-12.46265983,1,0,0,25.06360687,3,0,0
Truly appreciate the people doing the contact tracing. Makes a huge difference. Gratitude for their dedication and passion.,3/3/20,18,Vaccination,18,1,-11.35764745,3,1,0,6.336397918,1,0,0
Kudos to all who are actively involved during tis critical period whether frontline or esoecially those backend where no one knows. Cheers n a BIG Thank You ! God Bless !,3/3/20,29,Vaccination,29,2,-13.01208452,4,1,0,4.203777179,0,0,0
"I think all of us should start listing down the info now, (touch wood) should any of us or the ppl we have in contact caught the virus, we can produce the info fast and accurate, and of cos make these contact tracers' job easier.",3/3/20,45,Vaccination,45,2,-11.09044226,7,2,2,3.773224514,0,1,0
Contact tracing requires alot of patient  etc... they are also frontliners helping to arrest the spread if pandemic.. they must be recognised for their efforts n work. Keep it up to all of you there!  Weare counting on you ;) thank you,4/3/20,41,Vaccination,41,2,-11.62210666,9,2,2,4.746664147,0,0,0
He is so cheerful n so positive in his work.. Looks passionate also~   Thank you for the hard work in compiling within a span of 2 hours,1/3/20,26,Vaccination,27,2,-10.94508099,2,1,1,6.984667994,1,0,0
