,Unnamed: 0,Comments,Datetime,num_words
0,0,Hat off to all the frontline...May GOD bless you all with good health...,2020-12-28,14
1,1,Respect and Salute to our Healthcare workers for their sacrifices to keeping us safe. God bless.,2020-12-29,16
2,2,Thanks Singapore for keeping us safe..specially the health care and frontliners bravo and we salute you all...god bless us all,2020-12-28,22
3,3,"Thank-you health workers, on ground heroes & ministers too who planned & executed every phase so strategically . 👏",2020-12-29,14
4,4,Salute to all the health care heroes..💪💪👏👏👏  Thank you very much for all the sacrifices 🙏🙏,2020-12-28,15
5,5,Salute to the frontline workers for the endless hard work. Thanks & stay strong 💪🏼🙏🏼👍🏼 United together ,2020-12-28,15
6,6,"Salute to the health workers. Where have you been all these while, Minister for Health? You have been pretty quiet over the last few months..",2020-12-28,25
7,7,A heartfelt note of appreciation to all healthcare staff and our national leaders for the hard work and decisive steps taken to help us ride through 2020!,2020-12-28,26
8,8,Thank you so much for all the sacrifices that the healthcare staff and our National leaders of Singapore to fight a forth this year to reach phase 3.,2020-12-28,27
9,9,Thank you health workers and help in maintaining our  healthcare system to be great and efficiency. ,2020-12-28,16
10,10,Salute and thank you to all the health workers of singapore..,2020-12-28,11
11,11,Thank you healthcare workers! You have our utmost respect and appreciation! 👏🤝,2020-12-28,11
12,12,Thank you for your service and your dedication to keep us safe. You all are our heroes♥️,2020-12-29,17
13,13,Thank you to all our health care workers who had risked their own health taking care of all the covid 19 patients.,2020-12-28,21
14,14,Thank you so much all frontline healthcare of  Singapore,2020-12-28,9
15,15,Praise is fantastic but please give our frontliners the fat bonuses they deserve for all their hard work! 💪👏 They need to eat well to build up their physical health.,2020-12-28,29
16,16,Thank you to all the healthcare workers and also to all the cooperative Singaporeans who have endured hardship in bringing us to Phase 3.,2020-12-29,23
17,17,"Thank you again, healthcare heros. We can never thank or appreciate you enough for your sacrifices and excellent care. Merry Christmas and be in good health!",2020-12-28,26
18,18,"Maybe on top of reassuring words also just provide many more additional incentives, benefits, perks for our healthcare workers, both in their workplace and as part of their job. Good words are only as good as the deeds that accompany them.",2020-12-28,41
19,19,"Please thank our frontliners with better pay structure and benefits for the nurses, Social workers and hospital support staff.   Forever grateful to all who are working in healthcare esp those who looked after my family in 2020 🥰🥰",2020-12-28,36
20,20,Please be vigilant against the new strain of covid,2020-12-28,9
21,21,It is my pleasure and honour to serve as a health care practitioner! ❤️,2020-12-28,13
22,22,Not helped by lies on masks and mediocre clueless leadership.. benchmark salary and performance with the Kiwis please.. and be the first to take vaccine from China..,2020-12-28,27
23,23,"Most memorable :-  ""Don't need to wear mask if well""!!!  Still counting :- 29 DEATHS n deaths due to complications!  Incompetency n shortage of mask hoping herd immunity is criminal liability!!!",2020-12-29,27
24,24,"Thank you for the hard work and let’s keep Sg safe, stay clean too🙏🏼🧼",2020-12-28,15
25,25,Excellent summary and great motivation to strive hard for the coming new year.,2020-12-28,13
26,26,"To all the health care workers, including the support workers, thank you!",2020-12-28,12
27,27,Dont just talk. Shower them with monetary bonus!,2020-12-28,8
28,28,"Don't forget being flipflopped about the need to wear masks by our pm and being called idiots by ccs. I do agreed that some of the behavior for stocking up were not the prettiest but through them we saw the true government talents, whatever G they fall in.",2020-12-28,47
29,29,I am so proud to be living in Singapore during this extraordinarily difficult time. The government has achieved a remarkable feat in combatting the Covid-19 virus by providing clear strategy and marshaling the passion of the citizens to work diligently to protect themselves and others. Bravo to the MOH and our resilient neighbors here in the Lion City.   2021 will be a better year and it’s almost here! 😊,2020-12-29,68
30,30,"Well done to all for being so disciplined, and esp the nurses & doctors handling those heavy case loads..",2020-12-28,18
31,31,"Thank u all,I just feel each & everyone of us got a role to play in ourselves to stamp this virus down.Even for those in food delivery & hawkers aunties & Uncles who sell fd they do also had contributions w/o them selling fd we may all go to hunger.For we Sporeans so long we practice Social Distance,hand hygiene total we stand in together we can make it💪🏻Wat a year to go through in this 2020.Let’s stride on 2021 with steps taken to look ourselves so tat to lessen our healthcare workers & Govt burden to stay safe w our love ones.May all of us stay in gd health & take care!💪🏻🙏",2020-12-29,107
32,32,"Ain't disease killing human kind... its human's inventions, negligent towards other living things and destroying planet earth that causing humans destruction someday. Well...well.. thanks to those those who put a great effort into containing this bloody virus in Singapore, especially those frontline personnel. 👏👏👏",2020-12-29,42
33,33,"Why no one mention frontline workers like security,cleaner,etc for all the extra workload that persist til now and still going on til we all don know when?Please be fair when giving due credits for all those that are involved in this hardship period.",2020-12-29,46
34,34,We thanks our leaders safe guarding our main gantry of singapore. Our citizen who follow instructions given by leaders. Is a team effort and we shall preserve ,2020-12-29,27
35,35,Bump up their salary and bonus please.they deserve it,2020-12-28,8
