,Comments,Datetime,num_words
0,"Good to be optimistic but always stay humble.  The reason of 2nd circuit breaker extension is due to outbreak in foreign worker dormitories. While this piece is currently under control,  always be prepared for another spike in other areas when 2nd circuit breaker ends.  Believe in Murphy law to be safe.  While we want it good,  things will be otherwise.",2020-05-20,58
1,"In the recent announcements, there seems to be no mention of what is permitted from 1 June for those who live alone/without their family in SG. This segment of the population is probably the most affected mentally by being alone over the CB. Surely, there will be some lifting of restrictions for this segment. E.g mini bubbles like those that were allowed in NZ. Hoping the government will provide clarity on this matter. Thanks ",2020-05-19,75
2,"My concern is what will be done about the dormitories operators who were not following international cleaning and maintenance standards? Given that many of the workers would come from villages and rural areas where hygiene standards are very low, what future provisions will MOM be making in organising standard programmes to teach them about hygiene standards (like is done for maids)? How will employers and dormitory operators be made accountable as well?  These are questions that are very relevant after this bad experience. The general public needs to know. There is no point to control 80% of society with strict measures while neglecting 20% who live in bad conditions and become carriers of viruses.",2020-05-20,112
3,"Please allow 2 adults accompanying baby or young children going to hospital specialist clinic appt or polyclinic vaccinations appt. It's difficult to handle baby with many baby things, alone while still recovering from post-natal pains (I'm seeing a physiotherapist but now suspended and still in pain for the past 6 months). Otherwise, I'll have to request for wheelchair and a nurse has to help me throughout the appt. If public transport gonna pack like sardine soon bcos workplace re-open with restrictions eased, this simple request should too. Please. 🙏",2020-05-19,81
4,I senior citizen. I didn't stay with my brother. That time I apply mio tv and wifi for my elder brother. Now I jobless can't afford to pay for stel bill.i need to terminate the mio tv and wifi. But terminate the mio tv have to give back the mio tv items. At this cb time I can't go to my brother house to dismantle the items. So I have to keep paying the bills. I very stress.,2020-05-20,76
5,😊😊 Hello...!!! May I Ask What About Libraries & Popular Book Stores...??? 😃😃 Thank You...,2020-05-19,12
6,When can I resume private music lessons on a one to one basis. ,2020-05-19,13
7,Can follow suit like south korean and do disinfection in major cluster areas where there are  numerous cases.,2020-05-19,18
8,When can I go and buy printer cartridge at Challenger or Best Denki?,2020-05-19,13
9,Good job 👏👏👏👏👏👏 Those complaining are the ones staying home safe Ignore them cause they will anyway take the benefits and still grumble  God bless all of you🙏,2020-05-20,27
10,"What abt TCM, can they resume their practice like cupping, etc... CV should extend another month, I don't find it safe",2020-05-19,20
