,Comments,Datetime,num_words
1,Sharlyn Emmanuelle Wong you go!,2021-03-11,5
3,Singapore have no Tourism to come visiting and sale of airline tickets are less cannot sustain all costs  So to cut executive pay or retrenchment,2021-03-10,25
4,"During good days, high payouts and bonus are paid by large sale volume of air tickets. Gone are these days.",2021-03-10,20
5,I doubt SIA can do any better with a top-heavy pay structure,2021-03-10,11
6,Convert to cargo planes or sell to China,2021-03-10,8
7,Time to sell your roast duck Kwan Ho Yu DLLM,2021-03-10,10
8,Ask HK gov for help...support  $1billlion ..for cathay pacific,2021-03-10,9
9,its not just cathay that is focused on preserving their cash ...everybody is focused on that 👀,2021-03-10,16
10,The impact of petrol hikes can be felt almost immediately. ,2021-03-09,10
11,"What's there to thumbs up? These 11 themes are just a rehash of past plans. What is the key learning from this pandemic? Will these 11 themes be effective and sustainable to address the crisis which we have gone through the past year? And why are you not interlocking these 11 themes so that one shapes or drive the other? Eg focus on med labs/test kits; green solutioning, have these been thought through on the education system? On green solutioning; why can't we develop and produce our own EV and tie to development of our young from a R&D perspective? Similarly on the medical front; there are so many other critical areas that are lacking during the pandemic. Have we looked at those? Strengthen global hub??? Have you not learned enough that this strategy is not sustainable? Why are you not creatively looking at how we can be self reliant?  A true Singaporean who cares",2021-03-09,152
12,"Target only cheap meds ,why the more effective and expensive ones left out of the subsidies.?And the limit on Medisave use are inadequate for chronic cases,up the limit for 55yo above can?",2021-03-09,33
13,Can afford to buy a car what is a few cents extra for petrol??,2021-03-09,14
14,"Pritam Singh ,Jamus Lim . The next parliament . Pls remember to propose to buy back Christmas Island which was sold to Australia in 1958 for just 2.9 millions pounds. Besides for Food plantation. It can also save us the huge  rental we paid  others countries yearly for our SAF overseas training. Majulah Temasek https://m.youtube.com/watch?v=rZlXUiPFHbs&t=4s",2021-03-09,50
15,"Truth is Singaporean like many thing to be cheap or free, subsidise by the government... Government needs plenty of resources to help the poor... Singapore should follow the world happiest country, Finland. In Finland, the income tax average is 53 percent and gst is 24 percent. Then the government got resources to help the poor... No poor. Note that Finland unemployment rate is 8.4 percent",2021-03-09,62
17,"Since PA P failed  to create enough jobs while letting companies be so selective like India Workforce, then Unemployment Insurance is the only way to go. ",2021-03-08,26
18,"Empsave,empshield ? Similar to medisave medishield ? Just keep deducting from coffee put into a pool and everyone help everyone ? U sure u want?",2021-03-08,23
19,Sad that we have reached such a stage of having an inflexible minimum wage of a million dollars a year talking about a good insurance plan to help the jobless.,2021-03-09,30
20,It can be implemented while having safeguards like requiring the unemployed to actively seek for a job,2021-03-08,17
21,The only effective insurance is a change in government. Period. ,2021-03-08,10
22,Only those who are healthy and have money can buy insurance. What about the rest of the people?!! ,2021-03-09,18
23,We have retirement insurance called CPF. Look how things changed now.  Later into Retrenchment Account aka RA account in CPF🤭😅,2021-03-08,20
24,Hope its implemented so i can aim to be jobless while collecting money,2021-03-08,13
25,Let people have a choice NOT FORCE EVERYBODY,2021-03-08,8
26,"Truth is Singaporean like many thing to be cheap or free, subsidise by the government...government provides social net.... Then Government needs plenty of resources to help the poor... Singapore should follow the world happiest country, Finland. In Finland, the income tax average is 53 percent and gst is 24 percent. Then the government got resources to help the poor... No poor. Note that Finland unemployment rate is 8.4 percent",2021-03-08,67
27,Any government who cannot create jobs for its people must go!!!!!,2021-03-08,11
28,"Singaporeans are choosy.... As long as there are foreigners doing jobs like bus drivers,  cleaning n retail.... There are jobs available for Singaporeans (according to a Malay Pakcik who is a businessman in selling fish.  He wants to employ Singaporeans to help but end up employ a Bangladeshi n China workers as fish mongers at a Yishun market.  Singaporeans don't want to work during weekends n PHs,  but it's during weekends n PHs that his business is brisk)",2021-03-09,76
