,Comments,Datetime,num_words
0,Technology is help to bring down operation cost. If it can not achieve to bring down cost . No point doing it. ,2021-03-01,21
1,"very funny nowadays,u call 999,tell them issue,they tell u they will inform the police... i was like huh?? now 999 also managed by 3rd party or all the while is by 3rd party?",2021-03-03,32
2,Increased use of social media memes :D,2021-03-01,6
3,Power lah Singapore People's Voice Government and Singapore Prime Minister Lim Tean!!... ðŸ’ªâ¤ Wait. What??? ðŸ˜‚ Power lah Sg PAP Gov and Shanmugam!!!! ðŸ’ªâ¤,2021-03-02,20
4,"there is definitely fake cameras installed around hdb area, almost every alternative nights have to call police to catch nuisance people making noises and shouting at the playground in front of the camera.... unless the police are ignoring the problem !!!!",2021-03-01,40
7,"Aren't the 'Western 'nation alliances amazing...they can comment,accuse,publish the most blatant lies on China or any adversary without any hard evidence and have their journalists work freely but  are not reciprocal to China and 'God forbid' should China publish a negative comment about their own Country.",2021-03-02,48
8,Probably the American Equality Act...,2021-03-01,5
9,We shouldn't allow anyone to interfere with our domestic politics likewise for the very same reason we shouldn't interfere with other countries' internal affairs as well. talking about you #Vivian ðŸ˜,2021-03-01,27
10,why her skin so thick ?,2021-03-01,5
11,Power lah Sg PAP Gov and Josephine Teo!!... ðŸ’ªâ¤,2021-03-02,8
13,"Singapore continued to face the communist threat after Independence in 1965. Pro-communist elements resorted to â€œextra-parliamentaryâ€ struggle through organised strikes and acts of arson and vandalism.   The Communists pose the biggest threats to SGâ€™s National Security. If you know any CCP trolls colluding with another foreign Communist regime, inciting and promoting CCP political ideology and propaganda playing the race and religion cards to incite political unrest  in SG, donâ€™t hesitate to report the matter to ISD as itâ€™s the duty and responsibility of every loyal and patriotic Singaporean citizen to protect SGâ€™s National Security and sovereignty. Hereâ€™s ISDâ€™s information. Do your part as a good and loyal SG citizen for SG!   https://www.mha.gov.sg/isd/isd-counter-terrorism-centre",2021-03-01,108
15,February 28.2021 According to some people.  Min Aung Hlaing's forces have arrested a US ambassador.  https://www.facebook.com/39218993127/posts/10160870494658128/?app=fbl  https://www.facebook.com/100017351822301/posts/840471913207862/?app=fbl,2021-03-01,13
16,Focus on your fake India degrees first ma'am. Foreign interventions is too profound for u to understand.,2021-03-01,16
