,Comments,Datetime,num_words
0,The normal GPs charging anyhow. Short consultant n like chase us out (especially on Sundays). Consultation $40. Kns!,2020-12-29,17
1,This is definitely better  with more privacy and freedom than living in a aged home especially for those elderly with some independence and mobility. Kudos to whoever plan this,2020-12-11,29
2,I hope sufficient inputs are gathered from the elderly on how they’d like the layouts to be.   Some of the interiors remind me of the private rooms in private hospitals.,2020-12-11,31
3,Just make sure it is AFFORDABLE.  As old people are no more drawing in any income but surviving on savings alone. Especially those seniors with NO FAMILIES to depend on.,2020-12-11,30
4,I believed it does comes with a price tag,2020-12-11,9
5,"I am stoked to see the design! I visited friends parents in nursing home in the USA, each unit is up to you to bring your furnitures and so on! It looked soooo nice! I’m speechless ! Please do think of price range as too much, we cannot afford too ",2020-12-11,50
6,Too many conditions just to apply,2020-12-10,6
7,Hope it is affordable and so can roll out to other parts of SG,2020-12-11,14
9,It's a nursing home in a hdb estate. I think there will be more and more demand for it because the children may not be able to take care of the elderly and reducing reliance on foreign maids with centralised elder care with economies of scale.,2020-12-11,45
14,JB got or not cheapest over there,2020-12-11,7
15,"An expensive alternative (lease cost much more than 2 room flexi elderly flat) to nursing home option. But idea of living among ill or disabled people needing medical care or waiting to pass on morbid concept. Probably a good option for family who don't want to live with elderly at their home (bec social issues or cannot get along or don't want to care for frail elderly at home, privacy issues  etc). People who need such care & close medical monitoring  may not have adequate $$$ in CPF account !  Perhaps kids consider pay $$$ from CPF to help elderly buy such flats. Personally as an elderly I prefer to live among mixed age younger group people with young children (cheerful environment). Live in retirement village with frequent wakes can be emotionally stressing -reminding one of our declining health, vulnerability & death",2020-12-11,134
16,I hope l can get it,2020-12-11,6
17,Down there cute ah gong ahma,2020-12-10,6
18,If I dah tua sangat.. Amira Mia,2020-12-12,7
20,"If you stay there with old neighbours, you will see one by one  die and worry when is your turn. Better stay with young neighbours elsewhere.",2020-12-11,26
21,The daughter-in-law will be most happy to apply for the old parents-in-law so as no need to serve them until they die.,2020-12-11,20
22,I thought the gov't encourages 3 generation and stay near children ? What happens to our Asian culture ?,2020-12-11,15
23,"I suggest one corner of the void deck for funeral wake, named ""Home sweet home"" and the other corner for match making cos some women want ""Second spring"" !",2020-12-11,28
24,I for one will not buy those resale flats there next time as people die there before.,2020-12-11,17
25,I suggest elderly women stay in lower floors and old men stay in higher floors to give the women more privacy and security.,2020-12-11,23
26,Angelin Teo and Frankie Teo.. soon we can book 😂,2020-12-11,9
27,"Please make sure there is a quota for non-Chinese minorities otherwise the place will become ""New Chinatown "".",2020-12-11,16
28,Alamak another shield life no end le already very confused can have just one or not??,2020-10-05,16
29,"Somehow, nobody has an opinion anymore?",2020-10-04,6
30,"It's a gold mine for insurance companies created by this useless SG gov CareShield !   Sign of SG national reserve is going broke. First is VERS, now CareShield.   Wonder which of their friends and family member they are helping !",2020-10-10,37
31,if jobless need to pay the monthly premiums?,2020-10-05,8
32,Min Cherrie Jenna Chris Ginger Lee Yasmin Fantaghiro Yusof U all receive the letter? ,2020-10-04,14
33,Expose careshield inadequacy by a writer  https://www.facebook.com/100006465573222/posts/3422204728005013/?extid=0&d=n,2020-10-04,6
34,CareshieldLife Premiums bring lots of burden to everyone of the Singaporean? Who else still got extra money to pay for the premiums payment every year during this COVID-19 situation?,2021-02-04,29
35,"With all this lockdowns, loss of jobs etc , many are mentally stressed as sucidal thoughts are real. Pray for all Sadly, we don’t always know the depths of someone’s depression until it is too late. May I please have even 1 friend or family member to copy and re-post? I am trying to demonstrate that someone is always listening.🦋🦋🦋  #SuicideAwareness Just one. Any one. Say DONE",2020-10-08,65
36,Same motherhood statement....by MOH..... Higher n better coverage but silently on premium payment. Our retirement also want to raid us dry.,2020-09-29,22
