,Comments,Datetime,num_words
0,"They are doing such an important job for this city state, we cannot do without.",2021-03-08,15
1,"Hope the authority can consider allowing funeral directors to be vaccinated earlier base on the grounds   1) they are essential workers even during lock down  2) they handle COVID death cases. During the funeral arrangements for such cases, family members of the deceased could be still under SHN or recovered status  3) they mingle with groups of 30 attendees and family members of the deceased daily   4) when they collect bodies from houses maybe die of other causes. Usually this kind of death will not trigger a need to go through swab, so if the deceased is infected with COVID then it will be a risk to funeral directors.  5) serving family members of those on SHN when they comes back from overseas to attend their loved ones funeral  ",2021-03-08,123
2,They consider high risks. Last year covid breakout within dorms and spread like wildfire ,2021-03-08,14
3,Will they be given mc if any 'mild' side effects shown up? That could be a serious consideration to the bosses.,2021-03-09,21
4,Do it at least one month later after the jab .... cos understand the jab dun take effect immediately. Need time allowance. STAY SAFE!!ðŸ˜‡,2021-03-08,23
5,So when is the turn of all local supporting companies (vendors) of Hospitals and clinics... and their staffs to be vaccinated? ,2021-03-09,21
6,"actually very strange, we should have more accurate information as far i know those dormitory workers or high risk workers they have been testing weekly instead of 14 days once, or maybe is the company itself requested for weekly testing, not sure..",2021-03-09,41
7,Seriously looking at the comments .... lots of conspiracy theories .... itâ€™s a joke how wild people can go !,2021-03-08,17
8,One day should able to inject 2000 person' such vaccine,2021-03-08,9
9,I have completed my 2 vaccination since early last month and yet I still need to go weekly swab test...,2021-03-08,19
10,We must be the one and only country that test so many workers instead of it citizen.,2021-03-08,17
11,why we vaccine dormitory residents...do we go according to their work permit? if going to expire and plan to go back then we dont give vaccine becos bangala workers said their countries many ppl got vaccine already why Sg so slow still dont hv...,2021-03-08,45
12,WHOA THEY got the best of everthing and we suffer and get the worse most likely China vacine whereas the get branded vacine hahaahaa.nice voting Singaporean if you get the chinese vacine dont complain .hahaaahaa,2021-03-08,34
13,"After completion of the course of COVID-19 vaccination, should one  test for the antibody?",2021-03-08,14
14,"Without the Foreign Workers, who are doing the Public Cleaning, Constructions, Garbage Collections, Domestic Help, etc etc etc besides some elderly Singaporeans?",2021-03-08,22
15,They are the fortunate ones.,2021-03-08,5
16,Stay Safe everyone! We thank them all for their contributions in helping to build our fine city too.,2021-03-08,18
17,Country's vision:  Vaccine Country should be 100% covid free by end of the year.  Reality: community case and import case continues...,2021-03-08,19
18,"don't seem like extra protection layer, more like swap test delay only...",2021-03-08,11
19,In the world one of the amazing government in sg. Go ahead.,2021-03-09,12
20,Which vaccine will be give to the migrant workers.?.No information.?,2021-03-08,11
21,why give precious covid vaccine to migrant worker over citizen.  must be one of the very few in world do this ðŸ˜ž,2021-03-08,21
23,Who is paying for it??,2021-03-08,5
26,"Another reason, Sinovac is not safe for use  https://hongkongfp.com/2021/03/08/covid-19-two-in-critical-condition-and-another-death-within-days-of-sinovac-jab-health-dept-to-investigate-if-vaccine-link/",2021-03-09,8
27,Where is my covid jab? Garmen please get your priorities right leh... ,2021-03-08,12
