,Comments,Datetime,num_words
0,"Most Dormitories, have been having below average hygiene level. The dorm operators just interested in collecting $$$. Should deploy EHS personel & SAF personel to enforce on these areas so that to help contain the spread. Kudos, to the people/agencies actively & diligently involved.👏👏",2020-04-10,42
1,"Can government send masks to the dormitories? At this critical time, masks should be given immediately to prevent spread in the dormitories. Cant wait for social initiative to finish the sewing of cloth masks. Be practical and timely else we may see the daily numbers hitting thousands.",2020-04-10,47
2,Thank you honorable sir.  Take a look foreign worker strongly.  Giving us wonderful facility 😍 😍,2020-04-10,14
3,"As usual, Singapore is rational & provide not just medical care but also daily meals & the well being of FW. Even cleaning & disinfecting of dorms. My prayers to our compassionate team of leaders & ALL involved in tackling & “CLEAN UP” process of these FW clusters.",2020-04-10,43
4,"You are too cautious and SLOW!  why do we need to let hawkers time to ""adjust"" to wearing masks??!!   Make it mandatory and IMMEDIATE!  Dont always wait for something to happen then react.  You are not being proactive enough",2020-04-10,39
5,I request the workers be given reusable masks. It will be economically viable as they reduce spread to those helping them eg police and army.,2020-04-10,25
6,Yesterday i had foreign workers india and Bangladesh  cutting grass and all eating and sleeping in my void deck in sembawang. But i see no urgency to cut the grass as not really grown.should lockdown this guys all.Town council should look into this too.,2020-04-10,42
7,"very risky move, but can try, as this virus is quick and easy to transmitted. not easy game to play. be fast on 3rd and 4th strategy, you got move faster than the virus one step ahead.",2020-04-10,35
8,"The task force must also take note on the emotional behavior of the FW. Must be fast to react and response fast to unhappiness, worries and anxiety among them.  Enforcement must be readily operational as the group is not small in size. 有备无患！新加坡加油！",2020-04-10,42
9,"Circuit breaker is too weak a term used to stop people from moving around to start with, using the wrong term doesn't reflect the seriousness of issues here. The right term is ""lockdown"". Where on earth people want to use circuit breaker to term some event not related to electronic or electrical.  I wonder why our multi million paid minsters cannot coin the right term?   Tell the people seriously that it is in fact a lockdown and they are to stay at home, stop telling people ""CB"",there is no emotion attached to ""CB"".",2020-04-10,93
10,"Thank you Singapore Government, President, PM, MPs.",2020-04-10,7
11,my opinion: the Best is singapore Army send some Infantry Soldier to Patrol the Dormitories!!!,2020-04-10,15
12,STAY HOME AND COOPERATE THE GOVERNMENT 🙏🏻,2020-04-10,6
13,singaporean! Gentle Reminder!: if you Need to go Supermarket (located at Shopping mall) after you have buy the items; Please Go Home!!!,2020-04-10,22
14,By delaying the inevitable full lockdown..ur only prolonging the virus spread...,2020-04-10,12
15,真的辛苦了这些部长。please take care of your health and stay safe and healthy🙏🙏,2020-04-10,11
16,thanks singapur government for take care workers..,2020-04-10,7
17,"Care so much for FT, locals work as part-timers got no help!",2020-04-10,11
18,Thanks Sg government for their humanity....,2020-04-10,6
19,Please take good care of our friends .,2020-04-10,7
20,Mobilise Nsmen to guard these premises and support,2020-04-10,8
21,Banned the MRTs and public buses now once and for all. ,2020-04-10,11
23,Stay home. 2 words. Why cannot understand..🙄🙄🙄,2020-04-10,6
24,We love u Mr Lawrence. U r powerful.,2020-04-10,8
26,Singapore have many island can set up there away our island.,2020-04-10,11
28,Stay Home & Stay Healthy. Cheers.,2020-04-10,5
29,thanks you so much Sir......,2020-04-10,5
31,Still saw some of them never wear masks at Rivervale Mall nRivervale Plaza ,2020-04-10,13
33,Pls make wearing mask mandatory.... plssssssss,2020-04-10,6
37,Isn't it too late to do that?,2020-04-10,6
40,Has the taskforce published any precautions for our FDWs living in dormitories in their native languages? This is critical if they do not have full comprehension of this covid situation. Has this been considered? Do we need help in acquiring language support?,2020-04-14,42
43,Blk 17 UPPER BOON  Keng Road Market singapore 380017.THIS IS A MOBILE Shop Company NAME PHONE BOX. #01-93 N #01-94. Date 7.4.20 TUESDAY N 8.4.20 Wednesday Open the Shop AT 5AM.NEA Already INFORM HIM ON THE 6.4.20 Monday CAN NOT OPEN The SHOP UNTIL 4.5.20.BUT HE Still OPEN THE SHOP AND (This IS A Very Very Serious OFFEND THIS WILL  CAUSE More VIRUS. I THINK HE WANT TO CHAllENGE  OUR GOVERNMENT.PLEASE REVOKE His license.HE WANTS TO  BE FAMOUS THEN MAKE HIM FAMOUS PLEASE  HELP TO SHARE .,2020-04-10,75
44,Please Don’t leave home without a 😷 masks and  Social distancing too.  For our seek and each and every Singaporean life.  Let’s make this  ‘circuit breaker’ a success or else all efforts will go down the drain.  Frontline medical staffs will suffer endlessly. ❤️💪🏻🙏🏻,2020-04-10,44
46,This should have been done long ago as it obvious foreign workers' dormitories are crammed and again at work place they are expected to work closely with one another. Moreover on their off days they converge at crowded places.,2020-04-10,39
47,"During such world epidemic 😷 despite government efforts we still can see a lots of singaporean are still : very selfish,  self centred,  irresponsible,  arrogant  Stubborn  ignorant and  Not cooperative.  It has NO excuse as it has been happening since CNY period.   Its really terribly shameful and 😞 sad.",2020-04-10,46
52,"Kindly provide updates on their living conditions, the number of workers per room n the distance between them. ",2020-07-08,18
53,Shouldn't have happened. 30 minutes is way too long to disperse.,2020-07-07,9
54,Get those complaints Kings n queens to the dormitory to help since no jobs these days❗ this will help them to mature thereafter,2020-07-08,23
57,Recovered workers means what? No longer infectious? Look like a prison.,2020-07-08,11
59,This happened last week and was rectified thus has become an non-issue.  Teething problems will always occurs no matter how meticulous things are planned.  The person who posted and messaged out the vid has gone against regulations and need to be corrected. The vid I rec was attached with a fear mongering message of what if there is a riot.,2020-05-19,59
60,"I wonder who took and post this video? Does it make everybody happy if we treat them like prisoner or children. How much of educating do we need to teach them about social distancing and queuing before they got it?  A few posting I noticed were taken by one of the workers themselves and some even end up at BBC news and  labelling our  effort negatively. I hope the workers appreciates our effort and the enormous amount of resources put into them, by directing their unhappiness to the right channel to rectify any problems, rather than shaming our effort internationally.",2020-05-19,100
61,"Sad to say.. We are dealing with different kind of people, worst than any known or unknown viruses... There are people who are appreciative and grateful.. There are also people who will never be contended and appreciative with whatever grace they receive...  That is why our world is so interesting...",2020-05-19,50
62,"If this video was not released to the mass public,I reckon YOU wont even bother to come out and explain! Why is it that everytime we need to broadcast these ugly scenes before you start to wake up yr ideas?",2020-05-18,41
63,Pls take care the front liners ❤️  I hope the FWs not mingles around in another room...Thanks,2020-05-18,17
64,DONT KNOW WAT SAY ...MONEY NOT IMPORTANT IN THIS TIME THINK ABT SAFETY FOR OTHERS ND YOUR FAMILY.,2020-05-18,18
65,We no need explanation the video itself showed how you manage pathetic .,2020-05-19,12
66,"Hate those worker they are very smart , but attitude some kind of Low educated ",2020-05-19,14
67,Send all back home then import new healthy workers,2020-05-19,9
68,Infections also probably increased during that period....possible or not?,2020-05-18,10
69,TIME AND TIDE WAIT FOR NO MAN.💖,2020-05-19,7
71,They all look so healthy ,2020-05-19,5
72,"Enhanced queue management measures ? Like calling small group by small group so the cctv show small small , but really a lot of people waiting in their beds ? Or did you actually improve processing rates ? ",2020-05-28,34
74,"Employers of these FW, construction companies that employ them and Dorm Operators will have to take responsibility to ensure their workers are safe (not infectious and also not get infected) and bear the bill, not tax payers. ",2020-05-13,37
75,Are the Apartments renovation different workers categories ?  Can we expect by June to start completion?,2020-05-13,15
77,What stats are we aiming for or looking at to decide that our migrant workers can return to work? ,2020-05-13,19
78,"Cut down the worker manpower, some time a job need jus 2 people end up 6people over there. 2 work and 4 see so Why those companies need so many of them? Bec every head count!",2020-05-14,32
81,"Please learnt from the other  cities to prevent outbreak via ( air crews, sailors, cross border transport) and Also to consider to mandate passengers to tap their application when they board ( taxi) and if possible when they board mrt and buses for facilitating contact tracing if required",2020-07-25,46
82,"Yes, a long way to go and we must continue to be vigilant. But best news in a long time! Yay!!! A dance of joy! Thank you to all the front liners and all the volunteers who took care and are taking care of the migrant workers.",2020-07-24,47
83,Heartfelt appreciation to all involved that we could finally see the light at the end of the tunnel 🙏🙏,2020-07-24,18
85,When start flight Dhaka to Singapore pls,2020-07-24,7
89,When start flight Dhaka to Singapore pls,2020-07-25,7
90,We are very happy for Singapore government.,2020-06-11,7
91,"It is a good move , think of how you housed NSF , NsMen ? I think this is part of Total Defence ? We also need the workers to have some entertainment & social lives to prevent Rioting and Unrest.",2020-06-02,36
94,a few big assumptions are being made here 1) Singaporeans lack the so called capabilities...which then makes me wonder how our education system is helping to change this and 2) all foreign talent have better capabilities and better qualified than Singaporeans? which then brings me back to the question: is our education system not breeding the right talent...? i have worked with locals and foreigners...have seen the best and the worst of both. Challenge is to manage equal opportunities for both.,2020-03-15,81
95,"It is just like making a cup of coffee! main ingredients are water and coffee beans/powder. Sugar and milk are the additives, how much additives is good for that cup of coffee? ",2020-03-15,33
96,How can he share and advise when his workplace not many foreigners?,2020-03-16,12
97,Kasi betol lu puya bangsa.jg jadi kotoh.jg bawah sakit.mahu mati.mati sediri.jg kasi susah orang lain....,2020-03-19,10
98,"I think not only to their own health & safety, it's for everyone's safety! If they didn't isolate or quarantine themselves after returning from home trip or went on holidays during such a time, it's a selfish act n never think of the safety for others! The government kept emphasising to stay away from crowds yet these foreign workers went against such orders, still meet up and gather  together during their off days!  Look at what had happened today and because of their selfish act they had actually deteriorate the situations which the government is trying their very best to contain the virus widespread.  If not for these people's selfishness the widespread can be contained!!!!!",2020-04-06,109
99,"Wherever there are foreign worker they MUST be monitor.  With contact tracing, I am pretty sure they have contact with some domestic maid.  This in turn will affect the employer whom they work with.",2020-04-06,34
100,"Haiz. Workers  always give problems on thier personal hygene..  I am sure they contacted from little india , too..  By right . Should lockdown street of of  Litlle India and Tekka market.  for 2 weeks    Spray,  the street..  I am suprise Lucky plaza has very few maid during off day. Very good sign ..",2020-04-06,50
101,👏👏👏👍  Keep up the Good Communications & Educating & Monitoring them well.  Jia You 💪💗,2020-04-06,11
102,Only two ?!??! There are more than two  dormitories in Singapore ! ,2020-04-06,10
103,Please maintain hygiene of the surroundings. Those caught littering even ..jailed n fine heavily.,2020-04-06,14
104,My stat board management do not understand simple english. Non essential stay home work or stop work. Here admins do not have laptop so we cant work from home. But all other officers can. We have plenty of letters to process which can be sent via email. Now the bosses are more concern abt admin stay home wo work till 4may. Their concern is manhours salary wo work. This is singapore bosses. No EQ...its a lesson to all civil service that issue a laptop for admins. Even school students have laptop. So in terms of crisis we can work from home.,2020-04-06,101
105,"So dirty how come don’t have any cleaning done ✅ waste are not well managed too, 🤣 but you guys did a great job by just doing nothing 🤣 ",2020-04-07,27
106,"So that probably where the unlink case started. The host from the dormitory leading to them on public transport to city plaza, Mustafa, and even lucky plaza. Thanks tracer for the effort",2020-04-06,32
107,Also feeding them proper so they like us will cooperate and together we 🤜Covid-19🤛 🇸🇬💗,2020-04-06,14
108,Please take care everyone. Please don't let these dorms be like what happened on Diamond Princess cruise.,2020-04-06,16
109,Check all domitories & ACT fast - Sanitize,2020-04-06,6
110,Got to manage other Dorms too. Living in close confined rooms are virus magnets !,2020-04-06,14
111,What about letting a domestic worker go back home. Like my fiance.,2020-04-06,12
114,Just only these two? Must check other dormitories too. ,2020-04-06,9
115,Time to have your snack. 🥰,2020-04-07,5
