,Comments,Datetime,num_words
0,Get stories delivered to you on Telegram: https://t.me/TheStraitsTimes,2021-03-12,7
1,"Every symptomatic patient should be made to swab compulsory and immediately. With the availability of resources, now is the best time to do crack down  rather than cover up.",2021-03-13,29
2,The Singapore government should make it compulsory to have a Swap Test upon arrival regardless of citizen or visitors. Of course not for anyone who can produce a Vaccination or swap test certificate.,2021-03-12,33
3,This FT case  has created alot of unnecessary  MOH diversion of attention/resources  to manage this event and made unnecessary  anxiety  to the close community. Hope GOV does not slacken off the control for foreign entry into SG as it impact many stakeholders in SG,2021-03-13,45
4,He developed a runny nose on 1 March and sought medical treatment at a clinic on the same day but he declined to be tested for COVID-19. He was subsequently detected on 11 March and confirmed Covid-19 infection. Don’t know how many innocent people got the virus from him during the good ten days.,2021-03-12,53
5,Everyone working in that bank should be tested to prevent further spread into the community. They like to hold hands and go toilet together,2021-03-12,24
6,"“The Indian national's serological test result is positive, which indicates a likely past infection.” - I assume hence why he did not want to get tested. He had had it in the past and thought that either he must be immune and can’t possibly have it.",2021-03-12,45
7,So many cases showed positive after their 14 days quarantine... exposed themselves to the public and spread to our local community...   what is MoM and MOH planning to do about all this spreading ?  Can MOH increase the quarantine period for foreigners coming from certain countries as it had been proven that they are positive after 14 days....,2021-03-13,55
8,Mr Wong what say about this? Singaporeans fault for not being responsible? But its ok for FT n ceca? Amazing! these are the people that YOU gov let them in and after blame  the locals for being not responsible!!,2021-03-13,39
9,"So after his digustingly irresponsible behavior and exhausting taxpayers resources and money to treat him and contact tracing, not discounting community spread, this ceca still gets to keep his IT job and even PR ???!",2021-03-13,34
10,"Loophole in such imported cases . Some get covid 19 after SHN and decline to go for swab test. Pls set a new ruling . When one arrives from countries with high infection rates and get symptoms even after finishing SHN , they must see doctor and be swab. No choice to decline . ",2021-03-12,49
11,"Declined the test on 1st march but I can see he visited temple, murugan shop and mustafa centre on 2nd march??? WTH!! ..6 March went to restaurant, Spa and so on!... More than 10++ places visited while carrying covid... Oh my....need to really trace and lockdown the close contact person....   https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes30af6fa4b1604dc1aa1e556bbd3859ad.pdf?sfvrsn=d4cf22c8_0",2021-03-13,47
12,"For such cases, onus of treatment costs should fall on him. So for all we know, he has been infectious the last 10 days.",2021-03-13,23
13,Is it a culture thing where they feel like they can get away with anything? Is the Government turning a blind eye because of CECA? What’s happening to the Singapore I use to know?,2021-03-12,35
14,"Had it not been for his scheduled trip back to India, he could be spreading the virus in the community. Very irresponsible of him 😤",2021-03-12,24
15,What has MOM got to say about this work pass holder community case?,2021-03-12,13
16,"Declined to be tested even he was having flu symptoms not that he has no symptoms. Please revoke his working pass for high possibilities of spreading COVID19. Everyone traps in Singapore, works so hard to fight COVID19. Why is he exempted?",2021-03-12,41
17,"Doctors shld ask him to do the swab n must not give patient the choice to decline as long as patient show symptom of Covid. Infected patient if not swab n tested, he may go everywhere n infect others. This could cause a serious outbreak. MOH shld  make it compulsory for Doctors to order patient to take a swab without choice.",2021-03-13,61
18,People from high risk countries must mandatory to take covid 19 test if there are symptoms and not let them choose. It is very very irresponsible for him to reject taking the test,2021-03-13,32
19,How can he decline swab test? His pass shpuld be revoked. He is more dangerous than those healthy ppl that flouted the safe distance rules.  He was a walking time bomb in the community.  Revoke n ban him fr working in spore.,2021-03-13,42
20,"Dear MOM, he tested positive for his pre departure test to India. This is a good chance for you to export covid-19 back to them instead of always importing them. What say you next time escort them straight to their plane and wave bon voyage? Goodbye and good riddance!  Work in Singapore, went to India and returned in January. Bring covid-19 back to Singapore. Not enough still, in March going back to India for more? ",2021-03-12,75
21,I dun believe the bank can’t employ Singaporean to be IT engineer. ,2021-03-13,13
22,How can this FT can in out Singapore suka suka. like no body business. It seems like CECA can travel to and fro India freely only.,2021-03-13,26
23,"Looks like Cecadians have special privileges, including rejecting the test.  Why?  If not privileged, then revoke his work permit.",2021-03-12,19
24,"Just by reading the headlines , not difficult to guess where he hails from ... ",2021-03-12,13
25,Very irresponsible! Having symptoms and still refused to take test,2021-03-12,10
26,Sympathise my fellow Singaporean.....😢😢😢 work pass holders have more rights than us?,2021-03-12,12
27,Have know symptoms related to covid and can decline testing 🙄,2021-03-12,10
28,Ensure he pay for all medical costs and charge him and ban him entering Singapore!!,2021-03-12,15
29,"Shouldn’t he be punished for refusing testing ? No different from breaking SHN ,He should b ban from working here ",2021-03-12,20
30,Can decline to take test? I don't think anyone should be allowed to decline.,2021-03-13,13
31,declined testing? can Govt decline his workpass application when expired? This irresponsible and anti social people shouldn't be allowed to work here.,2021-03-13,21
32,Should quarantined him. After that send to changi for staycation. Then cancel Work Pass and deport and banned from stepping foot into sg for life.,2021-03-13,25
33,"Please revoke his working permit. 5 days mc are not suppose to go out. Enough is enough, we must tell those working permits holders to respect our law. Singaporean fighting very hard against covid. If they don’t respect our law, they should be ask to leave",2021-03-13,46
34,Make him pay for all his medical bills with heavy fine before kicking him out of Singapore for good!,2021-03-12,19
35,"thought was complusory totest if age 13 n above detected with respiratory symptoms?? failure of clinic to carry out sop?? Why all these F.T can come n go happily? happy happy come.happy happy go back.. Yet our sg like them so much...even for test also can decline to test,if a true pink ic declined sure kena fine",2021-03-12,58
36,Cancel his work pass for not agreeing to the test!!   Now he went to several places with running nose and likely to infect others close to him! Why are we still bringing in infected FW and he is so uncooperative!,2021-03-13,40
37,They can decline to be swapped? Didn’t know they have that power 👏🏽👏🏽,2021-03-12,13
38,So irresponsible of him. Why he can refuse a Covid test? If the doctor advise him to do a test based on his professional assessment then he should not be allowed to refuse the test. So after 5 days MC he actually wonder around before he go for his pre departure Covid test ?,2021-03-12,52
39,His workpass should be cancelled and ban him from working in Singapore since he knew he already had positive covid 19 in the past.,2021-03-12,23
40,Another case of rejecting a swab test. When did it become possible for pple to reject a swab test if being a suspected case?,2021-03-12,24
41,"Revoke his pass, stubborn n not cooperate to take the test. Not welcome him in sh",2021-03-12,16
42,Such important test can be declined?,2021-03-12,6
43,"Stay at home notice only 5 day upon his arrival? And from India??? 🧐 in my view, kinda risky! ",2021-03-12,17
44,"Irresponsible foreigner, revoked his Work permit and send him back to his country!",2021-03-12,13
45,Send him back!! Revoke his entrance to sg!!!,2021-03-12,8
46,can declined to be tested ah? wah got special privilege!,2021-03-12,10
47,"If he declined to be tested, can he be declined re-entry into SG?",2021-03-12,12
48,Work pass holder? IT engineer? Works in a bank? Sounds familiar.... 🤔,2021-03-12,11
49,Can decline to be tested meh?,2021-03-12,6
51,Why blame him? Blame the policy! blame the system! Blame yourself for voting pap!,2021-03-13,14
52,"So irresponsible, he should have just tested when was asked to do so initially ",2021-03-12,14
53,Can decline meh ? What kind of control lapse is this ? MOH should make it mandatory if symptoms arise !! ,2021-03-13,18
54,How come THEY can come in and go out of Singapore from CECAland like nobody business?,2021-03-13,16
55,Kick him out & bar from working in sg forever! 😡🤬,2021-03-12,9
56,"Why so proud is that your culture bought up by your father ,mother and friends",2021-03-13,15
57,"Who gave jobs to these spouse at the first place? Now crisis, lots of Sporeans have no job, then how to take back the job fm these spouse?! If they cannot afford to feed their family then don’t come to Spore! Stay in your country please! Stop snatching jobs fm us! We Sporean also need to feed our family! 一个来抢我们的饭碗还不够，全家都要来抢！天理何在？！",2021-03-13,60
58,I thought it is compulsory to take swab test when patient is having cough or runny nose or fever? I went to Raffles Clinic and this was what the doctor had told me. So who is the general practitioner that let him go?,2021-03-13,43
59,This type need to be ban from entering again. Refused to be tested ?,2021-03-13,13
60,I tot got guidelines if anyone shows symptoms of respiratory must do covid test.,2021-03-12,14
61,"Story doesn’t make sense. He came in Mid Jan, finished SHN, and then caught COVID by early March ??? Are dates being reported correctly? If he caught it locally who did he catch it from?",2021-03-12,35
62,How can one deny to be tested? And what valid reason can someone give for the refusal? I am sure many residents would want to know the loophole in the system. We had no community cases for so long and this case changes everything.,2021-03-13,44
63,It is a learning to be taken .Putting robust guidelines  before  SG open up for travel . If this is not taken seriously it could upset sg gov plans which we had work so hard on,2021-03-13,35
64,"If no action is taken against this fellow, won't it set a precedent for everyone to refuse the swab test, even when symptoms may be present? Something to ponder!",2021-03-13,28
65,"The government must impose a rule that ALL with possible symptoms must be tested. This means clinics and hospitals must execute this procedure. Anyone refusing to take the test, the employer (if he is employed) and MOM must be alerted immediately. His/her workpass must be suspended. The community’s hard work in obeying safety guidelines and taxpayers’ money invested in healthcare and COVID prevention steps all these months must not go to waste because of an individual’s selfish behaviour! ",2021-03-13,81
66,"A runny nose...pick a symptom which loads of people develop around the world daily, rebrand and rename it, spice it up a little and tadaaa, we have ourselves a deadly pandemic just like that! 🪄 🎩 🐇 ",2021-03-13,35
67,"If he was not infected in Singapore, so from his arrival day 16th Jan to till End Feb, the covid 19 virus stays in his body without any detection. He must have eaten lots of curry but the magical urine lost its power gradually as it is not easy to get replenishment here",2021-03-13,51
68,How come he has a choice? Got symptom means MUST test!!!,2021-03-12,11
69,He has been going round many places and office. Hope that he will not create a big clusters. We do not this kind of defiant foreign forces.,2021-03-13,27
70,"Of course he declined to be tested! If you test positive, you’re immediately whisked away and isolated for weeks. ",2021-03-13,20
71,Wah! He had a choice? Isn't it compulsory? What an inconsiderate nincompoop! Repatriate him back!,2021-03-13,14
72,He is helping us get herd immunity  Saving us $$$ on vaccines.  Does it mean to say if we have a flu go to clinic we can choose not to have a swab test? More likely than not public will start to quote 11 March indian work pass holder case can refuse doing swab tests w flu like symptoms. If so then how do we control the pandemic without digging into national reserves again?  So please do clarify the benchmark and protocols here much appreciated.,2021-03-13,83
73,MOH needs to give an explanation how folks can decline a swap test. Are these folks signing any declaration that they would be banned from re-entering if decline and indeed positive for the virus?,2021-03-13,33
74,"If the bloody FT reluctant to be tested, does MOH just let it off? Hope not. Should he be booted out since he doesn’t comply to MOH instruction. ",2021-03-13,29
75,"This person is irresponsible and a health hazard to all around him. The clinic SHOULD NOT have allow him to leave without a swab test. Honest, his WP should be revoke and not allowed to enter into SG anyone.",2021-03-13,39
76,"Auntie like me got cough, doctor wants me to swap I just do accordingly for the shake of the community and loved ones. This type of behaviour belong to his home country what he likes and he does. This is mer selfish behaviour that are accepted here. No one will dare to go to the bank he works. All the staffs there will also get and bring it home. Wah lau! PR some more. People who share lift with you will get Convid 19. Nuisance! are you aware of that.",2021-03-13,89
77,Can decline to be banned from entering Singapore in future as well?,2021-03-12,12
78,"If you decline the test and you start a new cluster, can the govt claim back all the resources used against you?",2021-03-13,22
79,Cancel his work pass and send him back to where he belongs permanently. ,2021-03-13,13
80,"If Singaporeans are fined for not wearing masks and not practising SD, such behaviour should receive heavier penalty. He deserves to be deported!",2021-03-13,23
81,"The government should mandate covid swabs for all with flu symptoms. Especially those from india and other high risk countries. They may have interacted with those who just arrived, are infected but not detected",2021-03-13,34
82,"Strange he can simply reject a covid 19 test. During the time he was infected, he could have easily passed the virus to 1000 poor chaps. But then again, foreign talent so its probably fine because the government has a crush on this group of people.",2021-03-13,44
83,Send him back to his country and bar from entering be it travel  or work purpose.. we no need this kind of visitor at all...,2021-03-13,25
84,Sent him back home!! Cancel his pass and ban him coming back to SG,2021-03-13,14
85,Its time to review this....can anyone just decline to be swap; there seems to be a gap here....,2021-03-13,19
86,"Incoming and can decline a test even when having symptoms? ... Ah... No wonder they dare to even take over our song and sing ""We can achieve, Inxxx"" 🤦🏻‍♂️",2021-03-13,27
87,I believe he knows he may have the virus that is why he refuses to be tested. Should bar him from re entering Singapore.,2021-03-13,24
88,They r pests in Sg. Even they r white collar. To me they r rats in the ally. ,2021-03-13,18
89,Kan lin lao bu eh chao chee bye like this can ah?,2021-03-13,12
90,"Those who are advised by their doctor to be tested for Covid-19 should do so, even if they are showing mild symptoms,"" MOH added.....As per statement...SHOULD NOT BE as advised BUT MANDATORY!!!🤬🤬🤬 This IRRESPONSIBLE INDIVIDUAL SHOULD BE BARRED FROM COMING BACK TO SINGAPORE!!!",2021-03-13,45
91,Is it possible to refuse testing? That's a loophole.,2021-03-13,8
92,This type of CECA IT engineer should terminate and send back to country belongings,2021-03-13,14
93,"Lawrence Wong, are you aware of this? Or you are still eating your PRATA? He has a flu and  HE CAN DECLINE COVID TEST?",2021-03-13,24
94,High risk group and yet can decline the test??.,2021-03-13,9
95,let him go back to India and ban him from Singapore permanently. A total disrespect of Singapore health and law systems.,2021-03-13,21
96,Should Deutsche Bank be taken to task for the irresponsible behaviour of their employee? This is also to show to the world that Singapore take covid19 precaution very seriously!,2021-03-13,29
97,IRRESPONSIBLE FT. Bar him from here forever. THEY NO LOVE OR CARE FOR SINGAPORE.,2021-03-13,14
98,"Well, can cancel his work pass now?",2021-03-12,7
99,Can don't come back.. That will be even better,2021-03-12,8
100,How can anyone decline to be tested!?,2021-03-12,7
101,Denying need for swab is a sovereign sign.,2021-03-12,8
102,"‘working from home since his arrival from India in January’  Why did Deutsche Bank import him just to have him WFH? Why must he WFH in Singapore instead of WFH in India? Is it because Singapore has catchier songs? 🙃   Who is the Dr? Knowing this fine fellow’s travel history and knowing that his country of origin is high risk, why did the good Dr allow him to go untested?   Why does our wonderful government come up with a myriad of laws and fines for us locals but let CECAdians do whatever they like? ",2021-03-13,94
103,Singapore no IT expert?? Need foreigners??,2021-03-13,6
104,"He choose not to test, and now we have a community risk of 9-10 days... how do I know how many he has spread to? These pass holder think they are here to work or holiday? We should have strict health rules and law to protect our own community. ",2021-03-13,48
105,"And from March 1 to the say he departed, he would have infected so many other people 😡😡😡",2021-03-13,16
106,"Why the doctor allow him to choose if wanna do swap test anot? If doctor suspect, shouldn’t that guy straight send to do test? Why give him 5 days MC instead? 🤔🤔🤔",2021-03-13,31
107,Can decline to test?? Even my baby having runny nose must take swab test. What is this MOH??’,2021-03-13,18
108,Well done.. seems like CECA can travel to and fro India freely. Anyway to them $$ to quarantine is nothing to them.,2021-03-12,21
109,This kind of attitude problem individual should be ban from entering Singapore forever,2021-03-13,13
110,Why was he allowed the choice not to be tested for Covid ? ,2021-03-13,12
111,Something is not right here in sg. Why are they suka suka in and out of sg. Why? They got privilege over other nationalities? ,2021-03-13,24
112,"The big question. Work pass holders are here as a privilege not a right. Why are they allowed to decline Covid19 tests? It is high time we put a stop to this inequity. Stop mollycoddling them. We DON'T owe them a living and at the same time, open our country to imported viral cases which will harm our citizens. Yes, we must also have them for economic reasons but these are dangerous times. We need a reset. ",2021-03-13,76
113,CECA again ah?? Sovereign again ah???,2021-03-12,6
114,Well only SG would welcome more infected cases daily bringing the cases number over 60K. ,2021-03-13,14
115,All the foreign talents now make up our grand figure,2021-03-12,10
116,"If he is so stubborn as not to take the test as advised by the GP, then he should take a flight back to India and stay put there. #gov.sg  should revoke his work pass and ban him from Singapore. We don't need irresponsible people here.",2021-03-13,44
117,Can decline not to do the test??,2021-03-12,7
118,We just need an iron fist... to hammer.,2021-03-13,8
119,"Highly irresponsible, how many could already been infected by him?",2021-03-13,10
120,So is MOM going to revoke his work pass?,2021-03-13,9
121,Please buy a one way ticket back to India and don't return here ever.,2021-03-13,13
122,Those 门口狗 dare not take action against their Masters aka Buddies ???? Strange double standard system ,2021-03-13,14
123,Dont have a simple responsibility to take care of urself..showing how irresponsible u are as a Character...probably u have pawned ur Brain..,2021-03-13,24
124,He should be deported worse than those who are defiant in wearing masks ,2021-03-13,13
125,How many more in the community have declined the testing?,2021-03-12,10
126,Can choose no need to test?,2021-03-13,6
127,Why work pass not revoked ?,2021-03-13,5
128,Singapore have been serving import cases.,2021-03-13,6
129,I can’t understand why these Indians are allowed to travel in and out of Singapore so easily. Why can’t they stay put in one country? Are they couriers of the virus?,2021-03-13,33
130,"For goodness sake, kick him back to india and stop importing them and travellers from there coming into Singapore.  Does you guys know there isn't quarantine and need not wear a mask in India! Probably that's the reason of HIGH infections rate from this particular country!",2021-03-13,44
131,So let's decide and compound a verdict....... challenging for a good course for the country....your calls,2021-03-12,16
132,Can MOM decline to let him work in Singapore?,2021-03-13,9
133,The only way to vote more oppositions into parliament to snuff out foreigners out of sg. Vote oppositions we must !!,2021-03-13,20
134,"In the first place , why he can decline COVID-19 test？ ",2021-03-13,10
135,Tats no laws to enforce testing if suspected but since he choose to reject the test initially and was confirmed subsequently then too bad he must be penalize for the consequences. This is the Law of gamble u lose u pay 💰 ,2021-03-13,41
136,Can declined one meh? Which clinic say can? Lols,2021-03-12,9
137,How can one declined? Past infection?,2021-03-12,6
138,Can declined to be tested for??? Throw them back,2021-03-12,9
139,Why can't the GP force someone to take a test?,2021-03-13,9
140,you mean he worked in... 'douche bag'? ,2021-03-13,7
142,"Let me guess, from India?",2021-03-12,5
143,CECA even take your song 🎧 hahahahaha. Sia Suay! 56% better repent deeply!,2021-03-13,11
144,"If he is so stubborn as not to take the test as advised by the GP, then he should take a flight back to India and stay put there. #gov.sg  should revoke his work pass and ban him from Singapore.",2021-03-13,39
