,Comments,Datetime,num_words
0,Please continue to wear your masks and maintain social distancing.  Once we reach herd immunity via the vaccines then we can get back some resemblance of our former lifestyle before the pandemic.  We are almost there. Please wear your masks and do your part while the vaccination is on-going.   Thank you.,2021-03-11,50
1,"Wait after 2 vaccinations, case number 62000 I texted with new strain .... This one sure 9696",2021-03-11,13
2,Like i say.. importers numbers daily sure have.. local nunber pops up once every 3 or 4 days..,2021-03-11,16
3,Yay. No point having 0 cases everyday when we can't travel,2021-03-11,9
4,Now a lot of old ppl or young thought ðŸ’­ after vaccines no need to wear a mask ðŸ˜·. It wrongly way and not fair for those not taken. I hope the government see to it carefully.,2021-03-11,35
5,Virus time to show power liao,2021-03-11,6
9,"No worries, our local community COVID-19 cases seem to less infectious than other parts of the world  https://www.straitstimes.com/asia/east-asia/covid-19-outbreak-hits-hong-kong-banks-gyms-international-schools?utm_campaign=stfb&utm_medium=social&utm_source=facebook&fbclid=IwAR2VY2NhXtko7cp_RJ2__NC6Vxi9W57lz9NTz3WVuufwqc2TJ4VfYzSbNEY",2021-03-11,17
10,The most safest place now in Singapore is Changi prison. ,2021-03-11,10
11,This generation is so sad w cv19 n never before a world that has to wear mask up to our nose.  Tribute to all medical team in e world! ,2021-03-11,28
12,"ðŸ™ðŸ™ðŸ™Great heores, Salute them all.",2021-03-12,5
13,There is Nothings We Can Pay for thier bravery..and I belive Most of us Own them.. RIP...to them..May God take thier souls  Direct to heaven.. Thank you for those FRONTLINERS..,2021-03-11,33
14,RIP to these unsung heroes...They are the Frontliners...Risking their lives to save others...ðŸ¤¨ðŸ¤¨ðŸ¤¨,2021-03-11,15
15,Stand up to be recognized nurse.... The sacrifices you have given...please reward them ... It's a dangerous job... To all health workers too.....ðŸ‘ðŸ‘ðŸ‘ðŸ‘,2021-03-11,22
16,Prayers for their mental health of recovery â¤ï¸â¤ï¸â¤ï¸from  this pandemic. ,2021-03-12,10
17,OMG RIP all frontliners that have died during this pandemic ðŸ™ðŸ˜­,2021-03-11,10
18,Nurses literally died in the UK and USA during the early stages of the pandemic because they were not provided enough PPE. This is even worse and a horrible way to die. ðŸ˜”,2021-03-11,32
19,And ppl in US is burning masksðŸ˜¡,2021-03-11,6
20,Most respect to all the nurses around the world.,2021-03-11,9
21,"gosh, i can't imagine their workload, and having to wear mask all day!",2021-03-11,12
22,Not Sg nurses. Kudos to our dedicated healthcare personnel. ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™ðŸ˜Œ,2021-03-11,9
23,"Thanks To All Doctors & Staff Nurses, They Are The Genuine & Kind Hearted Professional Ones that have the willing & patience  hearts, to take care of all patients in Hospital. Recently My Dearest Beloved Eldest Brother was warded in Changi General Hospital , Instead Eldest  Brother's Two (2) Daughters, not Even Step To Hospital, To Pay Visit to their Blooded Father, Though With Many calls frm My Six(6) Siblings that're Uncles & Aunties by  Whatsapp, Group Chat Lines & Contact thru' MOBILE PHONE, Both OF My Dearest Brother's Daughters, all without response by just putting on deaf ears, that're Terribly & Horribly Bad, Treating their Dearest & Beloved Daddy In Such Manners!  BOTH DAUGHTERS OF MY DEAREST ELDEST BROTHER, BY PUTTING  ON DEAF EARS ONLY. Plus My Beloved Eldest Brother recently told me, 'Each of His two (2) Daughters were given, his hard earned money, to both of them, Five (5) Thousands Dollars Each, Total All Together, Ten Thousands (10K), While Eldest Brother Younger Times, Abled To Support Himself, Good Job With Good Income As Well, The Eldest Daughter, 'YuChen' would always asked money Frm My Dearest Eldest Brother Plus Yearly, During CNY  Most Of The Times With Two(2) Restaurant tablesi Invited All His Siblings Inclusive His Two (2) Daughters As Well, Been invited For CNY Feast! When My Dearest Mummy That's 'AHMAR The Beloved Granny'  Was Alive, Yearly We All Had Gathering Too, At My Mum's & The Rest Of All Of Our Tay's & or Teng & or Tang Families, (those were the days, late great grandfather 'hunyin pinyin' in Henghua Dialect At The Registrar of Birth Dept,!) Together! Now, What Happens to My Dearest Eldest Brother's Both Daughters, Not A Single  Trip Of Visit To Their Dearest Daddy Hospitalised In 'CGH' Or  Of Their Image Couldn't Be Seen. *As What, My Eldest Brother Told Me, 'The Cu2', What're Both Daughters Have Done Now, To Their Lively Father, Been Hospitalised, *Our Heavenly Father God Of Almighty, Is Watching Daily, Meant God's Has Eyes To See. 1) Eldest Bro., told me too, what goes round will comes round back to the original ones too, Either & or soonest or latest!, Meant what both of my eldest brother's  Daughters planted now, will also harvest speedily soon! Amen. ðŸ™.",2021-03-12,347
