,Unnamed: 0,Comments,Datetime,num_words
0,0,Big Thanks for hard working and facing all kind of challenges in this covit-19 pandemic time.,2020-09-07,16
1,1,When is the COVID-19 is over? Is is for 3 year or to 5 year more how come not finish yet how long we all wear the mask and one meter away from other people????.....,2020-09-07,33
2,2,alhamdulillah!  Thanks to Singapore Health management.,2020-09-07,6
3,6,"Can the authority please, please release more information reguarding the confirmation of 373 positive cases detected today.  How many tests were done in total today?  In other words 373 tested positive  out of a total of xxx number of individuals tested.",2020-05-28,39
4,7,"The world can see the news of ur mindset attitude ,there are no Singaporean,there are fws. One day Sg will see the value of human being.Good luck.",2020-05-29,27
5,8,Hurray - no Singaporeans among today's cases. Pray let's keep it this way.👍🏾👏,2020-05-28,10
6,9,"🙏Thank you God you defeated all enemies, and We pray for all the world enemies will Vanish. 🙏",2020-05-28,17
7,10,"So today is the first time zero case for local, let's celebrate by open up dine-in for hawkers and coffeeshops.",2020-05-28,18
8,11,"There’s really no reason to cheer, there are fws that are still being struck by this horrible disease, and they are as much human as you and me. Typical Singaporean attitude!!",2020-05-28,32
9,12,It's a good sign. Thank you Lord🙏🙏🙏,2020-05-28,6
10,13,"Okay... keep the community number at zero. Ok? As Singaporeans, we are so Kiasu, so the results can be substantiated.",2020-05-28,20
11,14,"32,876 cases  17,276 discharged  23 fatalities  Fatality rate = 0.07%  Time to get life back to normal ",2020-05-28,12
12,16,Maintain this all the way hor till end June then we shall all see phase 2.. ! Paiseh ah for some that are already in phase 1.. ,2020-05-28,24
13,17,Thank you so much God 🙏🙏🙏,2020-05-28,5
14,18,Press On Spore! We are getting there... 😍😍,2020-05-28,7
15,20,Should the number of tests be released?,2020-05-28,7
16,34,"So does that mean, that all infected are all foreigner like the lowly workforce.",2020-05-28,14
17,0,There are many strategic national security and self- sufficient capacities that be intentionally build e.g. construction workforce in wartime for repairs and rescues..,2020-06-05,24
18,1,What IF there are side effects  of the vaccine and its found out a little too late when we're frail and much older and its too late  for us to reverse back the time. I hooe our heath sector will look into an independant study of this. Do they have a reasonable amount of time to study the effects ? Is this a second best choice to get the world going while compromising on any side effects? Or is the side effects just less than the immediate health and financial implications of COVID-19?,2020-06-05,91
19,2,Well Done.. Cooperation n support Globally for the Common Good of Mankind🤗,2020-06-05,12
20,3,Out sourcing again? Don't ended up like Taiwan's mask factory incident.,2020-06-05,9
21,4,"The PM is using words that other leaders were baically given to include in their speaches. That is, diagnostics, vaccines and therapeutics. Gavi (Bill Gates initiative) is another of a long line of organizations Bill Gates hands are involved in, also the WHO. Do not belive this vaccines from the companies making them. It will be the downfall of mankind. Go reearch indepth about all the organizations Bill Gates is involved in and his real goals. Dont fall for this Gov also bent on using any of his vaccines. Start off with this video and find more yourself. https://youtu.be/1Z5VYqJqrtI ",2020-06-05,98
22,5,Countries which want a reliable and neutral country to manufacture vaccines can look to Singapore.  We will test and QC for a peace of mind.,2020-06-05,25
23,6,"Send to china, they copy and undercut your price  Send to india, they copy and put under generic then under cut you.  🤣🤣🤣🤣",2020-06-05,22
