,Comments,Datetime,num_words
0,"Sure go up if people donâ€™t take care of themselves or accidentally infected . Death toll controlled well  ,must thanks the medical team fighting Very hard in saving the patient lives. A few near gone were saved and today they have discharged.     Keep it up all medical frontlines and do take great care ! ",2020-06-14,52
1,Thank God you had recovered. Stay healthy...And thank you for your hard work here in my country. Thank you very much once again.,2020-06-14,24
2,The numbers are those detected. I am just saying that the numbers will never be zero as many now are asymptomatic cases. Not trying to make the issue small. Take the numbers into perspective as well. How many have recovered? How many in ICU? How many in care facilities? How many of the new infections are from existing clusters?   It is not about putting our guard down either. It is about being responsible and do what we have to do to ensure as much as possible we are keeping one another safe.  This is really a balancing act between public health and the economy. It is tough.,2020-06-14,107
3,Thank you very much healthcare workers in Singapore for taking good care of everyone in Singapore.,2020-06-14,16
4,"I urge the authorities to go hard on people who are not from different families who gather. I see a lot of youngsters doing that. If not, community spread cannot end. God knows how many asymptomatic cases there are out there! If this drags on, many people will have problems with their livelihood. ",2020-06-14,53
5,Continue lockdown is better until really no case like others countries do that . The no of cases Everyday increases and the dormitory no end testing hope the government seem to it our safe.,2020-06-14,33
6,"I think we gotta accept that COVID is here to stay with us for the long run. It's not an issue of who will get infection, but when, Just like H1NI and H5N1 flu. We don't know who has it and who doesn't, or perhaps those who have it might have been able to get better from it by themselves over time. I guess in the meantime is about taking the necessary precautions yet moving on with life. And pray for the vaccine to quickly come into fruition.",2020-06-14,83
7,We are so thankful to you all that  make singapore such a beatiful country  n very hard working ðŸ‘ðŸ‘ðŸ‘heart alsoâ¤â¤â¤ðŸ‘µ,2020-06-14,19
8,"As expected, community cases up down up down. Don't be happy too early if community cases go down for one or two day, next day it will up again, think will be hard for community cases to go down with no safe distance measures    implemented on public transport now.",2020-06-14,48
9,"Why the FW cases never really come down. Any underlying reasons and causes? Like this, better postpone GE till Sept or later of this year please.",2020-06-14,26
10,"This people like to complaint, like to compare. Be Singaporean for what. Leave Singapore for good if you think Singapore lousy. Get life else where. Be grateful, live with the new norm. Change your way of living with hygiene, don wait for someone to change it for you. Some how it's a good sign that we see the figure rise and deflate and at a consistent level, Not a sudden surge in the open community. This also show how effective our system works. As long as the virus not contained globally. Don be too happy with zero figure. Lockdown, circuit Breaker etc will not do us good at all. Economy must move on... We must live and move on like usual with a little bit changes. Rotting at home will not do us good. When you are out of money, out of job, out of food, you will know covid is not the worst. Just learn to live with it. Take care all and stay safe.",2020-06-14,165
11,"To be honest, even with the single digit in community does not ease my mind to go out and work. I rather phase 2 don't kick in that fast yet. Is always better to be safe than sorry.",2020-06-14,36
12,Now phase 1 already looks like any other normal days before covid.. people are also taking things so lightly..,2020-06-14,18
13,Dormitories workers cannot leave their premises. This rule been implemented since CB. How come new dormitories can be affected if they donâ€™t meet each other from the affected dormitories? Can someone enlighten the reason?  Everyday new dormitories or factories are mentioned. ,2020-06-14,41
14,Is it again the infection is â€œduring lockdownâ€ and were picked up due to â€œproactive testingâ€?,2020-06-14,12
15,I rather have the CB stay home n safe ..teach n work from home,2020-06-14,14
16,Thailand is doing a good job,2020-06-14,6
17,Enough is enough. Our lives matter. Enough said VTO fast ,2020-06-14,10
18,Up down up down up down up down up down up down. Do the figs really matter now? When can we see the end of this ? So many countries are opening up. Sigh !,2020-06-14,33
19,"So how many have been tested? Don't just the numbers detached. Daily numbers tested and how many infected, that will let all Singaporean have a clearer picture.",2020-06-14,26
20,"Every day still add few hundreds. Cannot understand...... does it seem right âœ…?  Anybody question why? This just goes to confirm we have already a huge number of infections from long back. And just isolated them and testing this huge cluster group now. If we have a 300000 FW workforce, u can simply guess the number of infections we would finally have.",2020-06-14,60
21,Can someone help me understand why is there no social distancing in MRT trains? ,2020-06-14,14
22,The mask will keep the infection rate in check. But the dorms numbers r bad. Jo Teo has outdone no ministers have done. Good luck if she is coming to yr GRC.,2020-06-14,32
23,Prayers for wise measures and wisdom to minister to overcome this virus war ,2020-06-14,13
24,Country so small. Have such high ratio.,2020-06-14,7
25,Why can't do a tougher measure and stop all spreading? More and more open up even though we have confirmed cases going up daily.,2020-06-14,23
26,Has been testing since February and still never ending. How many more to go. What are all these ministries doing?,2020-06-14,20
27,This will be the new norm. I hope that few get sick other than the normal flu symptoms.,2020-06-15,18
28,I think phase 2 of reopening is coming soon as Long as community cases remain stable at single digit for the next couple of days .,2020-06-14,24
29,"Never end , when all able to test finish, everyday 3 number and never mentioned how many to they tested",2020-06-14,18
30,"Up to 100k will coming  soon, everyday increases 400++ new case, Singapore too small but the case hight rise in Asia",2020-06-14,19
31,Why other countries can make it our county  very small still everyday 3 munber  ðŸ™ðŸ™ðŸ™ðŸ™,2020-06-14,13
32,Shouldn't Singapore have herd immunity now  like Sweden? Temperature is higher there and should have been faster?,2020-06-14,16
33,COVID-19 situation is consistently stable now.  Should be able to implement phase 2 sometime next week.  Should not waste time.  Time lost for COVID-19 is very costly.,2020-06-14,26
34,"Soon it will be more sporean positive......mrt,bus....no safe distancing.....hahahah..just waiting e number going up...then all start to lockdown again...",2020-06-14,25
35,Keep it up. Sg must be on top of the list. Everything number one.,2020-06-14,14
36,"Singapore lockdown continues if you want save people,,,if you want save money let them like now one day 500 cases really stupid,,,,",2020-06-14,22
37,"At the current rate, cannot even smell Phase 2 of the New Normal. ",2020-06-14,12
38,Don't know taking how many days to report this news?,2020-06-14,9
39,Well done..r we trying to beat China like Table Tennis ?,2020-06-14,11
40,Let's get back to Day 1 shall we?,2020-06-14,6
41,why is it not going down?,2020-06-14,6
42,Everyday three digits how to go to phase 2 ?,2020-06-14,8
43,"No work no money, no food to eat then die, 3months already",2020-06-14,11
44,Just go to the mall and see for yourself how many familyâ€™s are out walking around ? ,2020-06-14,16
45,"I also recovered from covid -19 and stay home for 7days as quarantine. I want to thanks from the deep of my heart and this goes to Singapore government and the doctors, nurse and the others. Who take care me as a friend and family member. I am a Bangladeshi and really respect them, i will never forget their behaviour ðŸ˜ðŸ˜ðŸ˜ðŸ˜.",2020-06-14,58
46,Nobody care about corona anymore.. just live as new norm.. take care yourself.. ,2020-06-14,13
47,Think will not start phase 2. Cos still increasing.  Have 6sense might another 2nd CB..,2020-06-14,12
48,Oh ! Dear ! Getting more by the days ! How to go for phase 2 ? ,2020-06-14,12
