,Comments,Datetime,num_words
0,Must be so thankful to the one that kept on importing the Covid-19 daily and pass it to our own locals ..such a amazing job ðŸ‘,2021-02-12,25
1,A lot of people are unwilling to see a doctor now because they only have *14 days of MC and their *PB are sadly tied to how many days of MC they submit per year. ,2021-02-12,34
2,"We always have people of such around. Rather depending on a safe environment I would have a ""always unsafe"" environment mindset. Always mask on, wash hands regularly where possible, don't touch our face etc",2021-02-12,33
3,"With the exception of the NSF, the rest of the other community cases have the same issue of not seeking medical attention and continuing to work/ go out. Their reckless behavior put more people at risk. So when will these people be charged to ensure such irresponsible behavior is stopped?",2021-02-12,50
4,Why name the Swenson's location but not the old man's shop unit?  He was infectious for a week and working at his shop. He didn't have trace together. So people needs to know if they went close to his unit or not lah!,2021-02-12,40
5,"They should bear the cost of treating them.  PR status should be revoked.  They are wasting our resources, taking the trace together token but not carrying them around... Utterly irresponsible..",2021-02-12,30
6,"Cancel their PR immediately. They are considered as murderer. Look at the numbers of elderly and they just can't be bothered. Very angry with this kind of people. Stop this nonsense MOM, MOH.",2021-02-13,32
7,Now blame people for not using Trace Together! I will not use also in fear of the government tracking my whereabouts!,2021-02-12,21
8,"â€œHe first developed a dry cough on Jan 28 and ""anosmia"", or loss of smell, on Feb 9, but did not seek medical attention, said the Ministry of Health (MOH).â€  Loss of smell is a well-known symptom of covid... still donâ€™t want to see doctor?! What a F*cker ðŸ¤¬ ",2021-02-12,45
9,Time to make TT compulsory. Or else it make no sense for having the TT programme for contact tracing.,2021-02-12,19
10,How many more Chinatown visitors have come into contact with this guy. How many more stall holders will be tested positive and how are the visitors to China town who have contacts with them traced.  For me this is a Pretty scary situation.,2021-02-12,43
11,Gateway is open and some of those who came in did not abide to SHN and QO. Thatâ€™s how itâ€™s spread. Those working in Changi Airport should be given shower facilities to shower before they go home. Please also give them better mask and hand sanitizer for better protection ,2021-02-12,49
12,IMHO those who purposely sabotage contact tracing efforts shouldn't get to enjoy free medical treatment for Covid,2021-02-12,16
13,We stand or fall together. Please carry your trace tokens with you at all times. Otherwise we will end up like our neighbours with thousand of new infections everyday.,2021-02-12,29
14,We waited for more than 10mths to finally reach phase 3 and these 2 covidiots still living like Feb 2020.,2021-02-12,16
15,"After reading the article,itâ€™s wow, sounds like the start of the second wave ðŸŒŠ ",2021-02-12,14
16,"Did not use TT, didnâ€™t go to doctor, but went everywhere. And at work at Chinatown at the time of CNY shopping period. How irresponsible these people can be? Please let people know which stall, otherwise many may be freaking out.",2021-02-12,41
17,"To those who carry tracetogether tokens, please ensure that the tokens are working fine. Tokens with blinking red light or rapid blinking of green light indicates the battery of the token is running low. Get them replaced at any community centre.",2021-02-12,41
18,"Everyone shld play our part by seeking medical advice during such a period. One of the reason why they don't is because they don't want to be swabbed. It like people who look for job but due to the need to swab, they turn down offer. I really wonder is stomach important or refuse to swab important.   The govt should look at what is the reason why ppl do not seek medical immediately and certain penalties shld imposed. Else we have walking virus carrier around us. Should also imposed penalties for ppl who do not open trace together or never bring token with them. Why so secretive that no one can know your whereabout?",2021-02-12,112
19,"Thus trace token or apps is not helping as ignorance people just dont care less or more..pretend to forget,turn blind eye,batt low,to avoid safe entry or detect them.IF THIS CONTINUES,it will increased ..take care ,stay safe..",2021-02-12,40
20,"Sure, it's irresponsible of them not to carry TT token, but those who were there and blaming them go ask yourselves whether you've brought those tokens with you as well first.",2021-02-12,29
21,If phone no battery the app also useless. And if I want to do illegal case. I won't use my own token. I will wait my family member asleep n steal their token. Both are useless implementation.,2021-02-12,36
22,How the PR stall owner checked into the Chinatown Complex?   How the PR son checked into Changi Airport and Swensen?,2021-02-12,20
23,66-year-old permanent resident....can a person forever just be a PR without any time limit?,2021-02-12,14
24,"Noticed that these days local transmission cases are detected in people who do not seek medical attention upon falling ill.  People are not taking this seriously.  Why?  No more deaths from Covid-19 in Singapore?  It's so easy to come across people who do not wear mask (quiet streets, at bus stops before the bus arrives, late at night, at sitting areas in void decks, doing 'brisk' walking...)",2021-02-12,66
25,"Why is MOH demonising them because they didnâ€™t use TraceTogether?   First attempting to deceive, then blackmailing now demonising? The more the government does this the more resentment there will be. ",2021-02-12,30
26,The PR fatherâ€™s status should be revoke and send him back to his original country.,2021-02-12,15
27,"Both in f&b, imagine how much people they shared the virus with. And with no trace together, how to properly contact those who came near them during this period?.....",2021-02-12,30
28,"Maybe after what Dr. V had said, they scare to turn on the TT.",2021-02-12,14
29,Airport is a dangerous place because we allow infected to enter. Don't blame them for not using TraceTogether. Blame should be on those who allowed infected to keep entering the country without a care.,2021-02-12,33
30,"Very irresponsible, should revoke their PR status.  ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ ðŸ˜¡ðŸ˜¡ ",2021-02-12,7
31,"Trace Together token is not compulsory at the moment. Until the idiotic garment decide what the F they want, don't put such idiotic headlines out bcos it is not the People's Fault. It is the Fault of you stupid government who don't know that the hell you are doing. So much for a bunch of overpaid goondus.",2021-02-12,54
32,I rather all places implement only TT for entry. So these irresponsible people would have to lan lan use TT wherever they go since they dislike to consult doctor even when they have symptoms. Govt have to stop being complacent already,2021-02-12,41
33,"If wanna blame those who dont use TT, then might as well blame those who keep importing cases. Coz the root of all community cases spread comes from imports.",2021-02-12,29
34,Ah best...later Hari Raya kena sacrifice again...last year CNY can celebrate Hari Raya lockdown...this year round two issit?!,2021-02-12,21
35,Actually  many dun carry it or on the TT  app...should either make it compulsory  or fine them if caught not doing so..,2021-02-12,23
36,Loss of smell still donâ€™t want to see doctor. Work @ Chinatown some more. Really irresponsible leh.,2021-02-12,16
37,Selfish father and sonðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ and Chinatown area got so many elderly,2021-02-12,10
38,The man developed a runny nose on Feb 8 â€œAFTERâ€ work ..... Yeah like he was going to admit he had a runny nose before or during work,2021-02-12,25
39,so something wrong with swensen or airport management? how did the son even get into t3 n into swensen to work? they dun need to scan in?,2021-02-12,26
40,Typical PRCs... rules meant to be broken in their culture,2021-02-12,10
41,Omg !! PLEASE REVOKED THIER PR STATUS !!  We donâ€™t need ppl like this in my Country!! ðŸ¤¬ðŸ¤¬ðŸ¤¬,2021-02-12,15
42,These people should be severely punished.,2021-02-12,6
43,Very irresponsible and those crowd flooded into China Town.. may be panic now.. they are equally irresponsible too. ,2021-02-12,18
44,Im surprised this post hasnt been spammed by the burmese yet.,2021-02-12,11
45,Lets see what will happen next week after cny.,2021-02-12,9
46,Ho sae.. those go chinatown over the weekend to rub shoulder one now steam liao lor.. ,2021-02-12,16
47,International intake gates like airports are likely to happen.,2021-02-12,9
48,Don't want to carry token then why kangchong go stand first in line to go grab it??,2021-02-12,16
49,Import more cases lah. Blardy clowns and jokers are so irresponsible. What can ppl expect. ,2021-02-12,15
50,Who pass them the virus? Please answer the question.,2021-02-12,9
51,If sick much see doctor don't be so selfish. Infect other people,2021-02-12,11
52,Must be sacred of data leak. It seems that technology is scarier than covid ,2021-02-12,14
53,Son work swensen aiport and dont use trace token? How is that possible??,2021-02-12,13
54,"In fact, government should make every body to carry their Trace Together token, failing to carry should fine them, they must treated this token as their IC. Make Distancing officers to surprise check on them in the public place, especially crowded place.",2021-02-12,42
55,Hope father and son will  GWS..just cannot imagine the amount of covid 19 spreaded  at the crowd in Chinatown  and the always pack Swensen in T3 ..Haiz back to indoors again..,2021-02-12,30
56,"Hangman case for not using the trace together token.  Charge 1st & Revoke the PR of old man. As for infected SG son, collect a heavy fine.  After which, all this will work perfectly fine.",2021-02-12,33
57,Revoke PR status and send them back to wherever tf they came from.,2021-02-12,13
58,COVIDIOTS!!!!!!! Make them pay for their own treatments!!!!!,2021-02-12,8
59,If never use trace together app or token means we dont know where they have been..,2021-02-12,16
60,"MOM  PLEASE TAKE NOTE ðŸ™ IF BOTH OF THEM ARE PR, PLEASE REVOKE THEIR STATUS AND OUT THEY GO. NO LONGER CAN STAY IN SINGAPORE!   This is to set an example so that all will abide by the rules and regulations of Covid... ðŸ™ No suka suka any how and spread to others! ðŸ˜¬",2021-02-12,51
61,Well......done to both of them....stay safe everyone. So many people like them outta here...speechless,2021-02-12,17
62,Ayo so irresponsible!!! You got your own shop to run and wish that economy got better yet  still wanna put the whole nation into trouble which will end up affecting yourself. ,2021-02-12,31
63,How they enter the mall and changi airport leh,2021-02-12,9
64,Wish government could somehow mandate TT usage ... ðŸ˜,2021-02-12,7
65,If cb soon for 6 months ...I think wud be safe.,2021-02-12,10
66,Is CNA helping PAP to threaten ppl to use the TT app?,2021-02-12,12
67,"Now then u know, many never check in at shops upon checking in once at entrance of a mall.",2021-02-12,19
68,"Authorities pls realise that this is the norm that is happening on the ground. No need to act so shocked; if you are, you need to go get a reality check. What are you doing to prevent this from continuing? ",2021-02-12,40
69,This is something government should realise.  Collecting Trace Together token is one thing and having the responsibility to bringing it out is another.  On paper Government can tell the whole world how good it is. However in reality is another.  Now why didn't both men bring it out especially when they are aware they are unwell???  Something the news not telling us?,2021-02-12,61
70,"Any idea what the distance of detection of TT? Assume if they did had TT with them but instead of putting it at pocket, they put inside the store or locker can TT still detect who is near them?",2021-02-12,39
71,Where can we report non-compliance safe distancing cases?,2021-02-12,7
72,"If close the border, this thing will happened? How many more of us community need to be infected by the imports and become super spreaders to the rest, for us to close the borders?",2021-02-12,34
73,So irresponsible of them! After so much suffering n hard work. Canâ€™t they just follow n use s app! Just coz everyone getting vaccine that doesnâ€™t mean we can be complacent! ,2021-02-14,31
74,Like father like son. Should be a crime to not see a doctor when one has obvious covid symptoms! ðŸ¤¬,2021-02-12,19
75,Hope the authority would take stern action with such people. ,2021-02-13,10
76,"The result of privacy as trust is broken. As trace together add on crime together. After all , overall usage is only less than 50% . Failure due to amendment ,in case on just emergency law, All must used trace together,  or break under emergency law. Jail 10 yrs for fail to used trace together.",2021-02-12,51
77,The source is not the tokens but the importer of the virus. Don't anyhow deviate.  Get the facts right!,2021-02-12,18
78,Both of them doest have covid at all it's just a way to tell people to use the trace together.son have father don't have what a joke,2021-02-12,24
79,For those who had went to Chinatown for a feel pls monitor your health n see a doctor if u feel unwell ,2021-02-12,22
80,"Thats why ... why one needs to be selfish due to their ignorance action and it feels like these people purposely did it this way. Come on lah dun tell me everywhere u go, u dun do the tracing app and just walk in suka suka ah",2021-02-12,46
81,Can anyone know what is the direction for someone with Tracetogether Apps displayed Possible Exposure to covid-19?,2021-02-13,17
82,Maybe both don't have handphone..and also don't  know what is token.omg,2021-02-12,9
83,Big news if any covid cases are local like its their fault Imported cases is a hush hush,2021-02-13,18
84,This is exactly how a super spreader do.....,2021-02-12,8
85,Nobody would turn it on or bring the token with them once you agree to let others access our data. ,2021-02-12,20
86,These 2 are just selfish and hurt others irresponsibly.,2021-02-12,8
87,Charge the Father and Son in Court than revoke the fatherâ€™s #permanentresident #PR,2021-02-12,11
88,Even with the token ... some is no batteries ...trace together app I on bluetooth only when i scan  ..... ... still can trace ?,2021-02-12,21
89,many thanks for doing the opposite of helping by not doing the BASICS of prevention! ðŸ˜ ðŸ‘Ž,2021-02-12,15
90,"if they don't announce the stall, then the whole china town market will be affected, noone is going there anytime soon.",2021-02-12,20
91,alot of ppl dont mind their data leak to google or android app but mind leaking to governent. i wonder why??,2021-02-12,21
92,"They may have forgotten their tokens, and nobody wants to use the tracetogether app for the simple fact that it will drain your phone battery real fast.",2021-02-12,27
93,Is ok to be infected from Changi travellers. Just make sure you seek medical attention immediately whenever you are sick or anosmia ,2021-02-12,22
94,These people should be given a heavy fine!! ,2021-02-12,8
95,"Your caption sounds like they did wrong by not using the app or bringing the token with them..  #1- Itâ€™s not compulsory.. yet! So itâ€™s up to them if they wanna install the app or not, and if they wanna carry their token.. provided they already collected it. So I dont understand why the caption sounds like theyâ€™re being penalized for not having either. Make the token/app compulsory then itâ€™s a different story.",2021-02-12,73
96,"More importantly, where did the China PR got the Wuhan virus from? Did he go to China recently?",2021-02-12,18
97,Are we gunning for a Covid infections bull run in the year of Bull.....ðŸ§ðŸ§ðŸ§,2021-02-12,14
100,"China is a country that has always made the past, present and future of all Burmese people difficult",2021-02-12,18
101,Good luck to those who went to dad store and dine at swensen changi airport,2021-02-12,15
103,"á€á€›á€¯á€á€ºá€”á€²á€· á€›á€¯á€›á€¾á€¬á€¸á€€ á€™á€¼á€”á€ºá€™á€¬á€”á€­á€„á€ºá€„á€¶á€•á€¼á€Šá€ºá€á€½á€„á€ºá€¸á€á€Šá€ºá€„á€¼á€­á€™á€ºá€¡á€±á€¸á€á€»á€™á€ºá€¸á€›á€±á€¸á€¡á€€á€¼á€±á€¬á€„á€ºá€¸á€•á€¼á€•á€¼á€®á€¸ á€€á€”á€·á€ºá€œá€”á€·á€ºá€á€­á€¯á€€á€ºá€”á€±á€á€¼á€„á€ºá€¸á€€á€­á€¯á€¡á€•á€¼á€„á€ºá€¸á€¡á€‘á€”á€º á€›á€¾á€¯á€¶á€·á€á€»á€•á€«á€á€šá€º á‹  The people of Myanmar (Burma) live in Myanmar forever. The people of Myanmar represent Myanmar forever. If the Chinese and Russia government really wants to benefit Myanmar, it should seriously support the desire of the Myanmar people. I respectfully urge the Chinese and Russia government not to support the criminal armed group that illegally seized the sovereignty of the Myanmar people.  #SaveMyanmar #RejectTheMilarityCoup  #HearTheVoiceOfMyanmar",2021-02-13,61
104,"""Both Cases 60138 and 60150 do not use the TraceTogether app, and while they both have TraceTogether tokens, they did not carry their tokens with them,"" said MOH.  Probably influenced by those stirrers who tried to politicise trace together. Irresponsible unlinked cases. This what we get when people start opting out of it.",2021-02-12,51
107,"The Myanmar military is now trying to control the Internet system like mainland China, and the Chinese government also supports the Myanmar military for a successful coup. The Chinese government is the chief culprit in the lives of the Burmese people.",2021-02-12,41
111,"If like this can't trace, don't know spread to where already?",2021-02-12,9
112,"Ought to be shame publicly, very irresponsible dirt.",2021-02-12,8
115,"When I go pun sai, TT always with me.",2021-02-12,9
117,i just went chinatown complex 5th of feb !,2021-02-12,7
