,Comments,Datetime,num_words
0,"Wow, better than pfizer, when is sg buying this? But we still cant choose, what is the point🤔",2021-03-13,18
1,"Our government can get this vaccine and vaccinate our population very fast, So that we will be safer ",2021-03-13,18
2,U miss out a '?' at the end of the headline.,2021-03-13,10
3,"Yes, to acheive herd immunity faster...",2021-03-13,6
6,Dutch vaccine you needed one shot 💉,2021-03-14,6
7,What is the effectiveness data? Also how safe is it?,2021-03-13,10
8,WHO??? The very organization that has part to blame in this Wuhan virus pandemic.,2021-03-13,14
15,For the food concerns during COVID 19 and have a bigger military base instead of paying rental for overseas training site   . Time for our government to consider to buy back Christmas Island from Australia. https://m.youtube.com/watch?v=rZlXUiPFHbs&t=4s,2021-03-13,33
16,"Listen to the real experts with real degrees, masters, PhD who practice type of experts. Facebook university experts churn out infections diseases specialist are never to be trusted.Vaccination save life and prevent stupidity from brain damage. For those already stupid, I suppose there is no longer a need to be vaccinated... Already stupid",2021-03-13,52
17,After the injection you will smell like baby.,2021-03-14,8
18,Must avoid any possibility of vaccine discrimination as developed country ,2021-03-10,10
19,What's the use? They are well known for faking anything.  They would and may  pay to buy one .,2021-03-10,17
20,"Only way to prevent fake is digital portal access through gov managed system verified by airlines before they allow boarding, somewhat like the visa!   Cannot accept paper certification! Too risky! ",2021-03-09,30
22,Betcha counterfeit vaccination passports will be the next big money spinner.,2021-03-09,11
23,"The world is always a messy place, each country comes up with its own health passport and ways of declaration.  At the end of the day, people will face lots of inconveniences when they are using different standards.",2021-03-09,38
24,All of the sudden China comes up with the most useful passport and takes the top spot.,2021-03-09,17
25,"What happen if you can’t take the vaccine bec of allergies , so cannot travel ",2021-03-09,15
27,So without vaccination mean cannot travel. It'll be messy for world travel now.  So those unable to get vaccination because allergy how?,2021-03-09,21
28,Soon there will a Fake vaccine passport. ,2021-03-09,7
29,"There should be only one worldwide international vaccination passport, doesn't make much sense if every country does their own.",2021-03-09,18
30,identity theft will be on the rise soon...,2021-03-10,8
31,Has there been proven data to show that a person who is vaccinated is truly immune and will not be a carrier? Then there is the issue of document authenticity,2021-03-10,30
32,I knew this was coming....,2021-03-09,5
33,Looks like SG and China collaborating on this digital passport to showcase,2021-03-09,12
34,wahlan...jialat...sg is going to believe n trust it.....,2021-03-09,10
35,Better to produce effective cure and to focus on it.  Vaccination will take years and this is not solution at all. ,2021-03-10,21
36,"They can did everything,,, such as,,,the source of virus from china,,,and they supplies to whole World😷😷 aging they😁😁😁😁",2021-03-09,20
39,50 millions 🎲  then  the pandemic will be over,2021-03-10,7
41,Can those vaccinated be a carrier???,2021-03-10,6
42,This is the way forward.... I am looking for revenge on covid messing up all my holiday plans last year,2021-03-10,20
43,"It will just be like the Covid-19 positive travelers we're reporting daily where most if not all were supposed to have cleared departure tests, and the last thing we need is to let Communist China harvest personal information from us thru this facility.",2021-03-09,42
44,Haha. We can't even trust their vaccine...,2021-03-09,6
45,Look out for fake vaccine passports,2021-03-10,6
51,This china is really fake! U expected ur people to have easy clearance to other countries but still wan travellers to china to be quarantined 14 days and do that stupid anal swab test. ,2021-03-10,33
52,"‘And that no man might buy or sell, save he that had the mark, or the name of the beast, or the number of his name. Here is wisdom. Let him that hath understanding count the number of the beast: for it is the number of a man; and his number is six hundred and sixty-six.‘ 🔥 666 💉  666 🔥 666 💉 666 🔥 ",2021-03-10,55
53,China = FAKE.... maybe can buy from some online sales platform soon   ,2021-03-10,11
54,I wonder if it’s available on TaoBao 🤣🤣🤣,2021-03-10,8
55,Our govt needs to build up its citizens' trust in giving high efficacy vaccines!,2021-03-09,14
56,"Yes it's important to know the duration of immunity vaccines can provide, just like a scuba diver needing to know how much air is left in his tanks.",2021-03-09,27
57,Does this mean we shld take the 2nd dose later after 12 or more days?,2021-03-09,13
59,We need to up our vac rate so that our Changi Airport can reopen soon...our ecomony depends on it!,2021-03-09,20
60,Wonder y their CEO never take their injection?,2021-03-09,8
61,"By right, vaccines are only approved AFTER the trials have been completed.   But for the Covid vaccines, the trials are still ongoing till 2023. That’s why these Covid vaccines approved for Emergency Use ONLY.   So those willing to be vaccinated are actually volunteering to be part of the ongoing study for the drug companies. Everybody responds or reacts differently to the vaccination.  This is the reason why they can’t confirm: how long the these vaccines will ”protect” you especially if the virus mutates or whether you can still transmit the virus if infected.   Hence, masks and social distancing and the usual hygiene steps are still required even after being vaccinated.",2021-03-10,111
63,I am hoping our nation vaccination rates can be speeded up... I thought one month max for whole of Singapore to be vaccinated by medics and commanders trainees from the SAF working on shift 24 / 7...,2021-03-10,34
64,Wish it was my turn now.,2021-03-09,6
66,"""We've tentatively concluded that it was difficult to establish any link between their adverse reaction after being vaccinated and their deaths,""   Difficult to establish any link doesn't conclude there isn't any link where the medical team investigating may not have considerable empirical evidence to support adverse reactions that culminate in death; underlying healthy conditions seemingly become a defence and rebuttals.",2021-03-08,57
67,It really puzzle me why all the serious side effect and death obviously caused by the vaccines are brushed off as ‘not linked to the vaccines’. It seems getting everyone vaccinated hence opening up the border as soon as possible and get the economy running is more important then human life.,2021-03-09,51
68,"""found no link"" doesn't mean there's no link. U just can't find it. Anyway Spore don't have AZ vaccines",2021-03-08,15
69,We've tentatively concluded that it was difficult to establish any link between their adverse reaction after being vaccinated and their deaths....thus considered no link??????😢😢😢😢,2021-03-08,24
70,Update: 2 more died within 2 days of receiving the AZ vaccine and it is reported that the total of such cases has reached 11in S Korea. Autopsies are underway.,2021-03-08,27
71,No need finding already knows what the finding will be...,2021-03-08,10
72,"All deaths not related to vaccine, no evidence. No need to investigate. Full stop.",2021-03-08,14
73,Being stumped does not equal to no links... Mankind had also for a long time believed that the world is flat and has no link to the rising and setting sun!,2021-03-09,31
74,Got underlying conditions better dun take the jab 😂,2021-03-08,8
75,Forever no link. Then continue and see more deaths.??,2021-03-09,9
76,Forever no link... that was the excuses...😁😁😁,2021-03-08,7
77,The only way to “prove a link” is if they go into shock IMMEDIATELY- that is the only way they will even CONSIDER a link. ,2021-03-08,25
