,Comments,Datetime,num_words
0,Very scary for injections. I feel well and health. No sick. I better not to take the injections. I am okay.,2021-01-31,21
1,"If you're scared don't inject is the best, no side effect and won't die.",2021-01-29,11
2,Nobody knows for sure yet! Because it is an experimental drug approved for emergency use.,2021-02-02,15
3,"If ppl got severe side effect the only word u hear from them is we are sorry such thing happen, or they said it might not be due to vaccine bla bla bla but the person or relative lost a love one",2021-01-26,42
4,Would a vaccinated person become a virus carrier to a non vaccinated person?,2021-02-07,13
5,But WHO has been wrong about Covid19,2021-01-25,7
6,"Life  so  short,   why  scare.   Alot  of  people  already   jab",2021-02-03,10
7,Life are predestined. When you born in this world already risk why so scare of death.,2021-01-30,16
8,Take at your own risk. Even the Pfizer CEO n Bill n family not taking the jab..,2021-02-05,17
9,Some say their arm cannot move for 2 days after the jab,2021-01-28,11
10,Singapore are too successful in prevent the majority public from getting infected that they are only depending on Facebook to know how dangerous covid is. The majority public are more concern about the side effect of the vaccination then the danger of covid.,2021-02-05,43
11,Is the vaccine suitable for dylasis patient?,2021-01-26,7
12,You survived a year without the vaccine - lucky or not - I do not know.  Do you think you need this?,2021-01-28,20
13,"This vaccine is safe, not dangerous   people have a uti or high blood  pressure",2021-02-07,14
14,Got immunity vaccine ah repair all immunity system,2021-01-31,8
15,This advert from experts reminds me of healthy don't need to wear mask video previously shown.,2021-01-25,15
16,Always the good not the bad luckily got internet world news,2021-01-26,11
17,Those who are more prone to various allergic reactions best Not to take it!,2021-02-02,14
20,Death is a side effect!,2021-01-08,5
22,Every drug either oral or intra muscular extra will give side effects and therefore need more than adequate time period to ensure maximum safety during prolonged/ careful research before approval for use!  This vaccine is definitely too short for my liking!,2021-02-01,41
23,After injection you will not die then it is safe,2021-01-27,10
24,"From US, Facebook, those with diabetes should not be vaccinated,  is this true. I am a type 2 diabetic.",2021-02-04,18
26,Will need lots of time in research.,2021-02-01,7
28,Thank You Until real results can we please shll,2021-02-02,9
29,Norlizah Salleh Hai Nice Sokmah Abas ,2021-02-04,6
30,Got gv voucher is safe no gv is pain,2021-02-03,9
31,Different country different vaccines? News are saying people are dying from it...how safe for others to take it? Sorry mean nothing when a life is lost,2021-01-29,27
32,"Those people with concern, can wait until the whole took then you take whatever is available lor. ",2021-01-28,17
33,Between covid19 and vaccine side effects.. it depends on each individual's wisdom of choice,2021-01-31,13
34,"I've a lot of allergy issues, is it ok to have the vaccine? 🤔",2021-01-28,12
36,Becareful need more research the vaccine...regarding the engredients/liability of manufacturing...?whatever happens to our health...,2021-01-30,17
37,If you want 2b a guinnea pig carry on .,2021-02-01,8
38,"If Low risk, why insurance payout so much ?",2021-01-30,8
41,"To all my sarcastic followers asking me to inform them when I am vaccinated... Already covid vaccinated under the healthcare priority group. No side effects, no swelling, no fever, no itch, nothing... I actually ask the injector for vaccine kau kau, he laugh, say no such thing... 😊🤣. Update, Nothing unusual until 9 hrs late can feel the soreness at the injection location... Acceptable soreness feeling, normal activity not affected except pull up no strength. Soreness did not affect my sleep. Soreness disappear after 15 hrs. All is OK. 😅👍",2021-02-02,86
43,Gd afternoon people I just get my first vaccination today..,2021-01-28,10
44,Btw Covid - 19 and the Vaccines; you choose. ,2021-01-28,7
45,Does trace together respect privacy?,2021-01-30,5
46,One can't afford to be too assured of this vaccine given the scanty data available. It's your personal choice and decision.,2021-01-26,19
61,How about us work permit holder?,2020-12-21,6
63,What about the domestic workers,2020-12-22,5
67,Why need to wear mask if u are vaccinated? Make no sense...,2020-12-22,12
68,We can always rely on our government to ensure that our wellbeing are taken care off. Thank you. N may all be well. Merry Christmas anyway to those who celebrate this joyful day. Tomorrow.,2020-12-24,34
69,I have an autoimmune disease - hashimoto disease - my autoimmune sys (my antibodies) is mistakenly attacking my thyroid cells. Can I take the Covid-19 vaccine? I have an adverse reaction when I take the flu vaccine.,2021-01-08,35
70,Watch and learn and understand,2021-01-08,5
71,Since its gonna protect us...do we still need to don a mask after the vaccination?,2021-01-31,16
