,Comments,Datetime,num_words
0,Thank you for all the hard work through this difficult times! Singapore is very fortunate to have someone like you who is so passionate and so committed to bring greater good to the community! Salute!!,2020-03-02,35
1,THANK YOU SO MUCH to you & your team for the hard work in keeping Singapore safe! Really appreciate it!!!,2020-03-01,19
2,Thank you to you and all your colleagues for doing a great job looking after Singapore!👍👍👍,2020-03-03,16
3,"It will be good if everyone keeps their own log of their activities during this period. In case you are really one of the positive cases or a close contact, the tracing will be less tedious for the contact tracers.",2020-03-01,40
4,Thanks for doing what you guys have been doing. Since CNY! ,2020-03-22,11
5,"A big THANK YOU for your monumental efforts. I’m sure you’re all thoroughly exhausted yet still putting in your best, day in, day out.",2020-03-01,26
6,Countries like Taiwan still dun appreciate what u guys are doing. But I do. Respect. N a big thank you,2020-03-03,20
7,"Glad that he and his colleagues are doing this difficult task. Not sure how long they can keep it up though, he’s cheerful but it’s also clear that he looks tired out. ",2020-03-04,34
8,Must purposely use the still at this moment huh,2020-03-01,9
9,I'm incredibly impressed by the contact tracing team. SPF may want to consider them if they want a career switch but this guy looks so happy with his job. Kudos to him & his colleagues. 🙌🏼,2020-03-07,33
10,Not all heroes wear Cape...,2020-03-01,5
11,Truly appreciate the people doing the contact tracing. Makes a huge difference. Gratitude for their dedication and passion.,2020-03-03,18
12,Kudos to all who are actively involved during tis critical period whether frontline or esoecially those backend where no one knows. Cheers n a BIG Thank You ! God Bless !,2020-03-03,29
13,"I think all of us should start listing down the info now, (touch wood) should any of us or the ppl we have in contact caught the virus, we can produce the info fast and accurate, and of cos make these contact tracers' job easier.",2020-03-03,45
14,Contact tracing requires alot of patient  etc... they are also frontliners helping to arrest the spread if pandemic.. they must be recognised for their efforts n work. Keep it up to all of you there!  Weare counting on you ;) thank you,2020-03-04,41
15,He is so cheerful n so positive in his work.. Looks passionate also~   Thank you for the hard work in compiling within a span of 2 hours,2020-03-01,26
16,This is the kind of sai Kang that no one want to do but need to do. And thank you for doing it!,2020-03-01,23
17,These people are and should be considered the same as the frontline medical staff..,2020-03-02,14
18,"V grateful to you and your team, for sparing no less effort in doing the arduous tasks amidst the worries triggered by the virus spreading... No word can describe the gratitude I feel for the contribution done by all of you. Salute and Thank you for these selfless spirit and work!",2020-03-03,51
19,Thank you for the hard work! Wouldn't it be easier to trace using Google Map timeline of what they did? But of course GPS location would have to be switched on.,2020-03-01,30
20,Thank you to the whole team who contributed! You guys may be behind the scenes but you are as important as the front line medical staff,2020-03-03,26
21,Contact Tracers and MOH should be given a big segment feature at this years NDP. 👏,2020-03-02,15
22,"A huge THANK YOU to all the contact tracing teams. You folks are just way too awesome and important as the front line medical staffs. In fact, there were also many on the grounds working endlessly too daily, like local cleaner workers whom I have seen cleaning up premises diligently like ATM, public facilities, clearing utensils and wiping the tables twice at Kopitiam, foodcourt, hawker centre etc. Hope Mothership.sg could do an interview of them too. 🙂",2020-03-04,75
23,"Sincere thanks from the bottom of our hearts. We feel safe because of your team's efforts to trace, identify and update. Bravo!",2020-03-01,21
24,Haha i like his attitude! That little puzzle piece plays an important role to complete a picture! Well done!,2020-03-03,19
25,The initial interview is just the first step. Needs corroboration with other witnesses and CCTV footages etc. If not how to charge people for lying?,2020-03-01,25
26,"Despite the tedious work, he looks cheerful and happy that he is making meaningful contributions. SGH is very fortunate to have such a staff with great dedication and work attitude. Keep up the good work.",2020-03-02,35
27,Contact tracing is a thankless job. Kudos to the contact tracing team for their hard work and dedication. ,2020-03-01,18
28,Thank you so much for all the hard work of these amazing people behind the scene.,2020-03-01,16
29,These guys are one of the reasons Singapore is still a safe place regardless of the high numbers. Really really excellent efforts! 👍🏻👍🏻👍🏻,2020-03-01,22
30,Truly appreciate your hard efforts! Deeply grateful to every individuals. A big thank you!,2020-03-01,14
31,"Can see that he is very exhausted, tough job and thanks you.",2020-03-02,12
32,Kudos to these guys!   I am pretty sure Indonesia will have a few cases if they had people like these.,2020-03-01,20
33,"Thanks to all who are helping to control the spread including the cleaners at hawker centres, lifts, common areas.",2020-03-03,19
34,So much hardwork and effort. Kudos to him and his team! Thank you so much guys!,2020-03-01,16
35,Great job! A big thank you to you and your team for all these work. Seemingly simple but oh so important!,2020-03-01,21
36,Thank you for your tedious and hard work to help SG keep the covid19 in containment.,2020-03-03,16
