,Comments,Datetime,num_words
0,The thing that pisses me off is they mention specifically that you can't choose the type of vaccine they inject into your body. So even if they run out of Pfizer and start using China-made ones... good luck to all of us.,2021-02-19,40
1,"Ministry of Health, Singapore... it is not stated in the letter to my mum (seniors above 70) that she has to bring the letter even though I had registered for her and got the confirmation. The registration booth at Canberra CC had requested for the letter though eventually she was accepted to proceed w/o the letter. Pls review your process to reduce unnecessary anxiety caused. Thks!",2021-02-24,66
2,Hopefully Seniors Health  History & Daily medication dose may be checked thoroughly before they are  Vaccined,2021-02-20,15
3,Go Singapore!  Both my elderly parents have had the vaccine!  They have had no side effects except my mums arm was a bit sore for a day. Like when she had flu jab. They had it a few weeks ago.  As soon as I and my family are offered the vaccine we are definitely going for it.  I trust this government.  One of the best In the world for looking after us all in covid! Singaporeans must be v proud! ,2021-02-20,80
4,"""About the vaccination work- flow at CCs.  ""We need tell the vaccine organizers, please put the repetitive instructions on an overhead TV screen. No need repeat to  each of us the same instructions and advice. Their masks get wet, and it's dangerous for all involved.""  Also allow jab into the gluteal muscles if requested. No need privacy screens, the staff nurses are competent enough. Easier if patients wear elastic waistband type of pants.",2021-02-20,72
5,"What about the ofw,do they have the vaccination too",2021-02-19,10
6,Great job MOH and PAP government🧧Thank you very much🧧🍊🍊🧧,2021-02-20,10
7,Orh oh....the pressure is building up now and in no time it would be mandatory.,2021-02-20,16
8,Will the dialysis ageing patients suitable for vaccination to prevent CoVid-19 pandemic!?,2021-02-20,12
9,Can a senior who has done a balloon surgery on his heart 5 months ago go for the vaccination? ,2021-02-20,18
10,What if any senior who dun want the vaccination at the moment or should I say wait n see see lor...,2021-02-20,21
11,No need to check medical history? Just go to get vaccine? What if elderly got underlying medical conditions?,2021-02-20,18
12,Then if anything happen? U gonna say not due to the injections again. ,2021-02-19,13
13,will singapore complete all vacine in 6 month. this september we can travel again without quarantine 7 days or more,2021-02-20,18
14,Are we receiving any letters  from MOH to go for the vaccination ? Can MOH advice ?,2021-02-20,15
16,When is the vulnerable individuals turn. Those with disability,2021-02-20,9
17,"When the booking for the centre is full, there is no option to save your personal details and these will need to be keyed in again to schedule a slot.",2021-02-22,30
18,"I'm anxious, I'm 63, I work in a restaurant.",2021-02-20,6
19,may be they want the senior go first so less problem.,2021-02-20,11
20,I hv lots of drugs allergy so received letter than go there than they access me before the jabs right or what?,2021-02-20,22
21,"Weird...minister take vaccine shot, nurse never use gloves. Senior citizen take vaccine shot, nurse need to use gloves.. 🤷🤷🤷",2021-02-20,19
