,Comments,Datetime,num_words
0,There are many strategic national security and self- sufficient capacities that be intentionally build e.g. construction workforce in wartime for repairs and rescues..,2020-06-05,24
1,What IF there are side effects  of the vaccine and its found out a little too late when we're frail and much older and its too late  for us to reverse back the time. I hooe our heath sector will look into an independant study of this. Do they have a reasonable amount of time to study the effects ? Is this a second best choice to get the world going while compromising on any side effects? Or is the side effects just less than the immediate health and financial implications of COVID-19?,2020-06-05,91
2,Well Done.. Cooperation n support Globally for the Common Good of Mankind🤗,2020-06-05,12
3,Out sourcing again? Don't ended up like Taiwan's mask factory incident.,2020-06-05,9
4,"The PM is using words that other leaders were baically given to include in their speaches. That is, diagnostics, vaccines and therapeutics. Gavi (Bill Gates initiative) is another of a long line of organizations Bill Gates hands are involved in, also the WHO. Do not belive this vaccines from the companies making them. It will be the downfall of mankind. Go reearch indepth about all the organizations Bill Gates is involved in and his real goals. Dont fall for this Gov also bent on using any of his vaccines. Start off with this video and find more yourself. https://youtu.be/1Z5VYqJqrtI ",2020-06-05,98
5,Countries which want a reliable and neutral country to manufacture vaccines can look to Singapore.  We will test and QC for a peace of mind.,2020-06-05,25
6,"Send to china, they copy and undercut your price  Send to india, they copy and put under generic then under cut you.  🤣🤣🤣🤣",2020-06-05,22
7,Yeah where is the vaccine ? I think test all Singaporean’s first is a better plan ! From here we can eliminated who has what and move forward to next steps ! ,2020-06-05,30
8,Hope vaccine is from SG.. IS TRUSTED,2020-06-05,7
9,Please don't use Taiwan supplier wait they block your stock again.,2020-06-05,10
11,Got test vaccine and any side effect...,2020-06-05,7
12,Pls look into Safe Distancing on Public Transport..tis carries a Big Risk of Local Community..n oso on Incoming China Cities..flyts..Pls Hv Quarantine..oso flyts fm China USA..INDIA..UK SPAIN..these are the Initial N Badly affected ones .,2020-06-05,42
16,Can add ribena flavour? Kid will like it too...,2020-06-05,9
20,Can also add some grape flavour into it? I dont like medicine medicine smell.,2020-06-05,14
22,With China’s help singapore can do it.,2020-06-05,8
23,For once listen to the prophet who said there is no cure for this virus,2020-06-05,15
24,Give money to drug or vaccine company again.. may the plague n virus chase him n his family down 😐,2020-06-05,19
25,then who will be the genius pig to test the vaccine?,2020-06-05,11
26,How come no help to sg farm 😐😠😬😡???  https://mustsharenews.com/third-generation-farmer-shuts-down/?fbclid=IwAR3b9k3SJkUEXNe4TmsEt2jm1yqi0mVigc1GHK_3i1zoMBtBRUs6cOP-scE ,2020-06-05,7
