,Comments,Datetime,num_words
0,What is her job? Surely there r locals who r as capable ,2021-03-06,12
1,I find it laughable at how a seemingly innocent act pre covid is now an illegal offence today,2021-03-06,18
2,These people always love to choose the laws they wish to abide which turns out to be none.,2021-03-06,18
3,Good job Singapore Ministry of Manpower for cancelling their passes ! Must really come down hard on these errant ones who purposely flout our laws !! Otherwise it will surely become like what happened in Australia when a hige group of ‘tourists’ from the UK gathering at bronte beach and purposely defying quarantine measures ! ,2021-03-06,52
4,Yes!! Make example out of these people who THINK they are above the law... Respect your host country ,2021-03-06,18
5,"Suddenly, the sky is bluer and the air, despite a slight haze smells sweeter. There is justice after all. Cocking a snook at our stringent covid control measures eh? Take that and good riddance. Cheers everybody. I'm so elated she'll be going back to the virus infested dystopia. ",2021-03-06,46
6,"Other than this case, we want MOM to review all foreigners education background to ensure they are holding legitimate degree",2021-03-06,20
7,Well done MOM!  Respect the laws of the land.  To party in front of everyone is a blatant challenge of our country laws! Good riddance. ,2021-03-06,25
8,"What's really sad about all of this is the xenophobia that is displayed in the majority of the comments. people make mistakes thats part of life and I'm sure you will make some as well, and when you do, should you expect this kind judgement.. try not to be so bitter, be better",2021-03-07,51
9,Good riddance. Learn to respect local laws and regulations!,2021-03-06,9
10,Aidios!!! Freedom of speech doesn't exist in sg.. Law does.. But for u.. Enjoy ur trip back to UK.. Bye!!!,2021-03-06,19
11,"In Rome you follow what the Romans do.  So in Singapore, you follow what the Singaporeans do.",2021-03-06,17
12,Go back to your country and feel free to roam around and gather without masks.,2021-03-06,15
13,"This send a strong msg to FT, SPR to take SG seriously. Well done Singapore!",2021-03-06,15
14,"wonder if she is from china or india,would it be the same",2021-03-06,13
15,"Since you have no respect for Singapore laws, now you can safe distance yourself from Singapore. Thank you.",2021-03-07,18
16,"""Amy Grace Ropner was one of 10 people..."" The way ST captioned, I thought this lady is some well-known celebrity!",2021-03-06,18
17,We don’t need these people in SG. They can go home and do as they wish. ,2021-03-06,17
18,"Well done ""kick their ass"" hard cause a lot think their are foreigner and our government date not do anything toward they...FYI, Ang mo so what  You have No Respect for Singapore laws and this is the best FOREVER SAFE DISTANCING FORM SINGAPORE",2021-03-07,44
19,Respect local laws ! Well done  ICA Bravo 🙌 ,2021-03-06,7
21,Good Job Singapore Govt. Finally there is an action like the good old days. We don’t need such foreigners on this land. Kick them out when it matters.  Give us more good news on Robertson breach too.,2021-03-06,38
22,We had joy we had fun we had seasons in the sun but for now BYE BYE,2021-03-06,17
23,These foreigners have no regards of the SG laws and covid-19 protocols. Best to weed them out before virus becomes unstoppable,2021-03-06,21
24,This offence is not justified in a country that hardly practices safe distancing ..and so yes we must be in a group of 8 and not more or we must be this and that but at the end of the day everyone is still walking pass each other by the hundreds in the malls a d shopping centers .. so what's a another 2 extra persons on a yacht ..they are more safe distanced being only 10 people on a yacht then the thousands of families that are out in malls ..just go to Ngee Ann city basement where the food court is and try justifying safe distancing  or look at the 6 or 7 people who walked into the lift wheres the safe distancing... Even though there is one table gap in hawker centers people are still mask free when they are eating and there are hundreds of them there eating and one table gap away is not that safe without a mask ..so i think such laws should use more discretion ..if you're talking about a bar or restaurant having indoors gatherings then maybe yes but 10 people on a boat away from everyone else ??? Lol ..,2021-03-06,189
25,The group had intermingled without masks at a time when social gatherings were limited to five people,2021-03-07,17
26,"Great job MOM . Decisive. Send a clear signal to this trash  to better respect the law and order of our country if u want to work here. Remember , it’s a privilege to work here not an entitlement . We will respect your country’s law and order just as u expect us to.  So what is it that you couldn’t understand abt reciprocity?",2021-03-06,64
27,Hope tis punishment apply same n fair to those medicrop actors tat oso gathering illegally  Some r nt sporean  Ban them fr work in spore oso Show us the fairness  Singapore laws are getting worse  Same offence diff punishment,2021-03-06,39
28,Well Done for those challenging CB . But what about those challenging the MOM ? Like LML case ?,2021-03-06,16
29,Aiyo why argue... the time of offence is clearly stated 5 max . Always respect and obey the law of the country u are in .. dun bring their own country law into another country . Not all countries practise the same during this pandemic.. look at Europe n USA during those time ... if Singapore were to be like that then mambos liao... how many ppl will die ... if u dun like Singapore..and can't simply obey the rules then get out ...,2021-03-06,77
