post_id,,username,date_time,comments_raw
101581500,12012900,Diego Musitelli,Mar 8 at 9:22 PM,"They are doing such an important job for this city state, we cannot do without."
101581500,12012900,Top FanJeffrey Lee,Mar 8 at 3:20 PM,"Hope the authority can consider allowing funeral directors to be vaccinated earlier base on the grounds   1) they are essential workers even during lock down  2) they handle COVID death cases. During the funeral arrangements for such cases, family members of the deceased could be still under SHN or recovered status  3) they mingle with groups of 30 attendees and family members of the deceased daily   4) when they collect bodies from houses maybe die of other causes. Usually this kind of death will not trigger a need to go through swab, so if the deceased is infected with COVID then it will be a risk to funeral directors.  5) serving family members of those on SHN when they comes back from overseas to attend their loved ones funeral  "
101581500,12012900,Joseph Foo,Mar 8 at 6:29 PM,They consider high risks. Last year covid breakout within dorms and spread like wildfire 
101581500,12012900,CK Tan,Mar 9 at 11:40 AM,Will they be given mc if any 'mild' side effects shown up? That could be a serious consideration to the bosses.
101581500,12012900,Queenie Wu,Mar 8 at 5:20 PM,Do it at least one month later after the jab .... cos understand the jab dun take effect immediately. Need time allowance. STAY SAFE!!ðŸ˜‡
101581500,12012900,Nelson Neo,Mar 9 at 12:47 AM,So when is the turn of all local supporting companies (vendors) of Hospitals and clinics... and their staffs to be vaccinated? 
101581500,12012900,Renbin Koh,Mar 9 at 4:59 PM,"actually very strange, we should have more accurate information as far i know those dormitory workers or high risk workers they have been testing weekly instead of 14 days once, or maybe is the company itself requested for weekly testing, not sure.."
101581500,12012900,Micheka Lee Suet Fong,Mar 8 at 5:34 PM,Seriously looking at the comments .... lots of conspiracy theories .... itâ€™s a joke how wild people can go !
101581500,12012900,Wong Yking,Mar 8 at 3:58 PM,One day should able to inject 2000 person' such vaccine
101581500,12012900,Andy Isaac,Mar 8 at 9:45 PM,I have completed my 2 vaccination since early last month and yet I still need to go weekly swab test...
101581500,12012900,Danny Ang Pk,Mar 8 at 9:04 PM,We must be the one and only country that test so many workers instead of it citizen.
101581500,12012900,Jinying Martin,Mar 8 at 5:16 PM,why we vaccine dormitory residents...do we go according to their work permit? if going to expire and plan to go back then we dont give vaccine becos bangala workers said their countries many ppl got vaccine already why Sg so slow still dont hv...
101581500,12012900,Zheng,Mar 8 at 8:26 PM,WHOA THEY got the best of everthing and we suffer and get the worse most likely China vacine whereas the get branded vacine hahaahaa.nice voting Singaporean if you get the chinese vacine dont complain .hahaaahaa
101581500,12012900,Top FanKay Fill,Mar 8 at 11:06 PM,"After completion of the course of COVID-19 vaccination, should one  test for the antibody?"
101581500,12012900,Top FanKay Fill,Mar 8 at 11:29 PM,"Without the Foreign Workers, who are doing the Public Cleaning, Constructions, Garbage Collections, Domestic Help, etc etc etc besides some elderly Singaporeans?"
101581500,12012900,Yasuo Kuek,Mar 8 at 3:25 PM,They are the fortunate ones.
101581500,12012900,Jacqui Anne Westwood,Mar 8 at 11:32 PM,Stay Safe everyone! We thank them all for their contributions in helping to build our fine city too.
101581500,12012900,Azmi Dasimin,Mar 8 at 6:06 PM,Country's vision:  Vaccine Country should be 100% covid free by end of the year.  Reality: community case and import case continues...
