post_id,,username,date_time,comments_raw
101581567,45312900,CK Tan,Mar 11 at 6:58 PM,Please continue to wear your masks and maintain social distancing.  Once we reach herd immunity via the vaccines then we can get back some resemblance of our former lifestyle before the pandemic.  We are almost there. Please wear your masks and do your part while the vaccination is on-going.   Thank you.
101581567,45312900,Tan Sri Hokkien Peng,Mar 11 at 8:08 PM,"Wait after 2 vaccinations, case number 62000 I texted with new strain .... This one sure 9696"
101581567,45312900,Sufi Hassan,Mar 11 at 4:22 PM,Like i say.. importers numbers daily sure have.. local nunber pops up once every 3 or 4 days..
101581567,45312900,Brendan Chong,Mar 11 at 4:21 PM,Yay. No point having 0 cases everyday when we can't travel
101581567,45312900,Kristen Mah,Mar 11 at 3:58 PM,Now a lot of old ppl or young thought ðŸ’­ after vaccines no need to wear a mask ðŸ˜·. It wrongly way and not fair for those not taken. I hope the government see to it carefully.
101581567,45312900,Tan Sri Hokkien Peng,Mar 11 at 8:06 PM,Virus time to show power liao
101581567,45312900,Dennis Chan,Mar 11 at 7:08 PM,Contact with shn people???
101581567,45312900,Gan Hong Ming,Mar 11 at 4:17 PM,
101581567,45312900,Top FanAjumma Obasan,Mar 11 at 4:24 PM,âš€ community ðŸ‰ï¸
101581567,45312900,Chien Nelson,Mar 11 at 4:15 PM,"No worries, our local community COVID-19 cases seem to less infectious than other parts of the world  https://www.straitstimes.com/asia/east-asia/covid-19-outbreak-hits-hong-kong-banks-gyms-international-schools?utm_campaign=stfb&utm_medium=social&utm_source=facebook&fbclid=IwAR2VY2NhXtko7cp_RJ2__NC6Vxi9W57lz9NTz3WVuufwqc2TJ4VfYzSbNEY"
101581567,45312900,Edmund Zhong,Mar 11 at 3:42 PM,The most safest place now in Singapore is Changi prison. 
101581561,46997900,Utah Gan,Mar 11 at 5:19 PM,This generation is so sad w cv19 n never before a world that has to wear mask up to our nose.  Tribute to all medical team in e world! 
101581561,46997900,Gay Peng Cheng,Mar 12 at 12:04 AM,"ðŸ™ðŸ™ðŸ™Great heores, Salute them all."
101581561,46997900,Hasan Sanisan,Mar 11 at 8:05 AM,There is Nothings We Can Pay for thier bravery..and I belive Most of us Own them.. RIP...to them..May God take thier souls  Direct to heaven.. Thank you for those FRONTLINERS..
101581561,46997900,Soon Mah Chye,Mar 11 at 10:47 AM,RIP to these unsung heroes...They are the Frontliners...Risking their lives to save others...ðŸ¤¨ðŸ¤¨ðŸ¤¨
101581561,46997900,Mike Leepl,Mar 11 at 10:51 AM,Stand up to be recognized nurse.... The sacrifices you have given...please reward them ... It's a dangerous job... To all health workers too.....ðŸ‘ðŸ‘ðŸ‘ðŸ‘
101581561,46997900,Karen Khajotia,Mar 12 at 8:42 AM,Prayers for their mental health of recovery â¤ï¸â¤ï¸â¤ï¸from  this pandemic. 
101581561,46997900,Angie Kst,Mar 11 at 7:53 AM,OMG RIP all frontliners that have died during this pandemic ðŸ™ðŸ˜­
101581561,46997900,Glenn Paolo A. Goopio,Mar 11 at 8:08 AM,Nurses literally died in the UK and USA during the early stages of the pandemic because they were not provided enough PPE. This is even worse and a horrible way to die. ðŸ˜”
101581561,46997900,Bear George Hyb,Mar 11 at 8:19 AM,And ppl in US is burning masksðŸ˜¡
101581561,46997900,Joe Tsai,Mar 11 at 3:55 PM,Most respect to all the nurses around the world.
101581561,46997900,Thao TL,Mar 11 at 9:12 AM,"gosh, i can't imagine their workload, and having to wear mask all day!"
101581561,46997900,Mark Leong,Mar 11 at 9:49 PM,Not Sg nurses. Kudos to our dedicated healthcare personnel. ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™ðŸ˜Œ
101581561,46997900,Kim Hong Tay,Mar 12 at 8:50 AM,"Thanks To All Doctors & Staff Nurses, They Are The Genuine & Kind Hearted Professional Ones that have the willing & patience  hearts, to take care of all patients in Hospital. Recently My Dearest Beloved Eldest Brother was warded in Changi General Hospital , Instead Eldest  Brother's Two (2) Daughters, not Even Step To Hospital, To Pay Visit to their Blooded Father, Though With Many calls frm My Six(6) Siblings that're Uncles & Aunties by  Whatsapp, Group Chat Lines & Contact thru' MOBILE PHONE, Both OF My Dearest Brother's Daughters, all without response by just putting on deaf ears, that're Terribly & Horribly Bad, Treating their Dearest & Beloved Daddy In Such Manners!  BOTH DAUGHTERS OF MY DEAREST ELDEST BROTHER, BY PUTTING  ON DEAF EARS ONLY. Plus My Beloved Eldest Brother recently told me, 'Each of His two (2) Daughters were given, his hard earned money, to both of them, Five (5) Thousands Dollars Each, Total All Together, Ten Thousands (10K), While Eldest Brother Younger Times, Abled To Support Himself, Good Job With Good Income As Well, The Eldest Daughter, 'YuChen' would always asked money Frm My Dearest Eldest Brother Plus Yearly, During CNY  Most Of The Times With Two(2) Restaurant tablesi Invited All His Siblings Inclusive His Two (2) Daughters As Well, Been invited For CNY Feast! When My Dearest Mummy That's 'AHMAR The Beloved Granny'  Was Alive, Yearly We All Had Gathering Too, At My Mum's & The Rest Of All Of Our Tay's & or Teng & or Tang Families, (those were the days, late great grandfather 'hunyin pinyin' in Henghua Dialect At The Registrar of Birth Dept,!) Together! Now, What Happens to My Dearest Eldest Brother's Both Daughters, Not A Single  Trip Of Visit To Their Dearest Daddy Hospitalised In 'CGH' Or  Of Their Image Couldn't Be Seen. *As What, My Eldest Brother Told Me, 'The Cu2', What're Both Daughters Have Done Now, To Their Lively Father, Been Hospitalised, *Our Heavenly Father God Of Almighty, Is Watching Daily, Meant God's Has Eyes To See. 1) Eldest Bro., told me too, what goes round will comes round back to the original ones too, Either & or soonest or latest!, Meant what both of my eldest brother's  Daughters planted now, will also harvest speedily soon! Amen. ðŸ™."
101581561,46997900,David Lim,Mar 11 at 5:48 PM,Hope they recover soon
101581561,46997900,Mohammad Faizal,Mar 12 at 5:46 AM,"From GOD Almighty ALLAH SWT They come and to Him They return.... Thank you so much for everything... May all the Frontliners all over the world recover well and keep doing a fantastic job. Thank you all. Thanks too to Sg PAP Gov, Singaporeans and Humans that keeps on taking care superbly our Frontliners... Wait. PAP getting more worst running Sg Gov, Oppositions Free Riders can run Sg Gov better than PAP? OH COME ON!!!!! My comment according to Religion of Peace Islam ah.... ðŸ˜”ðŸ’›â¤âœŒðŸ‘ŒðŸ˜ðŸ–’ðŸ–’ðŸ‘ðŸ˜‰ðŸ˜‚ðŸ™"
101581561,46997900,Chia Choong Kiat,Mar 11 at 8:03 AM,Because they work in systems where politicians are concern about themselves than those that are on the front line. UK is a prime example.
101581561,46997900,Yong Lai Foo,Mar 11 at 7:56 AM,ðŸ™ðŸ™ðŸ™
101581561,46997900,Charles Lim,Friday at 6:17 PM,Yet our SG takes a year or so to increase their salaries at a certain percent only. Pui!
101581561,46997900,Jack Foo,Mar 11 at 11:01 AM,Salute ðŸ™ðŸ™
101581561,46997900,Marvin Somchai,Mar 11 at 8:28 AM,Salute to the nurses ðŸ™ðŸ™ðŸ™
101581561,46997900,Leedon Ng,Mar 11 at 11:44 AM,I hope the state will care for their next of kin
101581561,46997900,Ah Beng,Mar 11 at 10:21 AM,Unsung heores...
101581561,46997900,Bobby Yee,Mar 11 at 11:29 AM,R I P all.
101581561,46997900,Neo Sau Siong,Mar 11 at 9:01 AM,People  must be responsible  not cause more death
101581561,46997900,Terence Kessler,Mar 11 at 7:53 AM,ðŸ˜¨ðŸ˜¢ðŸ™
101581561,46997900,Hasan Sanisan,Mar 11 at 8:06 AM,
101581561,46997900,Peapea Peapea Lee,Mar 11 at 9:01 AM,ðŸ™ðŸ™ðŸ™
101581561,46997900,Peter Ngern,Mar 11 at 8:59 AM,Nurses Against Lockdown https://www.facebook.com/110515374208584/posts/178498910743563/ Medical professionals speak out at B.C. freedom rally https://m.youtube.com/watch?v=CmuhvXJziDo&feature=youtu.be
101581561,46997900,Shima Bust,Mar 11 at 8:57 AM,ðŸ˜¢
101581561,46997900,Luzviminda Fabros,Mar 11 at 9:44 AM,ðŸ˜¢ðŸ˜¢ðŸ˜¢
101581561,46997900,Guiille Martiin,Mar 11 at 9:22 AM,https://memo-amigos.medium.com/top-2021-pandemic-tips-for-older-adults-and-the-people-who-love-them-5215522f5792
101581561,46997900,Johnny Walter,Mar 11 at 11:03 PM,All thanks to Wuhan China
101581561,46997900,Lin Jing Wen,Friday at 1:44 PM,Lydia Chong 
101581561,46997900,Cindy Lim,Mar 11 at 7:04 PM,ðŸ™ Namo Amituofo
101581561,46997900,Hong Kim Kwee Jesse,Mar 11 at 9:15 AM,ðŸ™ðŸ™ðŸ™
