,temp,text,time,comments,url,postid,
1,4.06E+15,"COVID-19 has kept people apart. The circuit breaker is still fresh in our minds, and some of us are still physically separated from loved ones overseas. But the pandemic has also reinforced the importance of the bonds we share, and even a simple hug is something we miss.

Valentineâ€™s Day may look quite different this year, with more staying home. But the meaning behind the holiday â€“ to show affection to those we care for â€“ remains. I hope youâ€™ll reach out, and tell someone you love how much they mean to you. And hopefully by this time next year, weâ€™ll all be able to spend time unfettered with those we cherish. Happy Valentineâ€™s Day! â€“ LHL

(MCI Photo by Terence Tan)",14/2/2021 10:01,337,https://facebook.com/leehsienloong/posts/4062608527135156,40626085,27135150
1,3.90E+15,"It has been a long year. But because of our collective efforts against COVID-19, we are ready to enter Phase 3 on 28 December. This is only possible because everyone has made so many sacrifices, to bring our situation under control.

We will be providing free, voluntary vaccinations for all Singaporeans and long-term residents. We have approved the Pfizer-BioNTech vaccine for pandemic use, and the first batch will arrive this month. We also have other vaccines on order, and by 3Q2021 should have enough to vaccinate everyone.

I encourage you to get vaccinated, to protect not just yourself but also those around you.

The announcement of Phase 3 will bring some year-end cheer to us all, but please stay vigilant as the virus is not yet eradicated. It might be a year or more before we are in the clear, but at least we can see light at the end of the tunnel. â€“ LHL

(MCI Photo by Chwee)",14/12/2020 19:19,1443,https://facebook.com/leehsienloong/posts/3895136223882388,38951362,23882380
1,7.41E+14,"#FBLive: PM Lee gave an update on the COVID-19 situation in Singapore on 14 December 2020. He announced that Phase 3 would begin on 28 December 2020, and spoke about Singapore's vaccination plan.

In Malay: youtu.be/-gMqFK3ySTo
In Chinese: youtu.be/o8yZEXSSs60

#SGUnited",14/12/2020 16:55,4252,https://facebook.com/leehsienloong/videos/740832843189871,74083284,3189871
1,3.87E+15,"Was pleasantly surprised to come across this article by the LA Times on our Safe Distancing Ambassadors!

It is an outsiderâ€™s perspective on what SDAs do, and their important role keeping Singapore safe. Ensuring that safety measures are observed is a difficult job. Many SDAs have experienced unpleasant encounters with members of the public while doing their work. But by and large Singaporeans have cooperated and complied, and that has kept all of us safe. For that, I am very grateful.

If an SDA reminds you to wear your mask or space apart in public, please donâ€™t get offended! They are just doing their job.

Our situation is under control, but COVID-19 still rages in many countries. As the article says, the stakes are especially high as Singapore â€“ just over half the size of Los Angeles â€“ moves to reopen its borders to return as an international hub for finance, trade and tourism. Letâ€™s keep it up! â€“ LHL

LATIMES.COM
Singaporeâ€™s Red Ants are here to remind (and occasionally shame) you about mask-wearing",12/4/2020 9:59,245,https://facebook.com/leehsienloong/posts/3867289330000411,38672893,30000410
1,3.73E+15,"You may have seen COVID-19 swab tests being administered at void decks and other areas in your neighbourhood. These swab test operations are part of the governmentâ€™s efforts to keep our community safe as we continue to reopen our economy and allow more activities to resume. We are offering these tests to selected groups whose work involves more frequent interaction with the public, like stall holders and food delivery riders.

I visited the COVID-19 screening centre at Blk 402 in Ang Mo Kio today, and was glad to see many coming forward to be swabbed. Beyond AMK, the testing operations will also be progressively rolled out to other parts in Singapore. This testing exercise requires the joint efforts of multiple agencies working closely together with community partners. Thank you to all the teams managing this, and keep up the good work! â€“ LHL

Ministry of Health, Singapore
Health Promotion Board, Singapore
National Environment Agency (NEA)
Singapore Food Agency (SFA)
Enterprise Singapore
Temasek Foundation
The People's Association
Teck Ghee",16/10/2020 19:30,585,https://facebook.com/leehsienloong/posts/3728854607177218,37288546,7177210
1,3.73E+15,"Visited the COVID-19 screening centre at the Pavilion at Blk 402 in Ang Mo Kio earlier today. As part of our efforts to keep the community safe and healthy, we are offering voluntary COVID-19 swab tests to groups like stall holders, stall assistants, and cleaners working at hawker centres, markets and coffeeshops, and food delivery riders. The swab tests will be progressively rolled out to other locations in Singapore. â€“ LHL

(PMO Video by Alex Qiu)",16/10/2020 19:24,266,https://facebook.com/leehsienloong/videos/2681218505463421,37288423,33845110
1,3.59E+15,"COVID-19 has upended our lives, not least for teachers and students. This was most felt during the circuit breaker, when schools and institutes of higher learning shifted to full home-based learning.

Within a short time, teachers had to pick up new skills and play new roles, while coming up with ways to engage students during lessons â€” on top of juggling their own family arrangements and working from home themselves. Parents too, got a taste of a teacherâ€™s role and challenges during the full home-based learning period.

Here's to all our wonderful teachers â€” for your selfless effort, care and commitment towards your students, especially during this pandemic. I wish you all a Happy Teachersâ€™ Day! â€“ LHL

#thankyoucher

Ministry of Education, Singapore
23 August 2020 at 12:00 Â·

These exceptional times have sparked a renewed sense of appreciation for what our teachers have to do each and every day. Many of them, in their unassuming way, have gone out of their comfort zones and reinvented their teaching strategies â€“ to deliver a million Home-Based Learning lessons over four months â€“ all with the singular belief of giving their best to our students. Because of their efforts, our studentsâ€™ learning have remained uninterrupted.

This Teachersâ€™ Day, share a message to thank the teachers who have touched our lives. Join in the tribute to our educators at https://ThankYouCher.edu.sg

#ThankYouCher

(This video was inspired by real stories of Home-Based Learning.)",9/3/2020 19:04,123,https://facebook.com/leehsienloong/posts/3591916620871018,35919166,20871010
1,3.43E+15,"With the General Election over, we can now return to tackling COVID-19 and our other urgent challenges. We are closely tracking the number of COVID-19 cases in Singapore. But there is some good news â€” cinemas will reopen from today, with various safety measures in place such as safe distancing, contact tracing, and temperature-taking. Let us continue to stay vigilant and united in the face of the pandemic. â€“ LHL

#SGUnited

(Taken at the Singapore Botanic Gardens/ Photo by me)",13/7/2020 12:01,660,https://facebook.com/leehsienloong/posts/3434211639974851,34342143,76641240
1,3.40E+15,"Ang Mo Kio GRC added 6 new photos to the album 01 Jul 2020 - Visit to AMK Central.
2 July 2020 at 10:35 Â·

I havenâ€™t gone on a #jalanjalan since circuit breaker measures were implemented, so I was very happy to visit Ang Mo Kio Hub yesterday evening, to meet residents and shoppers, and distribute my candidate card. Good to see young and old out and about, everyone masked and going about their activities.

I hope you will continue to support my team and me, so that we can continue to work with you to make Ang Mo Kio a better home for all! â€“ LHL

#GE2020
#OurLivesOurJobsOurFuture",7/2/2020 11:12,665,https://facebook.com/leehsienloong/posts/3403035379759144,34030353,79759140
1,3.37E+15,"Phase 2 of our post-circuit breaker measures begin today. I am sure all of us have been eagerly looking forward to this day for a long time!

But please donâ€™t go overboard celebrating. In Phase 2, precautionary rules such as mask wearing and safe distancing are still essential, though this will be the closest thing to normalcy for most of us since the circuit breaker began in April.

Iâ€™m glad that most people were conscientious and took the necessary precautions during Phase 1. As Singapore cautiously re-opens, please stay vigilant and keep what weâ€™ve learnt close to heart. If we all do our part, and take responsibility not only for ourselves but those around us, we can all be safe. â€“ LHL

#SGUnited

(Took this picture of a little ironweed growing in my planter at home this morning. The pretty little flowers against the limitless blue sky lifted my spirits. / Photo by me)",19/6/2020 11:18,904,https://facebook.com/leehsienloong/posts/3365757313486951,33657573,13486950
