post_id,,username,date_time,comments_raw
41008744,43308560,Erica Ong,Feb-26,"Happy 元宵节, our Beloved PM - Wishing you & your family Abundance of good health & happiness! Under your steadfast leadership Singaporeans are blessed to be able to celebrate our Lunar New Year on a smaller scale compared with many other countries. Thank you for giving us a safe & peaceful environment. 🙏🙏🙏"
41008744,43308560,Selim Anwar,Feb-26,We pray and hopeful next year Chinese new year will  better than this year.Honorable PM who comprehensive trying free from pandemic of Singapore
41008744,43308560,Mohd Salleh,Feb-27,"Yes ! I believe that if everyone does their part seriously in compliance with all the mandatory Social Distancing Management at all times, support the vaccination drive, working with the new mindset of the new normal, strive with patience and resilience against all the odds, we can celebrate with the roar of jubilation for our success in containing the world worst pandemic in history."
41008744,43308560,Teneille Watson,Feb-26,Fingers crossed I can be in Singapore for Chinese New Year in 2022!
41008744,43308560,Evelyn Tan,Feb-26,"Thank you for leading us well that we are able to celebrate our lunar new year, unlike most of the other countries. Happy 元宵节 to you and your family our dear PM Lee."
41008744,43308560,Catheryn Tan,Feb-27,Thank you PM Lee ! I spotted beautiful rainbow lanterns at AMK Central tonite too ! How stunning in the dark ! Thank you for being the RAINBOW 🌈 to SINGAPORE & making our AMK pretty too 😍👍
41008744,43308560,Pamela Diana Draycott,Feb-26,Hope to be able to join you in Singapore before the next New Year and for the next New Year to visit family.
41008744,43308560,Joyce Teo,Feb-26,Happy yuan xiao our dearest PM lee
41008744,43308560,Ben Puah,Feb-26,☺️Artist ㊗️大家元宵喜乐吉祥！幸福快乐！
41008744,43308560,普淨禪悦,Feb-26,祝李總理和家人元宵节快樂🏮
41008744,43308560,Chua Swee Hua,Feb-26,"Good evening Mr PM Lee Hsien Loong . Thank you Sire for sharing the Last day of CNY ""Yen Siao Chey"" . Time flies and so fast it passed . Certainly this CNY is celebrated in a new norm way under the influence of COVID19 but still traditions and meanings Of CNY Greetings, hong baos abd orange exchanging and small groups of family gathering is still carried out . Wishing You , Sire amd Mrs Lee-Ho Ching have a great time of Chap Goh Mei"
41008744,43308560,Joey Goh,Feb-26,元宵節的月亮🌜， ❤祝福您元宵節快樂❤
41008744,43308560,Violet Ng Kan,Mar 4 at 2:42 PM,Lee Hsien Loong! I misssss SG so much hahaha. Yeah travel travel... So hoping that the Covid vaccination works for the whole 🌎
41008744,43308560,Yeoh Henry,Feb-27,Hope the big Ox bulldoze all the travel barriers that the tiny rat have erected last year and we can resume travel and our SQ can soar again !
41008744,43308560,Raymond Chong,Feb-26,元宵节快乐🍊🍊
41008744,43308560,Ong Swee Guan,Feb-26,Hopefully next year celebration will be better 
41008744,43308560,杨祥发,Feb-26,Blessed YUAN XIAO to Mr PM Lee and Family 😀 💖🎉🎊🌈
41008744,43308560,Rebecca Lee,Feb-26,PM LEE 元宵节快乐🏮
41008744,43308560,Florence Tan,Feb-26,祝愿李总理元宵节快乐 幸福安康🍊🍊🧧
41008744,43308560,Hong Zhao,Feb-26,祝李总理及家人元宵节快乐！幸福安康！
41008744,43308560,Kripa Rajiv,Feb-26,Happy Chap Goh Mei to you and your family Mr Lee 
41008744,43308560,Jeremiah Lau,Feb-26,"Happy Chap Goh Mei to PM Lee and family. Yes, can't wait to usher in year of tiger with a roar next year 🐯🎉"
41008744,43308560,林榮祥,Feb-26,Here's wishing You a blessed Chap Goh Meh.
41008744,43308560,Ng Sai Gek,Feb-26,Happy Chap Goh Meh to PM Lee and family and all the people of Singapore. ㊗️国人，总理和家人欢乐庆元宵。
41008744,43308560,Patricia Tan,Feb-26,"I wish PM Lee a very happy, healthy and smooth year 2021 and happy YuanXiao Jie. Next year we will usher into a New Year with a Roar🌈"
41008744,43308560,Francis Ng,Feb-26,"PM Lee, wish you and family Happy ChaP GoH Mei 🧧🧧🍊🍊🧨🧨"
41008744,43308560,Angela Margaret Fernandez,Feb-26,Chap Goh Mei! To PM Lee  and family always stay healthy and happy. God Bless you.
41008744,43308560,Pusparani Pakirisamy,Feb-26,"Wishing a safe n healthy Chap Goh Mei Sir, l'm glad 2 hear the word healthy rather than Prosperous."
41008744,43308560,Lillian Ong Bee Hong,Feb-26,Happy Chap Goh Mei  to our PM and Singapore . 
41008744,43308560,Ck Ck,Feb-26,元霄节快乐🍍🍍🍍🍍
41008744,43308560,Michael Kuok,Feb-26,元宵正月十五圓，                        春到天張燈結彩。                       綵燈家家吃湯圓，                      猜謎利是拜祖先。                       
41008744,43308560,Yee Seng,Feb-27,"🙏In the morning, today many Thai people wake up early to give alms to monks. In the evening, temples are full of people listening to sermons. They often perform a ritual known as the candle ceremony where they walk clockwise three times around the temple. holding flowers, incense, and a lighted candle. Each of the three circuits represents one of the three jewels (ideas at the heart of Buddhism) - Buddha, Dhamma, and Sangha.??"
41008744,43308560,Esther Chelliah,Feb-26,"Happy, Healthy n Wealthy,  Chap Goh Mei."
41008744,43308560,Sunny Loh Major,Feb-26,"Happy Chop Goh Meh Sir,,,"
41008744,43308560,Lisana Chua,Feb-26,傍晚好!(6.45pm:26.2.2021)祝大家元宵节快乐!
41008744,43308560,Angela Aye Aye Myint,Feb-26,"👏👏👏 Actually today Myanmar Buddhist celebrate full moon day, showing unity cook for one type of glutinuous rice. Wish you ""healthy, happy & Longevity"""
41008744,43308560,Gloria Goh,Feb-27,"Wishing you and your family a healthy and peaceful Year of the Ox, PM Lee. 🙏🏻"
41008744,43308560,Andrew Romanis,Feb-27,Thank you PM Lee for all you continue to do to keep citizens and residents safe...  
41008744,43308560,Hope Lim,Feb-26,"Thanks for your Speech PM Lee. Blessed fifteenth day of Chinese New Year to you and your family, stay safe stay home and stay healthy"
41008744,43308560,Rita Gultom,Feb-28,Happy Cap Goh Mei PM Mr. Lee. Wishing you & your family Abundance of health and happiness! Hope next year the CNY celebration can back to normal. Proud of you.
41008744,43308560,Shamaila Ahmarin,Feb-26,Inshallah next year I will try  see that snake walk on Chinese Year. 
41008744,43308560,Swee Ho Chan,Feb-26,"Sir, you are right. Usher with a roar in the Year of Tiger 😃 Happy Chap Goh Mei 😊"
41008744,43308560,Luejit Sarcastic Fringehead,Feb-26,"Happy Chinese New Year, PM Lee."
41008744,43308560,Paul Benedict,Feb-26,"Blessed Yuan Xiao Dear PM Lee, thank you!"
41008744,43308560,Janet Tan,Feb-26,Happy Yuan Xiao jie to all
41008744,43308560,Yue Sern Mok,Feb-26,"Happy Chap Goh Mei, Mr Lee."
41008744,43308560,Andy Loh,Feb-26,Happy  chap Goh Mei PM Lee & family. 
41008744,43308560,Norjyelaile Adam Khai,Feb-26,See doctor sir ..not feeling well
41008744,43308560,Amas Tjandra,Feb-26,Happy cap goh meh....
41008744,43308560,Veronica Chang,Feb-26,元宵節快樂🏮
41008744,43308560,Shehan Yang,Feb-26,I miss China Town in Singapore...
41008744,43308560,Samantha De Silva,Feb-26,The very same to you Sir
41008744,43308560,Tay Gek Heok Eileen,Feb-26,总理， 傍晚好！ 我也祝福您： 身体健康！ 事事顺心！
41008744,43308560,Helene Ong,Feb-28,"Thanks to our dear PM, we celebrated our CNYr smooth & safe."
41008744,43308560,Teo Calvin,Feb-26,"Sir,"
41008744,43308560,Tang Tan,Feb-26,"Happy Chap Goh Mei to you & family,  Sir !"
41008744,43308560,Esther Nguyen,Feb-26,Wishing Mr PM and Sir's dear family a safe and healthy Chap Goh Mei. ^^
41008744,43308560,Lucy Gamutan,Feb-27,HAPPY CHINESE NEW YEAR.
41008744,43308560,Joseph Cui,Feb-26,元宵节快乐  青玉案·元夕  辛弃疾  东风夜放花千树，更吹落、星如雨。宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。 蛾儿雪柳黄金缕，笑语盈盈暗香去。众里寻他千百度，蓦然回首，那人却在，灯火阑珊处。
41008744,43308560,Helen Goh,Feb-26,元宵節快樂🏮🏮🏮
41008744,43308560,Suu Catherine,Feb-26,元宵節快樂
41008744,43308560,Dodt Dy,Feb-27,Saya tunggu Josephine teo..
41008744,43308560,Robson Lee,Feb-26,总理，祝您与家人元宵节快乐，一切平安，如意吉祥。
41008744,43308560,Shumei Lee,Feb-26,祝李總理和家人，元宵節快樂，幸福安康！
41008744,43308560,Jess Jess,Feb-27,希望您多休息身體健康 我們和您同在 一路風雨走過年长智和成长了90后的年青人更有耐力放心吧 我們坚信走下去路上有您平坦垠多了 感恩的心宴珍惜㥂來不容易的福我常記在心
41008744,43308560,GongMing SunTze,Feb-26,THANK YOU PM LEE SIR!  Happy Yuan Xiao Jie!  Fu Man! Jian Kang to you Sir!  😊
41008744,43308560,Sally Lee,Feb-26,元宵节快乐总理及家人
41008744,43308560,Simon Tan,Feb-26,李总理和理夫人及家人元宵节快乐
41008744,43308560,Aung Ko Win,Feb-26,#save Mandalay  #RespectOurVotes
41008744,43308560,Christine Tiyu,Feb-26,我也祝您和家人金牛年元宵佳节快乐!
41008744,43308560,Omar Ahmad,Feb-27,Wishing all a roaring Ox year.
41008744,43308560,Junshin Sin,Feb-26,Happy chap goh mei daddy lee hsien loong
41008744,43308560,Tnioh Peng Liang,Feb-26,"PM , Happy 元宵节 🏮🏮🏮"
41008744,43308560,Chen Wp,Feb-26,元气满满月儿亮 宵夜处处灯火明 节日良辰好景在 快乐新年愿望来。
41008744,43308560,Jason Ho,Feb-26,🧨Sir元宵節快樂🧧🍊
41008744,43308560,Jake Finn,Feb-27,Happy chinese new year fams... I love the Chinese
41008744,43308560,Naung Naung,Feb-26,🇲🇲🇲🇲🇲🇲✍️✍️✍️👍
41008744,43308560,Gerald  Ng,Feb-26,Let's work together and wipe out coronavirus in 2021.
41008744,43308560,Allan Närripä,Feb-26,"THE BIG EAR MUST RULE FOREVER . GOOD LUCK TO YOU , PRIME MINISTER LEE HSIEN LOONG ."
41008744,43308560,Sri Devi,Feb-27,Blessed YUAN XIAO to Mr.PM Lee and Family
41008744,43308560,Lily Tan,Feb-26,Happy Chap Goh Meh to PM Lee and family and all the people of Singapore
41008744,43308560,Chye Michael,Feb-26,Happy Chap Goh Mei PM..god bless
41008744,43308560,HongBin Wang,Feb-26,李总理 有人用您的名字行骗！
41008744,43308560,Peow Hoon Lim,Feb-28,Just amazing PM !
41008744,43308560,Amber V Ngoc Binh,Feb-28,Happy Chap Goh Mei everyone 🎊🎊🎊
41008744,43308560,Ong Yong Peng,Feb-28,Happy belated 元宵节 to everyone.
41008744,43308560,Ang Bu Teck,Feb-28,谢谢李总理先生的祝福。🙏
41008744,43308560,鄭學永,Feb-28,假日愉快
41008744,43308560,Winnie Heng,Feb-28,God bless our nation
41008744,43308560,Karen Khoo,Feb-27,元宵节快乐🏮李总理！
41008744,43308560,Saras Jain,Feb-27,Congratulations 🎈🍾🎊 
41008744,43308560,Erick Chuin,Feb-27,#leehsienloong
41008744,43308560,Debbie Low,Feb-27,Thank you sir!
41008744,43308560,Johnny Fong,Feb-27,Good take very beautiful
41008744,43308560,Roger Foo,Feb-27,https://www.facebook.com/chiar.kiara/videos/5054605001279052/
41008744,43308560,Roger Foo,Feb-27,Happy Chap Go Mea ! Dear PM Lee And family.🎉🧧🧧
41008744,43308560,Margaret Ong,Feb-27,Happy Chap Goh  Mei PM!Wishing u n your family good health & happiness 💗💕
41008744,43308560,Lee Qianyi,Feb-27,Happy and healthy days always 
41008744,43308560,Rosanna Gacutara,Feb-27,"dearr,,LHL💘🇸🇬🌹 #Wish,happySG🇸🇬   Chop Goh Mei🇸🇬 🇸🇬Great@PM😍🇸🇬"
41008744,43308560,Regina Jacob,Feb-27,"Prime minister Lee, I pray that the Lord renew your strength like the Eagles 🦅 I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth, in Jesus name, Amen ✝️🌈🙅‍♀️"
41008744,43308560,Reynold Lim,Feb-27,圆满，团圆🙌
41008744,43308560,Jenn Yeong,Feb-27,Happy Chap Goh Mei Sir! 
