post_id,,username,date_time,comments_raw
40712711,79602220,Joyce Teo,Feb-19,Thank you sir for ensuring that the vaccine is available for all Singaporeans.. take care
40712711,79602220,Dep Trai Tan,Feb-18,"Dear PM , please consider allowing overseas citizens to return and pick up their luggage from home friends or family members, so that we could just collect our personal items and fly off immediately, without having to be subject to the 14 days stay home policy. Alternatively, please allow returning citizens to show proof of covid vaccination or recent negative pcr test, in order to waive the 14 day quarantine requirement. Thank you."
40712711,79602220,Ethelred Fernandez,Feb-17,Thank you dear PM for ensuring that vaccine is available for all citizens . Take care and God bless 
40712711,79602220,Lim Seng Heng,Feb-17,"Thank you PM Sir. On a separate subject, I am puzzled that nobody in JTC is aware of the clearing of the Kranji woodland until after only about 3 weeks later. Surely someone in the higher up ranks at JTC must be not doing his job well. Clearing of a forest is unlike clearing of rubbish at rubbish chutes that may take just 10 mins to complete the job. Clearing of a forest takes weeks if not months to complete. Meanwhile where is the oversight, supervision and communication by JTC with the contractors, I wonder? Honestly it is quite akin to security agencies illegally leaving the protection of an installation for weeks without anyone higher-ups knowing it. "
40712711,79602220,Manja Lisa,Feb-17,Any chance prime minister  those singaporean living abroad that this year 2021 they could come back Singapore to see their family again Pls advice 
40712711,79602220,Ong See Suan,Feb-17,Good Evening Sir..Any chance for Singaporean who are based oversea and because of work commitment can't come to singapore for the vacination can get at the consular?kindly advise..Thank you Sir
40712711,79602220,Sam Rin,Feb-18,"Right choice, right decision will bring the right outcome. Singaporean people are so lucky to have a great leader like you who care about their welfare. Best wishes to all Singaporean people !"
40712711,79602220,Yeo Andy,Feb-18,thank you to the government who have make lots of progress and utmost efforts regardless of financial support for families or enterprises for the people in singapore during this covid period.
40712711,79602220,Kishor Varma,Feb-18,"Great news, thanks for sharing this good news Sir, and thank you so much for the government's herculean efforts and excellent measures taken to help keep all Singaporeans safe from COVID-19."
40712711,79602220,Michelle M. Polo,Feb-17,And yet Philippine Goverment is still arguing with covid -19 vaccine.
40712711,79602220,Anita Low,Feb-21,"Thank you PM Lee for securing the vaccines for Singapore.y concern is for singaporean who are working overseas. Is their a flexibility time frame for them to come back to receive theIt free covid19 vaccination?  Under the current situation, they will need to take no pay leave for at least a month to come back N serving quarantine n expenses at home country night work country which is a hefty sum   I am hoping that there will be some light on this matter.  Thank you so much. God bless"
40712711,79602220,Sutisa Ungumporn,Feb-18,Thank you very much PM Lee for taking a good care people in Singapore. We are indeed in the good hand and my family feels really thankful for your hardworking. 
40712711,79602220,Tan Tu,Feb-17,"That's very exciting news, congratulations! Singapore."
40712711,79602220,Jack Chua,Feb-17,...a leader that cares for the people he leads...  Well done  PM Lee Hsien Loong.
40712711,79602220,San Myint,Feb-17,"Prime Minister, please let the dormitory workers go out. It has been 10 months now🙏🙏🙏"
40712711,79602220,Loon Lan Fong,Feb-18,Thank u sir.to be the first to be vaccinated u are Singapore hero
40712711,79602220,Elyzar Aganon,Feb-17,Sana all na lang talaga. Singapore is the standard for one of the best Covid-19 management among nations. Congratulations PM Lee!
40712711,79602220,Peggy Yeo,Feb-19,Completed 2 doses on 18-Feb-2021 on same day as new shipments arrivals  😊 
40712711,79602220,Neng Leah Balajadia,Feb-18,Thank you SG/ PM Lee my hubby has completed his vaccine 16Feb...we are looked after here thank you so much!!!❤❤❤
40712711,79602220,Yue Sern Mok,Feb-18,"If we continue doing what we had been doing all along, like safe distancing, mask wearing or avoiding crowds, we don't really need to rush to get the vaccine. After all, most of us are all right and virus free. So just continue doing what we were doing. Let the front liners and the weak get the vaccine first."
40712711,79602220,Patricia Lee,Feb-17,Thank You PM Lee.  The Lord bless you and keep you! 
40712711,79602220,Nandakumar Chari,Feb-18,Hopefully we can speed up the vaccination process and become amongst earliest countries who have herd immunity! 
40712711,79602220,Phuong Mai Mai,Feb-18,Thank you for take good care of Singapore 
40712711,79602220,Luvlia Luvlylia,Feb-17,Tq Sir 🙏 for ur concerning of our health. U alwayz put our health as a priority. We grateful for ur kindness. And we hope ur health is alwayz in a good shape. Hv a good eve n hv a good rest Sir ‼️🙂💕
40712711,79602220,Chua Swee Hua,Feb-17,"Good evening Mr PM Lee . Thank you to You , Sire and Your Govt Cabinet to make a good run of safety since the CB Times till date and to take care of the Covid 19 situations with now the Vaccine Jabs"
40712711,79602220,Jacqui Watts,Feb-18,So very grateful to be living in this exceptional country. We hope we have contributed well. Thank you for everything.
40712711,79602220,Tan La Ai,Feb-18,Thank you Sir n all involved. At least there is hope.
40712711,79602220,Veron Choo,Feb-17,Many thanks PM Lee & team!  Wish all of you a blessed Niu Year. Stay safe & healthy too.
40712711,79602220,Param Prasad,Feb-18,"Thank you PM Sir, congratulations to Singapore 🇸🇬🙏🙏🙏🙏"
40712711,79602220,Chin Tuan Chuang,Feb-17,Modern day problems require Moderna solutions 
40712711,79602220,Kevin Leiu,Feb-18,That's £25 per shot! Not many people can afford it.
40712711,79602220,Jason Neo,Feb-18,Sir if take vaccine can reduce our taxes? Times are very hard 
40712711,79602220,Guo Weihong Dino,Feb-17,Thank you very much PM Lee and your team!
40712711,79602220,Yul Ylaya,Feb-18,So blessed Sg. While 3rd world countries cann't even make a  DEAL for a reservation of this vaccine.
40712711,79602220,Kay Fill,Feb-17,"How safe are these vaccines?  Heard that in Germany, many frontliners have bad effects.  How true is this?"
40712711,79602220,Lee Qianyi,Feb-19,My neighbour next door try to control the cleaner to clean and wash her place and not my place. Today I come back in time to see the whole things so I told the cleaner why you wash clean their place and not mine. I 
40712711,79602220,Rose Khoo,Feb-17,Our govt controls Covid very well...thank you sir
40712711,79602220,Chheang Mam,Feb-18,"good luck to singaporian under your wise leadership, Sir."
40712711,79602220,Justin Ong,Feb-18,"Well done Singapore, well done SIA!"
40712711,79602220,Remy Osman,Feb-17,Nor Josh  great to see SG accelerating like other world-leading vaccination nations such as the UK! I hope batches of Astrazeneca also arrive soon 💉💪🏼
40712711,79602220,Fred Cheak,Feb-18,"Bravo , seamless approach to tackle problems with hand on commitment . Thumb Up 😄"
40712711,79602220,Benny Chuink,Feb-19,"Hope our turn soon as foreigner,  thanks singapore and all the minister."
40712711,79602220,Dao Thu Hang,Feb-18,Thank you PM & your team so much!
40712711,79602220,Ram Moorthy,Feb-18,பல்லாண்டுகாலம் சிறப்புற வாழ எல்லாம் வல்ல எம்பெருமான் திருச்செந்தூர் முருகப்பெருமான் ஆசியும் அருளும் கிடைக்க  என்னாலும் வேண்டுகிறேன்
40712711,79602220,Douglas Cheong,Feb-17,Even after vaccinne we still must wear mask maybe forever who knows
