post_id,,username,date_time,comments_raw
101570990,19102100,Neng Trim,"Jun 5, 2020",There are many strategic national security and self- sufficient capacities that be intentionally build e.g. construction workforce in wartime for repairs and rescues..
101570990,19102100,Shobana Kumaran,"Jun 5, 2020",What IF there are side effects  of the vaccine and its found out a little too late when we're frail and much older and its too late  for us to reverse back the time. I hooe our heath sector will look into an independant study of this. Do they have a reasonable amount of time to study the effects ? Is this a second best choice to get the world going while compromising on any side effects? Or is the side effects just less than the immediate health and financial implications of COVID-19?
101570990,19102100,Asnah Ariffin,"Jun 5, 2020",Well Done.. Cooperation n support Globally for the Common Good of Mankind🤗
101570990,19102100,David Sim,"Jun 5, 2020",Out sourcing again? Don't ended up like Taiwan's mask factory incident.
101570990,19102100,Jeffery Anthony,"Jun 5, 2020","The PM is using words that other leaders were baically given to include in their speaches. That is, diagnostics, vaccines and therapeutics. Gavi (Bill Gates initiative) is another of a long line of organizations Bill Gates hands are involved in, also the WHO. Do not belive this vaccines from the companies making them. It will be the downfall of mankind. Go reearch indepth about all the organizations Bill Gates is involved in and his real goals. Dont fall for this Gov also bent on using any of his vaccines. Start off with this video and find more yourself. https://youtu.be/1Z5VYqJqrtI "
101570990,19102100,Mar Vin,"Jun 5, 2020",Countries which want a reliable and neutral country to manufacture vaccines can look to Singapore.  We will test and QC for a peace of mind.
101570990,19102100,Clarke Stuart,"Jun 5, 2020","Send to china, they copy and undercut your price  Send to india, they copy and put under generic then under cut you.  🤣🤣🤣🤣"
101570990,19102100,Chad Batchelor,"Jun 5, 2020",Yeah where is the vaccine ? I think test all Singaporean’s first is a better plan ! From here we can eliminated who has what and move forward to next steps ! 
101570990,19102100,Elien Lonto Elnar,"Jun 5, 2020",Hope vaccine is from SG.. IS TRUSTED
101570990,19102100,W Weil,"Jun 5, 2020",Please don't use Taiwan supplier wait they block your stock again.
101570990,19102100,Jaichandra Ramanujam,"Jun 5, 2020",Discover the vaccine first.
101570990,19102100,Wong Yking,"Jun 5, 2020",Got test vaccine and any side effect...
101570990,19102100,Shaun Hotchand,"Jun 5, 2020",Pls look into Safe Distancing on Public Transport..tis carries a Big Risk of Local Community..n oso on Incoming China Cities..flyts..Pls Hv Quarantine..oso flyts fm China USA..INDIA..UK SPAIN..these are the Initial N Badly affected ones .
101570990,19102100,Charlotte Bai,"Jun 5, 2020","Really, what vaccine"
101570990,19102100,Adrian Lim,"Jun 5, 2020",Good.. manufacture in sg.
101570990,19102100,Lian Maureen,"Jun 5, 2020",Awesome!
101570990,19102100,Vincent Liu,"Jun 5, 2020",Can add ribena flavour? Kid will like it too...
101570990,19102100,Bryan,"Jun 5, 2020",What vaccine?
101570990,19102100,Eunice S H Tnng,"Jun 5, 2020",Great
101570990,19102100,Wendy Yang,"Jun 5, 2020",Smart move!
101570990,19102100,Ah Wong San,"Jun 5, 2020",Can also add some grape flavour into it? I dont like medicine medicine smell.
101570990,19102100,Sherry Yeo,"Jun 5, 2020",Harrison Tan
101570990,19102100,James Lee,"Jun 5, 2020",With China’s help singapore can do it.
101570990,19102100,Peter Tan,"Jun 5, 2020",For once listen to the prophet who said there is no cure for this virus
101570990,19102100,Edna Teo,"Jun 5, 2020",Give money to drug or vaccine company again.. may the plague n virus chase him n his family down 😐
101570990,19102100,佳菲林,"Jun 5, 2020",then who will be the genius pig to test the vaccine?
101570990,19102100,Edna Teo,"Jun 5, 2020",How come no help to sg farm 😐😠😬😡???  https://mustsharenews.com/third-generation-farmer-shuts-down/?fbclid=IwAR3b9k3SJkUEXNe4TmsEt2jm1yqi0mVigc1GHK_3i1zoMBtBRUs6cOP-scE 
