post_id,,username,date_time,comments_raw
101584483,4358600,Salina Ismail,"May 27, 2020",Thank you! I hope that we can ensure that Singaporeans are prioritised in the employment scheme.
101584483,4358600,Jeremy Cheong Weng Kee,"May 28, 2020","i have a simple question, in DPM Heng's Speech, what initiatives did he mention when it comes to the TRAINING & SKILLSFUTURE skills equipping for unemployed workers? did he mention any new scheme for up-skilling or upgrading? Thx. Jem."
101584483,4358600,Jie Sheng,"May 27, 2020",👍👏👏
101584483,4358600,Tan Joy,"May 27, 2020",客工问题必须考虑多方面，正常与任何可能发生的突发事件。社会安宁和卫生和经济必须取得平衡，这次疫情显示额外成本的可怕性，社会如果动乱足以破坏生命财产国家安全等更不可当着理所当然。客工问题一来是文化，层次 还有费用，设施就是土地，能翻几倍呢?疫情期间增加多少住宿? 要合符新标准需要多少设备和费用，企业能不靠政府自己妥善处理吗？这次疫情交通住宿管理监督雇主在业者和官方都有责任。我们许多行业不错没有客工就没人来干了，怎么办呢? 那些行业是必须? 是非得进口客工不可，人力部要深入研究。
101588377,23173600,Joshua Phang,"Oct 10, 2020",https://www.change.org/p/2020-sg-parents-petition-for-all-2020-parents-to-be-granted-3-000-baby-support-grant 
101588377,23173600,Aw Wong,"Oct 9, 2020","It’s so unfair, baby that is born earlier than Oct 2020 can’t get this baby support grant. From March till September is also in the covid 19 period, we are also having a hard time raising our baby. If government wanna come out with this baby support grant should say baby that is born this year could entitled this grant and not from Oct  1 onwards. "
101588377,23173600,Anastasia Knyazeva,"Oct 9, 2020","What about families who were half way through their pregnancy when the pandemic hit hard. I lost my job while pregnant. People who are pregnant now were aware of the situation in the world, and they still decided to proceed with having a baby. I had no choice as to give birth while being jobless in the middle of the lockdown. It would be good to have some understanding why the government is prioritising unborn and not even conceived babies over the existing Singaporean babies born during hard times."
101588377,23173600,Jean Tan,"Oct 9, 2020","So this is what govt giving ""fairly"". So those giving birth before 1 Oct doesn't had hard time raising the child? Then what about those parents who give birth from 1 Oct onwards, they won't get to enjoy benefits from marriage and parenthood package? What a ridiculous support govt had come out. So are we going to put our babies back into the tummy and re give birth again just to get this additional support? Having hard time not only those who gave birth from 1 Oct onwards, we gave birth before that also having hard time. So govt don't see that?!"
101588377,23173600,Aura Afifah,"Oct 10, 2020","Ain Nordin sorry, can only think of you.. 😬 "
101588377,23173600,Jolene Ong,"Oct 11, 2020",Baby that is born earlier know have no unfair
101587912,89553600,Angelia Lim,"Sep 23, 2020",Trust Our Government 
101585536,17918600,Elizabeth Odonohoe,"Jun 29, 2020","From here in Australia I wish all Singaporeans the very best in fighting this Covid 19.  I hope and pray that we all, will eventuality come out on top"
101585536,17918600,熊起歆,"Jul 7, 2020",🇸🇬🇲🇾🇯🇵🇺🇸🇨🇳🇰🇷🍋❤️💚🐑
101587192,5613600,Wong Hw,"Aug 30, 2020","Yes, good government is what we voted for. Challenges are even greater in the next 3 years. 4G leadership will be tested in fire."
101587192,5613600,Andrew Thia,"Sep 14, 2020",Praying hard the 4G leaders will work with the people and for the people. Listening to the voices
101587192,5613600,Pat Fong,"Aug 29, 2020",😊😊😊👏👏👏
101587192,5613600,Steve Clancy,"Aug 28, 2020",Ease up a level now?
101588152,81748600,Larry Choo,"Oct 1, 2020",Daniel Ah Min
101590166,90608600,Ang Stephen,Feb-05,Locals???
101590166,90608600,Apool Dudley,Feb-04,Steven Tan
101590166,90608600,Desmond Yeong,Feb-07,Yes as they get a job .. But salary not even cover on monthly use .. Singaporean work long hours get lesser now day .. Worse than bankalah
101582873,9853600,Su Suzhen,"Apr 14, 2020",Hope these contacts will not add to increase in cases as we do not know who is carrier . If can work remote best do so to prevent risk of exposure. Look at the cases from Lee Ah Mooi !
101582873,9853600,Hock Chuan Chan,"Apr 14, 2020",singapore government! After circcuit breaker! Please Maintain the Following Laws: (All Hawkers selling Cooked food Must Wear mask! All Passengers taking Public Transport Must Wear mask! When queue up for payment after buying Essentials in the  Queue Must Practice One Metre away from the infront People!!!) Thanks!
101582873,9853600,Debbie Chan,"Apr 14, 2020",May the good Lord annoint u with many more good blessings n virtues to help others. U make people feel relax n assured.
101582873,9853600,Low Kai Wei,"Apr 14, 2020","Do consider having the different dialects movie shows, variety shows, cooking shows etc specially cater for our old folks so that they will not feel bored at home. Our Circuit Breaker video clip also could have in different dialects for old folks who do not understand English or Chinese. Thank you."
