post_id,,username,date_time,comments_raw
101587627,66775600,Li Sian Loong,"Dec 29, 2020",The normal GPs charging anyhow. Short consultant n like chase us out (especially on Sundays). Consultation $40. Kns!
101587157,11100600,Seow Gek Ching,"Dec 11, 2020",This is definitely better  with more privacy and freedom than living in a aged home especially for those elderly with some independence and mobility. Kudos to whoever plan this
101587157,11100600,Valerie Yap,"Dec 11, 2020",I hope sufficient inputs are gathered from the elderly on how they’d like the layouts to be.   Some of the interiors remind me of the private rooms in private hospitals.
101587157,11100600,Sulin Han,"Dec 11, 2020",Just make sure it is AFFORDABLE.  As old people are no more drawing in any income but surviving on savings alone. Especially those seniors with NO FAMILIES to depend on.
101587157,11100600,Wu Sagi,"Dec 11, 2020",I believed it does comes with a price tag
101587157,11100600,Rosalind Chew,"Dec 11, 2020","I am stoked to see the design! I visited friends parents in nursing home in the USA, each unit is up to you to bring your furnitures and so on! It looked soooo nice! I’m speechless ! Please do think of price range as too much, we cannot afford too "
101587157,11100600,Jo Jo,"Dec 10, 2020",Too many conditions just to apply
101587157,11100600,文斯锡安,"Dec 11, 2020",Hope it is affordable and so can roll out to other parts of SG
101587157,11100600,Alexander King,"Dec 11, 2020",Well done very nice 
101587157,11100600,Jimmy Beany,"Dec 11, 2020",It's a nursing home in a hdb estate. I think there will be more and more demand for it because the children may not be able to take care of the elderly and reducing reliance on foreign maids with centralised elder care with economies of scale.
101587157,11100600,Kelly Yap,"Dec 10, 2020",我是不会搬家，要住进来抬我的屍身体出去
101587157,11100600,陈小川,"Dec 11, 2020",这类乐龄村是有一定的需要，不过进展很慢，等到来说不定已经移民天家了🤣🙄🤔🤫
101587157,11100600,Heinrich Grafe,"Dec 11, 2020",Similar to Betreutes Wohnen 
101587157,11100600,Billy Tsy,"Dec 11, 2020",Affordable?
101587157,11100600,Ren Min,"Dec 11, 2020",JB got or not cheapest over there
101587157,11100600,Jasmine P'ng Siok Lee,"Dec 11, 2020","An expensive alternative (lease cost much more than 2 room flexi elderly flat) to nursing home option. But idea of living among ill or disabled people needing medical care or waiting to pass on morbid concept. Probably a good option for family who don't want to live with elderly at their home (bec social issues or cannot get along or don't want to care for frail elderly at home, privacy issues  etc). People who need such care & close medical monitoring  may not have adequate $$$ in CPF account !  Perhaps kids consider pay $$$ from CPF to help elderly buy such flats. Personally as an elderly I prefer to live among mixed age younger group people with young children (cheerful environment). Live in retirement village with frequent wakes can be emotionally stressing -reminding one of our declining health, vulnerability & death"
101587157,11100600,Irene Goh,"Dec 11, 2020",I hope l can get it
