Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,0,0,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away",3/2/21 11:35,69,Circuit Breaker,76,3,-12.021773538676793,11,2,1,4.092672403439401,0,0,0.0
1,1,1,Anyone here find WFH more stressful than in office?,3/2/21 18:43,maybe can voluntary go back office yourself?,3/2/21 11:36,7,Circuit Breaker,7,0,-11.43762029045233,2,0,0,106.49138129018992,4,0,0.0
2,2,2,Anyone here find WFH more stressful than in office?,3/2/21 18:43,Not everyone is like ts. Most of them enjoy they coffee n tea in afternoon with work. Sibeh song Sent from Forever Dark using GAGT,3/2/21 11:43,25,Circuit Breaker,25,1,-12.786660674273094,4,0,0,9.120904640720271,1,0,0.0
3,3,3,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die",3/2/21 11:50,48,Circuit Breaker,48,2,-15.845845603226357,6,3,0,3.2412785630241974,0,0,0.0
4,4,4,Anyone here find WFH more stressful than in office?,3/2/21 18:43,at the end of the day fark the ccp i prefer to work in office too,3/2/21 11:52,16,Circuit Breaker,16,1,-10.529616913269425,3,0,1,20.832255890004944,3,0,0.0
5,5,5,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Pek cek siol My upstairs unit got one lao funkle, super love to diy heypi heypi will knock knock a bit here, knock knock a bit there if not drill a bit here & there i wanted to go up ask him you want to make your 99yo pigeon hole rook like palace is it????????? I'm very close to calling hdb riao",3/2/21 11:53,59,Circuit Breaker,61,3,-13.712538573913127,14,1,4,4.89546653306225,0,0,0.0
6,6,6,Anyone here find WFH more stressful than in office?,3/2/21 18:43,Plus busy checking crypto prices every 5 minutes Sent from middle class using GAGT,3/2/21 12:16,13,Circuit Breaker,14,1,-14.460175129480128,3,0,0,20.832255890004944,3,0,0.0
7,7,7,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"If no WFH, will throw letter liao. Heng not office environment. Can focus better on work.",3/2/21 12:36,16,Circuit Breaker,16,1,-12.25583649871013,2,0,0,13.877624781470663,2,0,0.0
8,8,8,Anyone here find WFH more stressful than in office?,3/2/21 18:43,got pros and cons. WFH I can settle my own stuff before meetings etc. If wife nag I just close my home office door. WFH can also oversleep and nap once in awhile on slower days. Overall prefer WFH,3/2/21 12:38,39,Circuit Breaker,39,2,-12.588960287564644,7,3,4,7.039559050957934,1,0,0.0
9,9,9,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"mgx-alander wrote: at the end of the day fark the ccp i prefer to work in office too At the end of the day, hatred won't make you happier because this world is actually fair.",3/2/21 12:39,33,Circuit Breaker,35,2,-10.854439340523307,7,0,2,14.262589708322583,2,0,0.0
10,10,10,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away In a way yes... wfh more stress... cos u keep thinking those at office keep talking behind u, since u are not physically there... thot u keng kia... The cycle repeats itself when roles are reversed ... now ur turn to talk behind them...",3/2/21 12:39,113,Circuit Breaker,121,4,-12.576566315025275,21,3,1,2.2382826921324406,0,0,0.0
11,11,11,Anyone here find WFH more stressful than in office?,3/2/21 18:43,work is only stressful if u are working for ljlang i work literally 10h a day on 1 pt job + 2 bizs never complained a single day cus my biz are mine ))) money also mine of course ))),3/2/21 12:40,34,Circuit Breaker,37,2,-12.837132567439523,7,2,3,8.255840989476356,1,0,0.0
12,12,12,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away Either you have A or B but choose either one sure got something to 'balance' huan. You are not the only one. Some can even ki siao. If can, ask to go office to work. If not, then have to make adjustment. There is no other way round unless you quit your job.",3/2/21 12:43,123,Circuit Breaker,131,4,-11.564853731672141,25,5,4,2.55282180796977,0,0,1.0
13,13,14,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"You can send China the bill. Mr. Wood wrote: wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die",3/2/21 12:49,57,Circuit Breaker,57,3,-14.969763488788963,8,3,0,2.9327831858990128,0,0,0.0
14,14,15,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away will hold 4) against u Sent from Anfield YNWA using GAGT",3/2/21 12:49,80,Circuit Breaker,89,3,-12.618537104115658,14,2,1,3.3111653097546454,0,0,0.0
15,15,16,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Odessa wrote: You can send China the bill. Electrical bill higher , no compensation from companies",3/2/21 12:51,15,Circuit Breaker,15,1,-11.5666212897792,2,0,1,23.615507973257326,3,0,0.0
16,16,17,Anyone here find WFH more stressful than in office?,3/2/21 18:43,I chose to work in office so i cannot uds the issues. 1 - why at home only parents will ask help? You mean if work in office they miracoulsly no need? 2 - why wife nag? Cannot pretend not at home? 3 to 5 i fully agree thats why i wont WFH,3/2/21 12:51,47,Circuit Breaker,53,3,-12.089892520963408,7,1,2,6.623848924833995,1,0,1.0
17,17,18,Anyone here find WFH more stressful than in office?,3/2/21 18:43,NightGhost wrote: Not everyone is like ts. Most of them enjoy they coffee n tea in afternoon with work. Sibeh song Sent from Forever Dark using GAGT that is meant for ceca. sinkies should work 24/7,3/2/21 13:28,35,Circuit Breaker,37,2,-12.90954753054553,8,0,0,6.691448307698993,1,1,0.0
18,18,19,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Quite. But go office also sian, I just purely dislike this company as compare any coy that I worked b4.",3/2/21 13:34,19,Circuit Breaker,20,1,-12.082458059266635,2,1,1,26.83520739783087,3,0,0.0
19,19,20,Anyone here find WFH more stressful than in office?,3/2/21 18:43,agree on the disadvantages ts mentioned. i get free time to interview with other companies too. the benefits do outweigh the cons,3/2/21 13:37,22,Circuit Breaker,22,1,-10.794979425878509,5,0,0,14.100403665079316,2,0,0.0
20,20,21,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away if jitao too noisy (by neighbourhood construction noise) during virtual courses, i just heck give up and don't pay attention to the course alrdy",3/2/21 13:42,93,Circuit Breaker,102,4,-12.430715564192267,13,3,2,2.7316279416069658,0,0,1.0
21,21,22,Anyone here find WFH more stressful than in office?,3/2/21 18:43,WFH is like siao. Start work 745 till 6. Conf call from 8pmto 11pm.,3/2/21 13:45,11,Circuit Breaker,14,1,-14.710909540095981,1,0,0,16.610322340116003,2,0,0.0
22,22,23,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: 3) Unnecessary construction noises from town council + neighbour drilling noises In my estate for the past >20 years, there hasn't been a single one-week period without some form of construction. SG truly is a hellhole.",3/2/21 13:45,32,Circuit Breaker,37,2,-12.76780766614348,3,0,1,6.883547835027755,1,0,0.0
23,23,25,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Yes more stress. Wanna crazy Liao. But I still prefer wfh cos of newborn , that\x92s the only reason . If not I go back office le",3/2/21 13:47,25,Circuit Breaker,26,2,-12.171029539809552,3,1,2,14.100403665079313,2,0,0.0
