,Threads,Thread Datetime,Comments,Comment Datetime,num_words
0,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,"28TH FEB 2021 * * * * * * *As of 28 February 2021, 12pm, the Ministry of Health (MOH) has preliminarily confirmed 1 new case of locally transmitted COVID-19 infection. Based on our investigations so far, the case resides in a dormitory and there are no new cases in the community. 2.* * * * *In addition, there are 10 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. In total, there are 11 new cases of COVID-19 infection in Singapore today. https://www.moh.gov.sg/news-highligh...fection-28-feb",2021-02-28 15:38:00,69
1,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,1 community Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT,2021-02-28 15:40:00,5
2,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,https://twitter.com/MothershipSG/sta...327296002?s=20 Mothership reported as 1 community case initially.,2021-02-28 15:40:00,6
5,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,"princessreiko wrote: https://twitter.com/MothershipSG/sta...327296002?s=20 Mothership reported as 1 community case Lol, they just tweeted again. https://twitter.com/MothershipSG/sta...322816514?s=20",2021-02-28 15:42:00,12
7,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,actually dorm cases like more scary hoh? they all squeeze tgt,2021-02-28 15:46:00,11
15,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,Every few days got 1 dorm or comm case. No link whatever...Machiam drop from sky.,2021-02-28 15:56:00,15
16,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,"So funny..last time dorm cases spread so fast..now no spread at all, always stopped at one case..",2021-02-28 15:57:00,19
17,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,"\u5927\u80c6\u9884\u6d4b if tear down mustafa, dorm case will not appear again",2021-02-28 16:00:00,10
18,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,1 spark here 1 spark there Wlwlwlsmdwl,2021-02-28 16:06:00,5
19,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,huai sho few imported cases? neh open legs bigger?,2021-02-28 16:08:00,9
20,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,Day in day out many imported cases .look like sinkies land become a heaven for imported cases other countries will be laughing at us.,2021-02-28 16:08:00,24
22,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,I wonder how other countries report their cases.... Likely only us need to segregate our cases into so many different types of cases...... Dorms community imports,2021-02-28 16:31:00,26
26,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,"Cases residing in dormitories: 1 There is 1 case residing in a dormitory today who is linked to a previous case. Case 60513 is a 31 year-old male Bangladesh national who works as a delivery assistant at Chng Woodworking Pte Ltd, and resides in a dormitory located at Kranji Way. His job entails loading and unloading of goods, and he does not interact with clients. He had been identified as a close contact of Case 60432[1]*and was placed on quarantine at a dedicated facility on 23 February. He was tested for COVID-19 as part of our protocol to test individuals during quarantine even though he is asymptomatic. His swab taken on 26 February came back positive for COVID-19 and he was conveyed in an ambulance to the National Centre for Infectious Diseases. His earlier tests from RRT \x96 the last being on 14 February \x96 were negative for COVID-19 infection. His serological test result has come back negative, indicating that this is likely a current infection. https://www.moh.gov.sg/news-highligh...-28-feb-update",2021-02-28 22:45:00,156
27,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,"Imported cases: 10 Amongst the 10 imported cases, 1 (Case 60523) is a Dependant\x92s Pass holder who arrived from Switzerland. 4 (Cases 60520, 60522, 60525 and 60529) are Long-Term Visit Pass holders who arrived from India and Myanmar. 4 (Cases 60519, 60524, 60528 and 60530) are Work Pass holders who arrived from India and the Philippines. 1 (Case 60527) is a Work Permit holder who arrived from India. They had all already been placed on SHN upon arrival in Singapore and were tested while serving SHN. https://www.moh.gov.sg/news-highligh...-28-feb-update",2021-02-28 22:46:00,69
28,"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",2021-02-28 23:02:00,Another cluster coming up? From Chng Woodworking Pte LTD? Already got 2 delivery assistant from the same company who does not interact with clients and staying in the same dorm at Kranji Way kena. Import cases Switzerland - 1 Philippines - 1 Myanmar - 1 India 7 New Places Visited - NIL Left 2 places in the annex list despite having 8 community cases in the past 2 weeks.,2021-02-28 23:02:00,57
30,"How Are Singapore's Migrant Workers Coping With COVID-19 Restrictions, One Year On? | Talking Point",2021-02-18 01:15:00,"Save alot of money, cos deskar road no open",2021-02-18 01:15:00,9
32,Cannot close borders because foreign workers are important pillars of our economy,2021-02-17 14:08:00,"captain bring sampan to the wrong place.. look at Taiwan, no such problem. they even fight gigantic China",2021-02-17 10:32:00,18
33,Cannot close borders because foreign workers are important pillars of our economy,2021-02-17 14:08:00,That means Singapore is too reliant on foreigners. Time to change the ruling party. Posted from PCWX using a random comment generator,2021-02-17 14:08:00,22
34,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,"Abalone Zhup: https://www.facebook.com/groups/comp...1044354009124/ Quote: Wa, is it dormitory starting to ignore MOM's safe distancing measures?",2021-02-15 10:40:00,13
35,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Why MOM never jail these dormitory operators? Or is the PAP government saying these business are too big to jail?,2021-02-15 10:42:00,20
37,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,they sleep on a thin piece of wooden plank? please give them a mattress ...,2021-02-15 10:46:00,14
39,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Will that Facebook page get taken down soon...,2021-02-15 10:48:00,8
40,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Potential CB 2.0? MOM sleeping again... Jo Teo need cry again in parliament if CB 2.0,2021-02-15 10:48:00,14
42,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,"Food_Lover wrote: Abalone Zhup: https://www.facebook.com/groups/comp...1044354009124/ Wa, is it dormitory starting to ignore MOM's safe distancing measures? Camp for new sagat. Sent from my Toilet Bowl using GAGT",2021-02-15 10:51:00,24
43,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Gahment most dulan whistleblower already. Make them very xiasuay. Sent from Nokia 3310 using GAGT,2021-02-15 10:53:00,14
44,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Avant-Garde wrote: Gahment most dulan whistleblower already. Make them very xiasuay. Sent from Nokia 3310 using GAGT cos dorm owners they dun dare offend.....,2021-02-15 10:56:00,22
45,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Lai liao time to cut cost,2021-02-15 10:59:00,6
46,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,Or hor... All slack liao,2021-02-15 11:00:00,5
47,GPGT: Foreign Worker exposed Dormitory did not adhere to safe distancing by putting 12 paxs per bunk,2021-02-16 07:06:00,clon33 wrote: Why MOM never jail these dormitory operators? Or is the PAP government saying these business are too big to jail? these dormitory operators will simply get a manager to be scape goat.,2021-02-15 11:03:00,34
