Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
You realise no talk of Tracetogether recently?,3/7/21 14:09,As per topic. They quietly let the bluster of imposing it on everyone die down liao?,3/6/21,16,Tracetogether,16,1,-11.58539601,3,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,hur? what's that? what's a tracetogether? children drawing book?,3/6/21,7,Tracetogether,9,0,-11.13122205,2,0,0,15.76753956,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Vaccination is the flavour of the month,3/6/21,7,Tracetogether,7,0,-10.30973202,1,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,cause alot of TT token now out of batt,3/6/21,9,Tracetogether,9,0,-13.75466656,0,0,0,12.64865006,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Sinkies have short term memory,3/6/21,5,Tracetogether,5,0,-13.0813457,1,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Now all the hype is on COVID-19 vaccination.,3/6/21,8,Tracetogether,8,0,-11.70690045,1,0,0,34.97657075,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,I think school children getting it liao in mar? Apr will hv new badminton pattern chutting out liao... dun worry la...,3/6/21,21,Tracetogether,21,1,-14.49001571,5,0,0,6.422261588,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,90% using it Community case low So no panic,3/6/21,8,Tracetogether,9,0,-11.58276396,1,0,0,12.94484066,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,What is this overpumped $$ failed app?,3/6/21,6,Tracetogether,6,0,-11.91042853,2,0,0,64.83991375,4,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Safe entry haven phase out ?,3/6/21,5,Tracetogether,5,0,-13.24599014,1,0,0,66.4941953,4,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"True, all student getting token, dunno wats the plan/schemeeee.... but then still import blah..... still living dangerously XiaoJinLing wrote: I think school children getting it liao in mar? Apr will hv new badminton pattern chutting out liao... dun worry la...",3/6/21,41,Tracetogether,41,2,-14.73128551,12,3,1,4.598606211,0,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Because TT takes a lot of battery and super laggy when singpass already can do the same thing with better QR reader. Even some places stop mandating it to rely on the normal QR code instead,3/6/21,36,Tracetogether,36,2,-12.20958105,6,2,0,5.425115414,1,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,Implementing it when pandemic almost over. Flop,3/6/21,7,Tracetogether,7,0,-12.40237125,1,1,0,258.4817887,4,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,ViviZeh go tarr liaoz taking full Leesponsibility liaoz!! What more you want?? Three apologies?? Verbal??? Written??? Or kowtow huh??,3/6/21,19,Tracetogether,19,1,-14.21381908,5,0,1,9.664055563,1,0,0
