,Threads,Thread Datetime,Comments,Comment Datetime,num_words
0,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,As per topic. They quietly let the bluster of imposing it on everyone die down liao?,2021-06-03 21:10:00,16
2,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,hur? what's that? what's a tracetogether? children drawing book?,2021-06-03 21:11:00,7
3,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Vaccination is the flavour of the month,2021-06-03 21:11:00,7
4,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,cause alot of TT token now out of batt,2021-06-03 21:11:00,9
5,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Sinkies have short term memory,2021-06-03 21:11:00,5
7,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Now all the hype is on COVID-19 vaccination.,2021-06-03 21:13:00,8
8,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,I think school children getting it liao in mar? Apr will hv new badminton pattern chutting out liao... dun worry la...,2021-06-03 21:13:00,21
9,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,90% using it Community case low So no panic,2021-06-03 21:14:00,8
10,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,What is this overpumped $$ failed app?,2021-06-03 21:16:00,6
11,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Safe entry haven phase out ?,2021-06-03 21:17:00,5
12,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"True, all student getting token, dunno wats the plan/schemeeee.... but then still import blah..... still living dangerously XiaoJinLing wrote: I think school children getting it liao in mar? Apr will hv new badminton pattern chutting out liao... dun worry la...",2021-06-03 21:22:00,41
13,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Because TT takes a lot of battery and super laggy when singpass already can do the same thing with better QR reader. Even some places stop mandating it to rely on the normal QR code instead,2021-06-03 21:26:00,36
14,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Implementing it when pandemic almost over. Flop,2021-06-03 21:28:00,7
15,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,ViviZeh go tarr liaoz taking full Leesponsibility liaoz!! What more you want?? Three apologies?? Verbal??? Written??? Or kowtow huh??,2021-06-03 21:32:00,19
16,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,ramlee wrote: Vaccination is the flavour of the month But you are living in Australia,2021-06-03 21:35:00,15
17,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Found new distractions: tray, retirement age... Can ditch old distractions liao",2021-06-03 21:38:00,11
