thread,datetime,thread_url,post_id,post_timestamp,post_text
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131351750,12-12-2020  03:01 PM,"It's the time of the year again. The Singapore G is asking for feedbacks and ideas on the Budget 2021. https://www.mof.gov.sg/singaporebudget/budget-feedback Quote: 2020 has been an extraordinary year. Thanks to Singaporeans working together to meet the challenges of COVID-19, the situation in Singapore has stabilised. Even as we stay vigilant, we must look ahead and plan for a post-COVID-19 future that will create better lives and opportunities for all Singaporeans. Do you have a view or suggestion on what kind of post-COVID-19 society we want, and ideas on how we can get there? Now is the time to share them with us! The national Budget is a strategic financial plan for Singapore\x92s future. It will address near-term issues and chart the way forward for the longer-term. It also reflects our collective needs and aspirations as a society, and every Singaporean can contribute in shaping this plan. We welcome Singaporeans from all walks of life to join us in this important conversation, and to share views on how we can work together to shape a better Singapore through Budget 2021. Individuals and businesses are welcome to provide suggestions on topics such as adapting our way of life to a post-COVID-19 world, emerging stronger from the pandemic, and building a green and sustainable future for Singapore. There are multiple ways to contribute, so please click here by 8 January 2021 to share your views with us."
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131361105,13-12-2020  04:33 AM,Other available channels for you to share your experiences and ideas: REACH Budget Microsite https://www.reach.gov.sg/budget2021 REACH Singapore Facebook https://www.facebook.com/REACHSingapore REACH Singapore Instagram https://www.instagram.com/reachsg/ Budget 2021 Form https://form.gov.sg/#!/5fbdf6c9e22eb500119513bd PA Ask Kopi Kakis #shareyourviews Webpage https://www.pa.gov.sg/Newsroom/News/...of-Budget-2021
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131397923,15-12-2020  01:41 AM,"A Government's Budget is all about revenue collected through taxation & fees versus expenditures. Where will the Government's income coming from and how will it be spent. Off the top of my head, I have a few ideas to increase Government's revenue collection without over-taxing and burdening the populace. Do your part for the future of Singapore and Singaporeans. Tell the real stories you see on the ground. Share the regular ground experiences of your daily toil from the economic trenches. Make your voices heard to the civil servants in their cushy offices and political leaders with no commercial experience. Bring your EDMW voice to the Government. Use your citizens' name, EDMW nicks or just the anonymous citizens' voice. SG Gov Form: One channel for direct feedback. https://form.gov.sg/#!/5fbdf6c9e22eb500119513bd"
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131397924,15-12-2020  01:42 AM,Claw back the $9k covid19 relief issued to property and insurance agents!
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131398353,15-12-2020  04:43 AM,All our SAF generals appointed to say Yes?
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131398403,15-12-2020  05:30 AM,Simply the best
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131398404,15-12-2020  05:30 AM,Yat chung drive sph shares up 30%
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131593333,26-12-2020  08:48 AM,For more ideas and actions.
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131593417,26-12-2020  08:58 AM,link the shytfuture courses with companies willing to hire and take in new people make it official for citizen who ROD to have 7 days allocated for skill training annually higher subsidies for preschool
[Budget 2021] Give Your Ground Views & Real Experiences to PolicyMakers w/no Commercial Experiences!,31-12-2020 12:12 PM,https://forums.hardwarezone.com.sg/current-affairs-lounge-17/%5Bbudget-2021%5D-give-your-ground-views-real-experiences-policymakers-w-no-commercial-experiences-6427072.html,131686367,31-12-2020  03:59 AM,"mewmew wrote: link the shytfuture courses with companies willing to hire and take in new people make it official for citizen who ROD to have 7 days allocated for skill training annually higher subsidies for preschool Actually, I would go one further. The LHL's administration should demand that MNCs in Singapore that benefits from the ultra low corporate tax rates and other tax incentives to run these skills future courses for Singaporeans and employ them thereafter. Least that these MNCs could do after getting billions of profits from the corporate tax benefits they enjoyed in Singapore over the last decade under the LHL's administration."
