thread,datetime,thread_url,post_id,post_timestamp,post_text
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131157214,01-12-2020  05:12 PM,"The SingapoRediscovers Vouchers can be used at the following websites: trip.com, traveloka, changirecommends ... Once you have selected the hotel or hotel package with the ""eligible voucher icon"", you would brought to the page where you would need to login your singpass... Then you would select how many vouchers you want to redeem , in multiples of $10.  Then the code would be generated. You can simply paste the code to the booking to offset the amount ..."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131157224,01-12-2020  05:12 PM,"Hope those kind souls here can recommend good hotel staycations that you have found from those eligible sites, such as trip.com, traveloka, changirecommends ...."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131158101,01-12-2020  06:02 PM,"For those who wants to fully utilize your voucher for a staycation, you might want to consider this hotel. Lyf Funan, 18m2 room size, with no TV , no toothpaste toothbrush, slippers, etc. The room is just a basic room for you to sleep . Location is good, as the hotel is located at Funan mall ... Price is $42++ , which is $50 tax in per nite ... Price is $100 for 2 nites, so you no need to pay anything after using vouchers ... You might want to use them on weekends, since is more worth to stay on weekends."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131158493,01-12-2020  06:23 PM,"If you are looking at klook, you can consider these hotels: Grand Hyatt : $100 after voucher (room no breakfast) Grand Hyatt: $160 after voucher (room with breakfast) One Farrer: $119 after voucher (room with breakfast) There are also few 3* hotels which is around $90+ to $100+ per night. Lyf Funan @ $100 per nite (18m2 room) Nostalgia @ $100 per nite (14m2 room) Populous @ $110 per nite (12m2 room) Hotel Boss @ $117 per nite (14m2 room) Hotel Soloha @ $118 per nite (14m2 room) If you would like more grand and bigger hotel room, might want to conside hotels such as Grand Hyatt, One Farrer , etc ..."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131159835,01-12-2020  07:43 PM,"dede, you always appear at the right moment. Thanks as always!!!! But hor, seems they only want people to stay one night? 2nd or 3rd night then full price liao."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131160787,01-12-2020  08:42 PM,"palmpda wrote: dede, you always appear at the right moment. Thanks as always!!!! But hor, seems they only want people to stay one night? 2nd or 3rd night then full price liao. Yup, the $100 most likely enough to stay one night ... Especially 4 or 5* hotels, even for the first nite, you already need to top up additional already ... For hotels such as Lyf Funan, D' hotel, your first night is about $50 to $70 per nite. Lyf Funan must book 2 nights in order to get $50 per nite ..."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131174067,02-12-2020  02:54 PM,"Recently, Park hotel has also lowered their price, and their room comes with breakfast. Usually their lowest rate does not come with breakfast. Price is about $130 (before $100 voucher) including breakfast for two. Their rates is usually $150+ with no breakfast buffet ... Hotels such as : Park Hotel Clarke Quay Superior @ $130, Deluxe @ $170, Club @ $218 They do not have bathtub for their lowest few tiers hotel rooms. Located nearby Clarke Quay mall. Park Alexandra, also about the same price as Park Hotel Clarke Quay ... Slightly bigger room , comes with bathtub for most of their rooms. Hotel is located near Ikea ..."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131174148,02-12-2020  02:57 PM,"Another good deal hotel is 4* Holiday Inn Express Katong Minimum of 2 nites is required to get lower price ... Holiday Inn Express Katong Room is 19m2, comes with breakfast (grab and go, simple type of breakfast) Located 5 minutes walk from parkway mall ... No free carpark ... Per day is about $30+ for carpark. Can book for March school holiday period... Direct hotel booking is $70++ per nite onwards ... Price is $164 after taxes for 2 nights ... If you book at other OTA, such as trip.com, the price is about $180 Hence, you are paying $16 more , compared to booking direct with the hotel ..."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131174299,02-12-2020  03:05 PM,"Another good deal hotel is Hotel Indigo at Katong. Deluxe room 25m2, no bathtub, no breakfast. Direct website is $223 for 2 nights. Trip.com is $245 for 2 nights. Usually is $185 to $200++ per nite , if there is no promo for this hotel. Hotel is located at Katong area, few minutes walk from Carpark is no complimentary for in-house guest. Carpark is about $36 for one day parking. By using your $100 voucher to book from trip.com, the price is $22 more. Hence, your voucher is actually worth $78 if you book this deal."
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131175871,02-12-2020  04:28 PM,"dede1217 wrote: For hotels such as Lyf Funan, D' hotel, your first night is about $50 to $70 per nite. Lyf Funan must book 2 nights in order to get $50 per nite ... How to book 2 nights for $100? I search klook (1 night $100, cannot select 2 nights), trip.com (2 nights $180, cannot use the voucher)"
SingapoRediscovers Vouchers $100 for Staycations,2021-02-27 06:56 PM,https://forums.hardwarezone.com.sg/travel-accommodation-89/singaporediscovers-vouchers-%24100-staycations-6420618.html,131176367,02-12-2020  05:02 PM,"Ye_Rongtian wrote: How to book 2 nights for $100? I search klook (1 night $100, cannot select 2 nights), trip.com (2 nights $180, cannot use the voucher) They only put in 2 to 5 rooms max per selection date. Booked for march using trip.com portal. Fri to sun, Sat to mon, prices is $100 for 2 nights taxes in ... Booked the room yesterday only ... Perhaps many people went to book ? The price reflected should be $42++ per nite , $50 after tax ... Total should be $84++ , $100 after tax for 2 nites ..."
