thread,datetime,thread_url,post_id,post_timestamp,post_text
tHOSE SGunited job also got general worker position?,3/3/2021 17:25,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/those-sgunited-job-also-got-general-worker-position-6475872.html,132856813,3/3/2021 17:16,i see some job ad looking for general worker $1.5k then put under sgunited can like that? i thought sg united only white collar office job? so if $1.5k general worker means they claim from govt and the boss only pay few hundered? can like that?
tHOSE SGunited job also got general worker position?,3/3/2021 17:25,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/those-sgunited-job-also-got-general-worker-position-6475872.html,132856839,3/3/2021 17:17,Don't know if stupid or just trolling Sent from Xiaomi REDMI NOTE 9S using GAGT
tHOSE SGunited job also got general worker position?,3/3/2021 17:25,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/those-sgunited-job-also-got-general-worker-position-6475872.html,132856876,3/3/2021 17:19,"Another thread said Bengali is offered 2k,  sGunited is 1.5k, sure a not?"
tHOSE SGunited job also got general worker position?,3/3/2021 17:25,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/those-sgunited-job-also-got-general-worker-position-6475872.html,132857006,3/3/2021 17:25,anyone knw?
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132840722,2/3/2021 18:49,"To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution."
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132840764,2/3/2021 18:52,so strict might as well dont give
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132840868,2/3/2021 18:58,"Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132840919,2/3/2021 19:01,"Juz like alimony, shouldn't be forever."
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841299,2/3/2021 19:24,desmond_yee1 wrote: so strict might as well dont give U must have forgotten the Vince case and that NSF guy case
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841313,2/3/2021 19:25,Not easy to get 1c from gov
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841318,2/3/2021 19:26,"F them lah give money so difficult like begging Take money so easy just increase GST, petrol duties, parking summons"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841319,2/3/2021 19:26,For sinkies...everything also hard.. If FT different situation Sent from Im Not BB but FA using GAGT
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841335,2/3/2021 19:27,"virus1988 wrote: U must have forgotten the Vince case and that NSF guy case there will be people who abuse it, but sometimes its best to close one eye lah"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841338,2/3/2021 19:27,Maybe when they collect their paycheck every month also apply the same standard of requirements!?
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132841399,2/3/2021 19:31,Didn't even try to apply...  dun think will give even if real case that need money... it OK la...
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132842240,2/3/2021 20:26,"psytxtbk4exam wrote: Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now https://forums.hardwarezone.com.sg/e...e-6455513.html"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132842448,2/3/2021 20:38,"desmond_yee1 wrote: there will be people who abuse it, but sometimes its best to close one eye lah https://forums.hardwarezone.com.sg/e...e-6455513.html"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132842501,2/3/2021 20:41,Song dah Billionaires get bailout
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132842856,2/3/2021 21:02,"virus1988 wrote: To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution. Actually they are only asking for truthful declarations. Nothing extraordinary. So long as you disclose correctly, nothing to worry."
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132842982,2/3/2021 21:10,"virus1988 wrote: To allow us to make a holistic assessment of your economic situation, you must declare the information of all jobs that you are currently employed in at the point of application. This includes the jobs that are unaffected by COVID-19. Failure to declare all your jobs may lead to your application being rejected or your assistance being reduced. You may also be required, in full or in part, to repay the assistance which has been provided to you. You may also be liable to criminal prosecution. Not wrong. U declared at the point u are jobless."
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132843023,2/3/2021 21:13,"The usual declaration.. just be truthful when apply loh. One way or the other, they would be able to verify"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132845423,2/3/2021 23:39,True too .
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132845658,2/3/2021 23:55,"psytxtbk4exam wrote: Very good People instead of whining here should go do some gigs by now Really have difficulty then declare loh Already more than 1 year since covid, if no special circumtances, should stand up by yourself now So fast 1 year"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132845690,2/3/2021 23:57,virus1988 wrote: U must have forgotten the Vince case and that NSF guy case Educate me on the later case please. Vince I\x92ve heard of. What nsf case?
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132847061,3/3/2021 7:15,Nicholas92 wrote: Educate me on the later case please. Vince I\x92ve heard of. What nsf case? https://www.channelnewsasia.com/news...rants-13992176
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132847147,3/3/2021 7:26,"XiaoJinLing wrote: Didn't even try to apply...  dun think will give even if real case that need money... it OK la... Got give 600, even those never need also get 600"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132847223,3/3/2021 7:35,virus1988 wrote: https://www.channelnewsasia.com/news...rants-13992176 This is srsly one of the lowest iq scammer i have ever read. Lol
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132847256,3/3/2021 7:40,"WLM_WLM wrote: This is srsly one of the lowest iq scammer i have ever read. Lol U got see his Tshirt, he already claimed the title. Why are u belittling him. This type are the soldiers that u need. No Guards no glory. He is the champion. Note: pic is obtained publicly from channelnewsasia."
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132847494,3/3/2021 8:07,"Loratadine10mg wrote: U got see his Tshirt, he already claimed the title. Why are u belittling him. This type are the soldiers that u need. No Guards no glory. He is the champion. Note: pic is obtained publicly from channelnewsasia. ur last sentence very funny \U0001f604"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132847576,3/3/2021 8:16,virus1988 wrote: ur last sentence very funny \U0001f604 Usually i only find locals pics exposed in public media...
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132848801,3/3/2021 9:48,WLM_WLM wrote: This is srsly one of the lowest iq scammer i have ever read. Lol Not forgetting those steal vouchers from letterbox also
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132849491,3/3/2021 10:31,"LeSaux wrote: F them lah give money so difficult like begging Take money so easy just increase GST, petrol duties, parking summons But they easily give out 600 to every citizens in 2020"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132851186,3/3/2021 12:01,Loratadine10mg wrote: Usually i only find locals pics exposed in public media... Alr display so big
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132852961,3/3/2021 13:31,"Loratadine10mg wrote: U got see his Tshirt, he already claimed the title. Why are u belittling him. This type are the soldiers that u need. No Guards no glory. He is the champion. Note: pic is obtained publicly from channelnewsasia. The champ \U0001f3c6"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132853117,3/3/2021 13:38,sanzhu wrote: Song dah Billionaires get bailout
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132853239,3/3/2021 13:44,"virus1988 wrote: The champ \U0001f3c6 Virus1988, seem some of your threads and sometimes u also in some thread i active in I think you should consider No need to everytime people already got their punishment keep on continue harping on it Machiam like a person already die, left with corpse, still want to disturb the corpse"
Covid Recovery Grant is not a plaything; you may be liable to criminal prosecution if,3/3/2021 14:07,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-recovery-grant-not-plaything%3B-you-may-liable-criminal-prosecution-if-6475369.html,132853715,3/3/2021 14:07,"If Malaysian, y so easy get $50 per night?"
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391052,6/2/2021 16:35,"Government support will be increasingly focused on helping firms transform and seize opportunities in new markets, Trade and Industry Minister Chan Chun Sing said yesterday. He told an audience at Enterprise Singapore's (ESG) annual review that while the Government has responded swiftly and decisively to support firms and workers amid the pandemic, Singapore's resources are ultimately finite and must be used judiciously. ""This means that while we will continue to support our businesses, we will not be able to do so indiscriminately,"" he said. ""The weight of our efforts going forward must increasingly be targeted and shift towards helping our enterprises seize new opportunities in new markets, through new products and services. ""It is not sufficient to play defensive by trying to preserve existing enterprises and current jobs. It is even more important for us to create new opportunities for enterprises and job opportunities for our workers."" Sectors that continue to do well include those in infocommunications, precision manufacturing and biomedical. But others such as mass market tourism and aviation are still facing challenges and have to be helped to pivot to new areas, he said. The Government also wants to spur innovation among local firms regardless of size, added Mr Chan. This will be done through supporting the creation of new innovative start-ups, encouraging more private sector investment in deep-tech start-ups, boosting apprenticeship initiatives and tapping key global innovation nodes. There is also much potential for firms in the green economy. ""We will support them in areas including developing sustainability-related standards such as carbon verification, growing capabilities in sustainability and accessing new business opportunities in this space,"" said Mr Chan. ESG chairman Peter Ong agreed, and said: ""In the midst of current volatilities, enterprises will need to be highly agile to pivot as the situation affords. We will need to pick out the pockets of growth whenever and wherever we find them. ""Enterprises will need to harness innovation to meet new needs, and compete beyond pricing. ""We encourage them to develop new business models and intellectual property, or innovative products and solutions."" Besides innovation, going international is also important despite the challenges posed by the coronavirus, Mr Chan said, noting: ""Covid-19 has also emphasised the limitations of Singapore's small domestic market and the need to continue to push ahead with our internationalisation efforts. ""While internationalisation activities slowed in 2020, we maintained a positive mo-mentum."" To this end, Singapore must also build its own strong core of local firms that can compete globally in niche areas, while companies can also tap international agreements to access new markets. Mr Ong added that companies need to prepare themselves so they can quickly capture demand, with markets such as China and South-east Asia presenting new opportunities. ""While travel restrictions remain, overseas expansion will always remain a key growth driver."" Companies can go global by building capabilities, such as by increasing brand awareness through virtual platforms, he said. https://www.straitstimes.com/busines...irms-transform"
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391060,6/2/2021 16:35,ccs likes to make obvious comments and give textbook suggestions
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391066,6/2/2021 16:36,tell us something we dunno
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391178,6/2/2021 16:44,Only a traitor will sell out own country to foreigners.
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391198,6/2/2021 16:46,haiz.. these type of fei hua i also can say.
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391226,6/2/2021 16:48,"In before SimWH, Razer, and that mindef medic shelter, etc. Laugh die me. The Government also wants to spur innovation among local firms regardless of size, added Mr Chan."
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391249,6/2/2021 16:50,Remember that we pay these ppl sky high salary not for them to give us solutions one...
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391322,6/2/2021 16:55,Emphasized the limitations of our govt first.
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132391344,6/2/2021 16:57,spur LOL GLC will steal it
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132846107,3/3/2021 0:35,Wise words from CCS about companies going global and increasing brand awareness through virtual platforms. His experience and background in the military makes him the perfect person to propose such solutions and we should listen to him carefully.
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132846142,3/3/2021 0:39,what about the limitations of a minister of small stature with an even lower popularity due to the fact that he spouts nonsense all the time?
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132846155,3/3/2021 0:41,How many staycations can you do in such tiny little place?
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132846188,3/3/2021 0:47,"just now i part time the crean table and overhearded 2 professor in the NUS talk siol, they say CCS say the thing one sentence mean 20 topic, and is forward thinking person, can think forward at the least 10 year siol. chun bo?"
Covid-19 has emphasised the limitations of Singapore's small domestic market: CCS,3/3/2021 0:57,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/covid-19-has-emphasised-limitations-singapores-small-domestic-market-ccs-6460988.html,132846234,3/3/2021 0:57,Copy from ten year series ijjit Sent from Sinkieland using GAGT
Have you all use the rediscover vouchers?,2/3/2021 21:26,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/have-you-all-use-rediscover-vouchers-6475265.html,132837055,2/3/2021 15:13,Have you all use the rediscover vouchers? What you all use it on? Sent from the porcelain throne using GAGT
Have you all use the rediscover vouchers?,2/3/2021 21:26,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/have-you-all-use-rediscover-vouchers-6475265.html,132837125,2/3/2021 15:16,I used for Lyf funan 2 nights stay at $83. Balance $20 unused. My mom and dad used it for D'Hotel 2 nights stay at $133 each (2 rooms) My sis used it for Fullerton Hotel 1 night stay (dont know the price)
Have you all use the rediscover vouchers?,2/3/2021 21:26,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/have-you-all-use-rediscover-vouchers-6475265.html,132837131,2/3/2021 15:16,ya Sent from Samsung SM-J320G using GAGT
Have you all use the rediscover vouchers?,2/3/2021 21:26,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/have-you-all-use-rediscover-vouchers-6475265.html,132837138,2/3/2021 15:16,no know where or how to use
Have you all use the rediscover vouchers?,2/3/2021 21:26,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/have-you-all-use-rediscover-vouchers-6475265.html,132837155,2/3/2021 15:17,Don't know where to go. Not interested in hotel stay as it is boring
