thread,datetime,thread_url,post_id,post_timestamp,post_text
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802811,28/2/2021 15:38,"28TH FEB 2021 * * * * * * *As of 28 February 2021, 12pm, the Ministry of Health (MOH) has preliminarily confirmed 1 new case of locally transmitted COVID-19 infection. Based on our investigations so far, the case resides in a dormitory and there are no new cases in the community. 2.* * * * *In addition, there are 10 imported cases, who had already been placed on Stay-Home Notice upon arrival in Singapore. In total, there are 11 new cases of COVID-19 infection in Singapore today. https://www.moh.gov.sg/news-highligh...fection-28-feb"
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802851,28/2/2021 15:40,1 community Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802853,28/2/2021 15:40,https://twitter.com/MothershipSG/sta...327296002?s=20 Mothership reported as 1 community case initially.
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802868,28/2/2021 15:41,dormitory case still persist....
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802879,28/2/2021 15:42,dorm is back
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802894,28/2/2021 15:42,"princessreiko wrote: https://twitter.com/MothershipSG/sta...327296002?s=20 Mothership reported as 1 community case Lol, they just tweeted again. https://twitter.com/MothershipSG/sta...322816514?s=20"
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802912,28/2/2021 15:43,Somebody\x92s bf?
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802952,28/2/2021 15:46,actually dorm cases like more scary hoh? they all squeeze tgt
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802965,28/2/2021 15:46,Wlwlsmdwl
"28feb S'pore ????????????         11  (1 reside in dorm, 10 imported)    Cases",28/2/2021 23:02,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/28feb-spore-11-1-reside-dorm-10-imported-cases-6474153.html,132802974,28/2/2021 15:47,Wlwlwlwlwl
