thread,datetime,thread_url,post_id,post_timestamp,post_text
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132833703,2/3/2021 11:35,"Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away"
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132833727,2/3/2021 11:36,maybe can voluntary go back office yourself?
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132833822,2/3/2021 11:43,Not everyone is like ts. Most of them enjoy they coffee n tea in afternoon with work. Sibeh song Sent from Forever Dark using GAGT
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132833907,2/3/2021 11:50,"wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die"
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132833926,2/3/2021 11:52,at the end of the day fark the ccp i prefer to work in office too
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132833948,2/3/2021 11:53,"Pek cek siol My upstairs unit got one lao funkle, super love to diy heypi heypi will knock knock a bit here, knock knock a bit there if not drill a bit here & there i wanted to go up ask him you want to make your 99yo pigeon hole rook like palace is it????????? I'm very close to calling hdb riao"
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834256,2/3/2021 12:16,Plus busy checking crypto prices every 5 minutes Sent from middle class using GAGT
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834525,2/3/2021 12:36,"If no WFH, will throw letter liao. Heng not office environment. Can focus better on work."
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834555,2/3/2021 12:38,got pros and cons. WFH I can settle my own stuff before meetings etc. If wife nag I just close my home office door. WFH can also oversleep and nap once in awhile on slower days. Overall prefer WFH
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834580,2/3/2021 12:39,"mgx-alander wrote: at the end of the day fark the ccp i prefer to work in office too At the end of the day, hatred won't make you happier because this world is actually fair."
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834584,2/3/2021 12:39,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away In a way yes... wfh more stress... cos u keep thinking those at office keep talking behind u, since u are not physically there... thot u keng kia... The cycle repeats itself when roles are reversed ... now ur turn to talk behind them..."
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834596,2/3/2021 12:40,work is only stressful if u are working for ljlang i work literally 10h a day on 1 pt job + 2 bizs never complained a single day cus my biz are mine ))) money also mine of course )))
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834633,2/3/2021 12:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away Either you have A or B but choose either one sure got something to 'balance' huan. You are not the only one. Some can even ki siao. If can, ask to go office to work. If not, then have to make adjustment. There is no other way round unless you quit your job."
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834647,2/3/2021 12:44,moi jobless more stress
Anyone here find WFH more stressful than in office?,2/3/2021 18:43,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/anyone-here-find-wfh-more-stressful-than-office-6475144.html,132834716,2/3/2021 12:49,"You can send China the bill. Mr. Wood wrote: wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die"
