thread,datetime,thread_url,post_id,post_timestamp,post_text
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132665877,21/2/2021 0:35,got 8 person meh?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132665898,21/2/2021 0:36,Owner two what
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666024,21/2/2021 0:49,Wah! All look piakable.
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666048,21/2/2021 0:50,want to sabo also fail
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666110,21/2/2021 0:55,Until now u still don\x92t get what our gahmen is saying? Can allow 8 outsiders + however many living in the same household
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666123,21/2/2021 0:56,8 GUESTS excluding OWNERS
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666131,21/2/2021 0:57,TS is a bloody clown...
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666134,21/2/2021 0:57,TS Jin xia suey. Want to sabo also know the law first can?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666142,21/2/2021 0:58,ironfreak wrote: Until now u still don\x92t get what our gahmen is saying? Can allow 8 outsiders + however many living in the same household Yes 8+ whatever number in the household. If u stay landed and ur hse gt all 2 side 3 gen staying with u also no problems
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666146,21/2/2021 0:58,"Please retake psle English, ts"
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666150,21/2/2021 0:59,TS TS AH...hahahah
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666165,21/2/2021 0:59,don't find fault just for the sake of finding fault. you nothing better to do issit?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666168,21/2/2021 0:59,Ts fail. Go back to school la
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666175,21/2/2021 1:00,heroking wrote: got 8 person meh? Knn Nicole Choo really become the gf of the jiak peh hoon guy
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666183,21/2/2021 1:01,Outside dining shld allow 10.
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666200,21/2/2021 1:02,Lol dumbass heroking.. post slander but backfire then now turn tail and hide. Shame.
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666208,21/2/2021 1:04,They think 8 means can invite 8 people.
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666227,21/2/2021 1:06,Top chicken looks good for bonking \u0909\u092a\u0947\u0915\u094d\u0937\u093e HardwareZone Forums app
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666278,21/2/2021 1:13,Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666312,21/2/2021 1:16,broomkiss wrote: Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo? u can own visit up to 2 household lah u bohdoh
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666316,21/2/2021 1:17,Sinkie pwn sinkie in our blood. Go TS!
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666319,21/2/2021 1:17,Another smart aleck \x93People should limit themselves to visiting a maximum of 2 households per day as much as possible.\x94 Got say can only receive a maximum of 2 households per day? broomkiss wrote: Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666322,21/2/2021 1:17,"broomkiss wrote: Wait a minute.... potential sagat here.. I thought it is only guests from two households allowed at any one time? The 8 guests... how many households there in the photo? You yourself can only visit 2 households per day la Wtf the amount of idiots in this thread is amazing True edmwer fat brain TS kumgong nvm, this fella lagi kumlan"
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666341,21/2/2021 1:20,Sian... That means no more sagat lol
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666353,21/2/2021 1:22,is it non chinese stirring?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666354,21/2/2021 1:22,owner side dun count right? heroking wrote: got 8 person meh?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666355,21/2/2021 1:22,This apple not a hongkie meh?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132666437,21/2/2021 1:32,Is this self pwn thread?
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132667977,21/2/2021 8:28,I saw what you did there.... Ok lah... already sweep under carpet....
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132667994,21/2/2021 8:30,8 visitors can lor
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132668054,21/2/2021 8:37,got 8 visitors.
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132668223,21/2/2021 8:56,But how many peepur live in that house? It's 8 guest leh not 8 peepur
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132668235,21/2/2021 8:57,zleipnir wrote: owner side dun count right? Owner side don't count just that some peepur can't read properly and just want to pawn others
[GPGT] Saw this ig post inside got 8 person meh?,21/2/2021 10:51,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bgpgt%5D-saw-ig-post-inside-got-8-person-meh-6469895.html,132668243,21/2/2021 8:58,Under investigation for e wedding? Sent from Huaiwei Pro 30 using GAGT
