thread,datetime,thread_url,post_id,post_timestamp,post_text
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132678467,21/2/2021 20:03,https://fb.watch/3O1kSou5Ik/
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132678617,21/2/2021 20:11,Bro，thought nao is encouraging use TT instead of SafeEntry? Tot they said SafeEntry discontinued once 80% people take TT Liao?
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132681711,21/2/2021 22:52,Eric A Blair wrote: Bro，thought nao is encouraging use TT instead of SafeEntry? Tot they said SafeEntry discontinued once 80% people take TT Liao? Exactly.......
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132681734,21/2/2021 22:54,WAYANG
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132681756,21/2/2021 22:54,"AljuniedHougangKaKiNang wrote: https://fb.watch/3O1kSou5Ik/ Still living in 1800s Think they're trend setters and leaders What they do,  everyone follows"
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132681772,21/2/2021 22:56,"so many months liao, still using safeentry not tracetngether meh"
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132681861,21/2/2021 23:00,One of the most wayang chaps around. उपेक्षा HardwareZone Forums app
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132683190,22/2/2021 0:38,use app is better than the TT dongle Salting the land
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132683378,22/2/2021 1:02,Everytime smooth entry into malls tio slowed down by PG/MG who want to use TT token....
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132683400,22/2/2021 1:06,Truly leading by example. As Law Minister he is showing Singaporeans that they don't need to be afraid of their data being used by the police.
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132683412,22/2/2021 1:07,tat time his reply to that one soverigns lady veri the satki is good.
[WAYANG AND BOLIAO?] K Shanmugam uploaded a video of himself checking in SafeEntry,22/2/2021 12:04,https://forums.hardwarezone.com.sg/eat-drink-man-woman-16/%5Bwayang-boliao-%5D-k-shanmugam-uploaded-video-himself-checking-safeentry-6470323.html,132683427,22/2/2021 1:09,tokiya wrote: Truly leading by example. As Law Minister he is showing Singaporeans that they don't need to be afraid of their data being used by the police. he using safe entry not trace together
