username,comments,timestamp,postUrl,pubDate,description
heizenberg_el_chino,👏👏👏👏👏,2021-02-19T06:30:59.000Z,https://www.instagram.com/p/CLdrZGdhnUM/,2021-02-19 06:27:57+00:00,"businesses in singapore will receive support from budget 2021 to innovate and transform from their operations.

for more information: go.gov.sg/budget21-businesses-ig (link in bio)"
philip_yong2,👏👏👏👏👏,2021-02-19T07:25:59.000Z,https://www.instagram.com/p/CLdrZGdhnUM/,2021-02-19 06:27:57+00:00,"businesses in singapore will receive support from budget 2021 to innovate and transform from their operations.

for more information: go.gov.sg/budget21-businesses-ig (link in bio)"
heizenberg_el_chino,👏👏👏👏😍😍,2021-02-18T03:25:49.000Z,https://www.instagram.com/p/CLarp4NHuzZ/,2021-02-18 02:32:31+00:00,"the singapore green plan, announced by dpm heng in his budget 2021 statement, is a long-term plan that aims to secure a green, liveable, and sustainable home for generations of singaporeans to come. 

for more information: go.gov.sg/budget21-sggreenplan-ig (link in bio)"
marialee647,❤️❤️❤️❤️,2021-02-17T06:06:05.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17 03:11:00+00:00,"enhancements to the jobs support scheme and sgunited jobs &amp; skills package were announced by dpm heng during his budget 2021 statement yesterday. 

for more information: go.gov.sg/budget21-workers-ig (link in bio)"
nil663808,🙌👏❤️,2021-02-18T12:12:22.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17 03:11:00+00:00,"enhancements to the jobs support scheme and sgunited jobs &amp; skills package were announced by dpm heng during his budget 2021 statement yesterday. 

for more information: go.gov.sg/budget21-workers-ig (link in bio)"
jesperlau98,📻📺👂🏻👂🏻👀👀. 👍🏻👍🏻👍🏻,2021-02-17T01:51:19.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
marialee647,❤️❤️❤️,2021-02-17T01:53:46.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
ahmad_mogamad,❤️,2021-02-17T05:48:53.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
katniss.bree,❤️,2021-02-17T16:28:09.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
juliana.francis.77715,🥰🥰🥰🥰🥰,2021-02-19T06:38:44.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
