,username,comments,timestamp,postUrl,pubDate,description
0,nomadicmons,Thank you Singapore for keeping us safe 🙏,2020-10-19T09:07:17.000Z,https://www.instagram.com/p/CGggtRXHk9u/,2020-10-19 02:19:58+00:00,"there is no perfect policy, no perfect way of doing things. we can only do our best.

when emotions run high, what matters most is the safety of everyone.

see how public officers, together with ngos, worked together to care for the wellbeing of migrant workers at the dormitories.

📽️ catch the as one short films at go.gov.sg/as-one

#asonesg"
1,loh.david,This is a good one!,2020-10-20T01:45:08.000Z,https://www.instagram.com/p/CGggtRXHk9u/,2020-10-19 02:19:58+00:00,"there is no perfect policy, no perfect way of doing things. we can only do our best.

when emotions run high, what matters most is the safety of everyone.

see how public officers, together with ngos, worked together to care for the wellbeing of migrant workers at the dormitories.

📽️ catch the as one short films at go.gov.sg/as-one

#asonesg"
2,francissweett,Salute ! Thank you !,2020-10-20T03:30:47.000Z,https://www.instagram.com/p/CGggtRXHk9u/,2020-10-19 02:19:58+00:00,"there is no perfect policy, no perfect way of doing things. we can only do our best.

when emotions run high, what matters most is the safety of everyone.

see how public officers, together with ngos, worked together to care for the wellbeing of migrant workers at the dormitories.

📽️ catch the as one short films at go.gov.sg/as-one

#asonesg"
0,hermxnnn,"Gosh, i can siao alr. I havent met my oartner for almost 2 months, do u think face time is enough without intimacy? I've already sacrificed and now again sacrificed, im depressed 😢😢😢😢",2020-05-20T19:17:07.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
1,ju_lie851,"I suppose this CB need to be extended, don’t rush into any decisions, the cases don’t seem to b gg down",2020-05-20T20:00:44.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
2,colouredsnow,why make some bubble tea shops have business/queues but not disperse the crowd instead. bbt isn't even enclosed space or long wait on normal basis. just because others shot it down you please and enable such actions whereby majority of other f&b is allowed. not logical. isn't sch more enclosed or supermarkets etc,2020-05-21T02:21:40.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
3,_officialsiewching_,Feel like sad and no mood now,2020-05-21T05:28:32.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
4,_officialsiewching_,I don't like to go school,2020-05-21T05:29:13.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
5,jastakoto,Local businesses need your help too. Please look into local gyms like @mvrcksg who had given so much to the society and helped to contribute to the health and sanity of so many people. Do refer to @wyllus ‘s latest post please! We beseech you.,2020-05-21T06:06:49.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
6,elia.soriano87,@iserranop Singapur situation,2020-05-21T09:28:56.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
7,earthwormfanpage,@robertdeglebjj the whole country is Big Mad™️,2020-05-21T09:47:56.000Z,https://www.instagram.com/p/CAXxGEAnaHj/,2020-05-19 13:37:00+00:00,"as daily new community cases have declined significantly, and the dormitory situation has stabilised, singapore will exit the circuit breaker when it ends on 1 june 2020.

find out how we will gradually and safely exit the circuit breaker over 3 phases."
