username,comments,timestamp,postUrl,pubDate,description
shankar.rajan.1949,"When I went on the appointed date and time to Bishan CC, I was not vaccinated as my medical record shows that I am allergic to the antibiotic tetracycline.The centre says it will contact me in future. Does it mean that I will not be able to travel when all restrictions are lifted as I will not have the vaccination certificate? What to do?",2021-02-22T11:15:16.000Z,https://www.instagram.com/p/CLlutjSHTBJ/,2021-02-22 09:30:53+00:00,"your covid-19 questions answered:
 
does vaccination prevent me from being a covid-19 virus carrier?
 
#vaccineqnsanswered #vaccinationsg"
m_ask.co,"Vax does not prevent you from being a carrier but since it prevents you from getting really sick from it, you will have less symptoms probably even if you do catch it. Less symptoms means less chance of spreading it to others eg. Less mucus discharge etc.",2021-02-22T15:51:03.000Z,https://www.instagram.com/p/CLlutjSHTBJ/,2021-02-22 09:30:53+00:00,"your covid-19 questions answered:
 
does vaccination prevent me from being a covid-19 virus carrier?
 
#vaccineqnsanswered #vaccinationsg"
heizenberg_el_chino,👏👏,2021-02-19T09:31:24.000Z,https://www.instagram.com/p/CLeAU5OMCjY/,2021-02-19 09:30:52+00:00,"your covid-19 questions answered:
 
if i suffer from any side effects after getting vaccinated, what should i do?
 
#vaccineqnsanswered #vaccinationsg"
maricanzainab,.,2021-02-19T13:45:30.000Z,https://www.instagram.com/p/CLeAU5OMCjY/,2021-02-19 09:30:52+00:00,"your covid-19 questions answered:
 
if i suffer from any side effects after getting vaccinated, what should i do?
 
#vaccineqnsanswered #vaccinationsg"
studioyoelia,thank you 🙏👍,2021-02-18T10:15:15.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18 09:30:53+00:00,"your covid-19 questions answered:
 
will i get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationsg"
foramhpandya,"I m SG citizen, when will I get my vaccine?",2021-02-18T13:55:23.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18 09:30:53+00:00,"your covid-19 questions answered:
 
will i get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationsg"
chongsun1234,how about the 72 year old who got heart attack within 12 hours of the vaccine jab??? pls update,2021-02-19T05:49:15.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18 09:30:53+00:00,"your covid-19 questions answered:
 
will i get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationsg"
ccazorla_sg,❤️,2021-03-11T07:31:01.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18 09:30:53+00:00,"your covid-19 questions answered:
 
will i get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationsg"
canonbananon,Do they get 200k,2021-03-12T12:41:20.000Z,https://www.instagram.com/p/CLbbiIZDEQ6/,2021-02-18 09:30:53+00:00,"your covid-19 questions answered:
 
will i get an allergic reaction from the use of vaccines?
 
#vaccineqnsanswered #vaccinationsg"
marialee647,❤️❤️❤️❤️,2021-02-17T06:06:05.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17 03:11:00+00:00,"enhancements to the jobs support scheme and sgunited jobs &amp; skills package were announced by dpm heng during his budget 2021 statement yesterday. 

for more information: go.gov.sg/budget21-workers-ig (link in bio)"
nil663808,🙌👏❤️,2021-02-18T12:12:22.000Z,https://www.instagram.com/p/CLYLQ1LBhb4/,2021-02-17 03:11:00+00:00,"enhancements to the jobs support scheme and sgunited jobs &amp; skills package were announced by dpm heng during his budget 2021 statement yesterday. 

for more information: go.gov.sg/budget21-workers-ig (link in bio)"
jesperlau98,📻📺👂🏻👂🏻👀👀. 👍🏻👍🏻👍🏻,2021-02-17T01:51:19.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
marialee647,❤️❤️❤️,2021-02-17T01:53:46.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
ahmad_mogamad,❤️,2021-02-17T05:48:53.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
katniss.bree,❤️,2021-02-17T16:28:09.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
juliana.francis.77715,🥰🥰🥰🥰🥰,2021-02-19T06:38:44.000Z,https://www.instagram.com/p/CLX_wd4pYTP/,2021-02-17 01:30:27+00:00,"the covid-19 resilience package was announced by dpm heng during his budget 2021 statement on 16 feb 2021 to help address the economic uncertainties brought about by the pandemic. 

for more information: go.gov.sg/budget21-covid19relief-ig (link in bio)"
_tishalini_,wow this is so cool and inspiring for the growing teenagers !,2021-02-16T05:50:58.000Z,https://www.instagram.com/p/CLUAz7eHGbq/,2021-02-15 12:24:20+00:00,"wondering what it's like to take your covid-19 vaccine? watch nursing student gerlin take her first dose at bukit batok polyclinic! for more info visit: vaccine.gov.sg 

song credit:
vt.tiktok.com/zsevvjmd/

#vaccinationsg"
manohita9,From Bukit Batok too. Waiting for the vaccine turn 😍. Kudos to the team 👏👏👏,2021-02-15T13:38:21.000Z,https://www.instagram.com/p/CLUAz7eHGbq/,2021-02-15 12:24:20+00:00,"wondering what it's like to take your covid-19 vaccine? watch nursing student gerlin take her first dose at bukit batok polyclinic! for more info visit: vaccine.gov.sg 

song credit:
vt.tiktok.com/zsevvjmd/

#vaccinationsg"
nil663808,"Good,waiting for vaccine 🤲",2021-02-15T15:53:03.000Z,https://www.instagram.com/p/CLUAz7eHGbq/,2021-02-15 12:24:20+00:00,"wondering what it's like to take your covid-19 vaccine? watch nursing student gerlin take her first dose at bukit batok polyclinic! for more info visit: vaccine.gov.sg 

song credit:
vt.tiktok.com/zsevvjmd/

#vaccinationsg"
ironknight181,Is the jab painful and caused swelling?,2021-02-17T03:29:18.000Z,https://www.instagram.com/p/CLUAz7eHGbq/,2021-02-15 12:24:20+00:00,"wondering what it's like to take your covid-19 vaccine? watch nursing student gerlin take her first dose at bukit batok polyclinic! for more info visit: vaccine.gov.sg 

song credit:
vt.tiktok.com/zsevvjmd/

#vaccinationsg"
_bakkwa,wow so good 😍😍🔥🔥,2021-02-16T06:14:43.000Z,https://www.instagram.com/p/CLUAz7eHGbq/,2021-02-15 12:24:20+00:00,"wondering what it's like to take your covid-19 vaccine? watch nursing student gerlin take her first dose at bukit batok polyclinic! for more info visit: vaccine.gov.sg 

song credit:
vt.tiktok.com/zsevvjmd/

#vaccinationsg"
