,username,comments,timestamp,postUrl,pubDate,description
0,youchoong,SG 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌************+++++++++,2021-03-02T10:23:47.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
1,kimliroaduterte,❤️,2021-03-02T11:00:55.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
2,geokluanteo,👏👏,2021-03-02T11:48:04.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
3,francistay388,👏👏👏❤️❤️❤️,2021-03-02T11:49:38.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
4,nguyenlinhoa,👏👏,2021-03-02T12:11:46.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
5,heizenberg_el_chino,👏👏👏👏👏👏👏😍😍😍😍,2021-03-02T12:18:05.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
6,tbudaklawak,🤓🤓🤓🤓,2021-03-02T15:29:25.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
7,ak.chia.94,❤️,2021-03-03T08:07:20.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
8,eve48lyn,👏👏👏👍👍👍🌹🌹🌹🙏🙏🙏,2021-03-04T06:43:15.000Z,https://www.instagram.com/p/CL6axwihaA3/,2021-03-02T10:20:44.000Z,"Dropped by Bedok CC before my MPS yesterday to see how the fourth run of the free reusable mask distribution by @temasekfoundation was proceeding.
 
This new mask can be used for up to 7 months. It also has two layers of protection — with an antimicrobial layer on the outside, and an anti-bacterial layer on the inside. Even after 30 washes, it is able to inactivate over 97% of viruses that land on the surface of the mask.
 
By now, residents were familiar with the collection process at the vending machines. The collection will last for two weeks until 14 March. You can find out more here: https://stayprepared.sg/staymasked/reusable/maskplus/
 
I thank the volunteers, @pafrenz and Temasek Foundation staff for coordinating and helping our residents in the mask distribution.

#EastCoastCares"
0,geokluanteo,👏👏❤️,2021-02-23T22:51:17.000Z,https://www.instagram.com/p/CLoLZj4hnjO/,2021-02-23T08:22:27.000Z,"“Alone, we can do so little; together, we can do so much”. These were the words of Helen Keller, an author and educator, who became blind and deaf at a young age.
 
Her words continue to ring true decades after her lifetime. Indeed, this is the spirit of Singapore Together, where we pull together our energy and resources, to help the vulnerable among us. The pandemic has disrupted lives, especially for those who are disadvantaged. But I’m heartened that many have stepped up.
 
Together with @edwintong and @tinpeiling I met staff and volunteers of the Care Community Services Society (CCSS) this morning, and several of their corporate partners. CCSS provides support for families, seniors and children who need extra help. Some of their corporate partners have been supporting CCSS for many years.  Although the volunteers have found it more difficult to run their operations, they have also been pleasantly surprised that many more people are coming forward to help.

Edwin, Pei Ling and I witnessed the launch of the SG Cares Volunteer Centres @ Geylang, which will be operated by CCSS. This new centre  seeks to grow volunteerism, build capabilities, and connect partners in the Geylang area to meet the needs of the local community.

To emerge stronger as a society, we must rally more Singaporeans to play a more active part in building our shared future. As we overcome the crisis and progress as a society, we must not leave anyone behind.
 
This latest SG Cares Volunteer Centre will add to our efforts to galvanise communities to action. I hope that the measures that I announced at #SGBudget2021, to encourage giving and support for our social sector agencies, will bring even more people to donate and volunteer.
 
My thanks to the team at CCSS and all our charitable organizations for your ‘heart’ work! Let us work together to build a caring and inclusive #SingaporeTogether.

(PMO Video by Arina Ong)"
