,username,comments,timestamp,postUrl,pubDate,description
0,iclickmedia,❤️,2021-02-20T12:27:41.000Z,https://www.instagram.com/p/CLg5Jt0ns9N/,2021-02-20T12:25:54.000Z,"Survey results showed that Covid-19 had had some impact on the job market for fresh grads. Fewer managed to find full-time jobs. However 93.6% still managed to secure jobs within 6 months of their final exams, an increase from 2019. Support schemes like the SGunited skills and SGUnited traineeships have helped in significant ways. So we are continuing with these schemes to support more Singaporeans, as the economy and hiring remains weak during this period. 

To our graduates – you have come this far. The Government and your alma maters will continue to lean in with support. Press on!

(📷 taken before Covid-19)"
1,kimliroaduterte,❤️😍,2021-02-20T13:54:05.000Z,https://www.instagram.com/p/CLg5Jt0ns9N/,2021-02-20T12:25:54.000Z,"Survey results showed that Covid-19 had had some impact on the job market for fresh grads. Fewer managed to find full-time jobs. However 93.6% still managed to secure jobs within 6 months of their final exams, an increase from 2019. Support schemes like the SGunited skills and SGUnited traineeships have helped in significant ways. So we are continuing with these schemes to support more Singaporeans, as the economy and hiring remains weak during this period. 

To our graduates – you have come this far. The Government and your alma maters will continue to lean in with support. Press on!

(📷 taken before Covid-19)"
2,ohpetitetravel,❤️,2021-02-20T14:25:22.000Z,https://www.instagram.com/p/CLg5Jt0ns9N/,2021-02-20T12:25:54.000Z,"Survey results showed that Covid-19 had had some impact on the job market for fresh grads. Fewer managed to find full-time jobs. However 93.6% still managed to secure jobs within 6 months of their final exams, an increase from 2019. Support schemes like the SGunited skills and SGUnited traineeships have helped in significant ways. So we are continuing with these schemes to support more Singaporeans, as the economy and hiring remains weak during this period. 

To our graduates – you have come this far. The Government and your alma maters will continue to lean in with support. Press on!

(📷 taken before Covid-19)"
0,iclickmedia,❤️,2021-02-16T16:48:32.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
1,marialee647,❤️❤️❤️,2021-02-16T20:44:29.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
2,sohlulu,👏❤️,2021-02-16T23:47:14.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
3,jamespangz,❤️,2021-02-16T23:49:40.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
4,k.se.th,I agree with the need for prudence. It is wrong for taxpayers to be subsidising the SHN cost for some employers of domestic helpers. If they can afford to hire a domestic helper they should be able to afford the cost of the SHN. At most an installment scheme can be offered with interest. It's ludicrous that taxpayers are subsidising a portion of them.,2021-02-17T00:12:58.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
5,martinst_jourlist,❤️❤️❤️,2021-02-17T00:48:47.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
6,kimliroaduterte,❤️😮,2021-02-17T01:30:43.000Z,https://www.instagram.com/p/CLW65iSHQwY/,2021-02-16T15:28:46.000Z,"#SGBudget2021 will continue to provide immediate relief for Singaporeans, while setting out a clear strategy to tackle our broader challenges over the horizon.

The overall budget deficit for FY2020 is the largest since Singapore’s independence, at $64.9 billion, or 13.9% of GDP. In FY2021, we will still run a deficit, albeit a smaller one, at 2.2% of GDP. 

We must therefore continue to strike a careful balance between addressing our immediate needs and meeting our longer-term needs in a fiscally responsible manner.
 
Over the past year, we have rallied together and supported one another. Let’s continue to stay the course in our fight against Covid-19 and strive to emerge stronger together! 
 
You can read more about the Budget at #linkinbio"
