,username,comments,timestamp,postUrl,pubDate,description
0,youchoong,SG 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌************+++++,2021-03-03T18:38:06.000Z,https://www.instagram.com/p/CL9f1N3nHN0/,2021-03-03T15:06:26.000Z,"Delivered my first Committee of Supply Debate response in Parliament earlier today as Minister for Education. It was a long but productive debate, and I thank all MPs who submitted cuts for the robust and thoughtful discussion. 

There is no end to the betterment of our education system. But Covid-19 has added greater urgency to our work, and helped to crystallise our priorities moving forward. MOE is seizing this window of opportunity to equip our students with a broader range of competencies, develop more diverse and flexible pathways of learning through life, and uplift every child regardless of their starting point. 

#linkinbio to read the full speech

#MOECOS2021 #LearnforLife"
1,laksa_144,🙌🙌🙌❤️❤️❤️👏👏👏,2021-03-03T23:52:46.000Z,https://www.instagram.com/p/CL9f1N3nHN0/,2021-03-03T15:06:26.000Z,"Delivered my first Committee of Supply Debate response in Parliament earlier today as Minister for Education. It was a long but productive debate, and I thank all MPs who submitted cuts for the robust and thoughtful discussion. 

There is no end to the betterment of our education system. But Covid-19 has added greater urgency to our work, and helped to crystallise our priorities moving forward. MOE is seizing this window of opportunity to equip our students with a broader range of competencies, develop more diverse and flexible pathways of learning through life, and uplift every child regardless of their starting point. 

#linkinbio to read the full speech

#MOECOS2021 #LearnforLife"
2,weisheng08,👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,2021-03-04T11:04:41.000Z,https://www.instagram.com/p/CL9f1N3nHN0/,2021-03-03T15:06:26.000Z,"Delivered my first Committee of Supply Debate response in Parliament earlier today as Minister for Education. It was a long but productive debate, and I thank all MPs who submitted cuts for the robust and thoughtful discussion. 

There is no end to the betterment of our education system. But Covid-19 has added greater urgency to our work, and helped to crystallise our priorities moving forward. MOE is seizing this window of opportunity to equip our students with a broader range of competencies, develop more diverse and flexible pathways of learning through life, and uplift every child regardless of their starting point. 

#linkinbio to read the full speech

#MOECOS2021 #LearnforLife"
3,kimliroaduterte,❤️,2021-03-04T11:48:41.000Z,https://www.instagram.com/p/CL9f1N3nHN0/,2021-03-03T15:06:26.000Z,"Delivered my first Committee of Supply Debate response in Parliament earlier today as Minister for Education. It was a long but productive debate, and I thank all MPs who submitted cuts for the robust and thoughtful discussion. 

There is no end to the betterment of our education system. But Covid-19 has added greater urgency to our work, and helped to crystallise our priorities moving forward. MOE is seizing this window of opportunity to equip our students with a broader range of competencies, develop more diverse and flexible pathways of learning through life, and uplift every child regardless of their starting point. 

#linkinbio to read the full speech

#MOECOS2021 #LearnforLife"
4,thisisyourm0ther,👏👏👏👏❤️❤️🙌,2021-03-05T03:21:18.000Z,https://www.instagram.com/p/CL9f1N3nHN0/,2021-03-03T15:06:26.000Z,"Delivered my first Committee of Supply Debate response in Parliament earlier today as Minister for Education. It was a long but productive debate, and I thank all MPs who submitted cuts for the robust and thoughtful discussion. 

There is no end to the betterment of our education system. But Covid-19 has added greater urgency to our work, and helped to crystallise our priorities moving forward. MOE is seizing this window of opportunity to equip our students with a broader range of competencies, develop more diverse and flexible pathways of learning through life, and uplift every child regardless of their starting point. 

#linkinbio to read the full speech

#MOECOS2021 #LearnforLife"
0,fong_wy888,"👏👏👏wonderful children, beautiful play... multi racial 🙌👏",2021-02-26T12:45:14.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
1,mendinio,👍👍👏👏,2021-02-27T06:25:34.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
2,sohlulu,👍👏❤️,2021-02-26T12:05:28.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
3,magkoh5,❤️,2021-02-27T02:55:59.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
4,jomacsing,Lovely .,2021-02-27T14:41:06.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
5,sabariah.rahman.3,❤️👏,2021-03-04T14:29:38.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
6,bosong_ricecake,👏👏😢,2021-02-27T23:11:46.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
7,youchoong,SG 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌**********++,2021-02-26T11:27:04.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
8,audreyng7798,👏👏👏,2021-02-26T14:33:47.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
9,raj_kumar228149,So.nice to see display of cultural diversity 👍,2021-02-28T00:46:50.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
10,martinng5885,Dear sir be very very careful of the Brazil COVID variant. It will derail our vaccination program.,2021-03-01T19:18:38.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
11,raj_kumar228149,So proud to.see disly,2021-02-28T00:46:21.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
12,teesh52,Step by step we will overcome this COVID-19 pandemic,2021-02-28T13:28:53.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
13,kimliroaduterte,❤️,2021-02-26T11:19:25.000Z,https://www.instagram.com/p/CLwONhDHZ8D/,2021-02-26T11:18:51.000Z,"Wanted to share this festive tune by the students at Lakeside Primary, to wish everyone a happy Chap Goh Mei!

Chinese New Year celebrations have been relatively muted this year due to Covid-19, but I’m glad it hasn’t dampened spirits, especially for our students who have gamely kept up with mask-wearing and safe management measures in schools. 

There is still a long journey ahead of us, but step by step, we can emerge stronger together. May the Year of the Ox usher in strength and fortitude for us all!"
