,username,comments,timestamp,postUrl,pubDate,description
0,daphnekuanghc,👍👍👍😍,2020-11-12T14:58:08.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
1,kyla_pierce9,Awesome!!😎,2020-11-12T22:38:33.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
2,darylsoh,thanks for the work!,2020-11-13T01:36:52.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
3,eugene.low.146,❤️,2020-11-13T11:32:17.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
4,yyt.eldon,😳👍🏾🍷👏🏽,2020-11-13T18:36:54.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
5,limpuaykoon,Singapore got nothing to see,2020-11-14T02:12:52.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
6,suy_85,👍Please do the same for Philippines.I miss SG very much😥,2020-11-14T10:33:15.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
7,limpuaykoon,And by the way@singapore are@not@fresh most of them are@imported from@overseas by air freight or sea transportation by the time the food reach Singapore all become rotten,2020-11-14T20:14:29.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
8,sonstephan,@imjosephineee,2020-11-15T00:16:51.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
9,izzyizzyl,"Please allow live band, extending service hours of bars, opening sightseeing places etc. for tourists. 🙏",2020-11-17T12:14:11.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
10,eugeneyts,👍👏👏🤗,2020-12-04T12:48:09.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
11,helenleong122,👏,2020-12-05T21:38:33.000Z,https://www.instagram.com/p/CHcAiN0g_7J/,2020-11-11T04:49:34.000Z,"A message from @ongyekung to our friends in Hong Kong!
⠀⠀⠀⠀⠀⠀⠀
The Singapore-Hong Kong Air Travel Bubble takes off next Sunday, 22 November, with the start of daily ‘bubble’ flights between our two cities.
⠀⠀⠀⠀⠀⠀⠀
Officials from both sides have worked hard to put in place measures to allow air travel to resume safely. Travellers will have to get used to new regulations and COVID-19 swab tests – all part and parcel of the new normal.
⠀⠀⠀⠀⠀⠀⠀
We are proceeding cautiously, but if the arrangement is successful and the pandemic continues to stay under control on both sides, we can look forward to expanding the bubble to more flights, and hopefully, to more destinations as well. – LHL⠀⠀⠀⠀⠀⠀⠀"
0,ytxiaohei,🙏,2020-06-03T05:57:21.000Z,https://www.instagram.com/p/CA7gV2-HM_a/,2020-06-02T10:43:16.000Z,"Term 3 of the school year started today. For many students, it was the first time back in school after almost two months — students did Home Based Learning when the circuit breaker began in April, and had their mid-year school holidays in May. I’m sure many of you were excited to see friends and teachers again!
⠀⠀⠀⠀⠀⠀⠀
HBL had become the ‘new normal’ during the circuit breaker. Today as we start Phase 1 of our safe opening, there will be yet another ‘new normal’. Students and teachers returned to a different environment than when they were last in school.
⠀⠀⠀⠀⠀⠀⠀
Parents will understandably be anxious for their children. Rest assured that @moesingapore has taken comprehensive measures to keep students, teachers, and staff safe. We will take time to get used to the precautions, but they are necessary to protect everyone. Meanwhile, we are watching the situation closely, and will do everything necessary to gradually resume our normal activities while keeping teachers and students safe. – LHL
⠀⠀⠀⠀⠀⠀⠀
(Xingnan Primary School students queueing up to wash their hands in their classroom. / MOE Photo)⠀⠀⠀⠀⠀⠀⠀"
1,strictly_thoughts_only,🌟,2020-06-03T06:54:37.000Z,https://www.instagram.com/p/CA7gV2-HM_a/,2020-06-02T10:43:16.000Z,"Term 3 of the school year started today. For many students, it was the first time back in school after almost two months — students did Home Based Learning when the circuit breaker began in April, and had their mid-year school holidays in May. I’m sure many of you were excited to see friends and teachers again!
⠀⠀⠀⠀⠀⠀⠀
HBL had become the ‘new normal’ during the circuit breaker. Today as we start Phase 1 of our safe opening, there will be yet another ‘new normal’. Students and teachers returned to a different environment than when they were last in school.
⠀⠀⠀⠀⠀⠀⠀
Parents will understandably be anxious for their children. Rest assured that @moesingapore has taken comprehensive measures to keep students, teachers, and staff safe. We will take time to get used to the precautions, but they are necessary to protect everyone. Meanwhile, we are watching the situation closely, and will do everything necessary to gradually resume our normal activities while keeping teachers and students safe. – LHL
⠀⠀⠀⠀⠀⠀⠀
(Xingnan Primary School students queueing up to wash their hands in their classroom. / MOE Photo)⠀⠀⠀⠀⠀⠀⠀"
