,username,comments,timestamp,postUrl,pubDate,description
0,mandychoekyi,Wishing you excellent health PM Lee 💝💐🍊🍊🇸🇬,2020-12-07T10:24:27.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
1,monchaiteohotmail.com6665,👏👏,2020-12-07T12:42:14.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
2,mohamedsalambinmohamed,Terima kaseh Pak LHL.,2020-12-07T13:11:27.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
3,philip_yong2,👏👏👏👏👏👏,2020-12-07T15:01:10.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
4,sasa_purwanti,😍,2020-12-10T13:40:45.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
5,thuymi,Awww😘,2020-12-14T15:49:09.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
6,josephuschng,Tha magic water,2020-12-15T14:11:45.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
7,ceoofidek_,Stand User: Lee Hsien Loong,2020-12-17T10:47:48.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
8,ancady_infinite,❤️,2020-12-20T13:56:27.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
9,erucwt,😃👍👍👍,2020-12-29T07:27:36.000Z,https://www.instagram.com/p/CIX8Lw5gt7O/,2020-12-04T11:25:28.000Z,"Terima kasih!
谢谢!
நன்றி!
 
A big thank you to all our workers for your contributions to Singapore, especially during COVID-19.
2020 has been a year like no other. Many workers have had their wages and livelihoods affected by the pandemic, particularly those in hard-hit sectors. Frontline and essential workers have made many sacrifices, to keep their families and all of us safe.

We do not know when this pandemic will end, but there’s light at the end of the tunnel. We’re closer to getting a vaccine, and starting to reopen our borders. In the meantime, stay safe and stay strong. 
During this pandemic, labour MPs have been working overtime helping union workers, while the Air Transport Executive Staff Union has been working with SIA and other airlines to assist ground staff and protect their interests. Therefore, I nominate NTUC Assistant Secretary-General @patricktaytg and President of the AESU Daniel Loh to show your appreciation next! – LHL
#toast2U #toast2Uchallenge
-------------------------------------------------
For every #toast2U hashtag, NTUC Income will pledge $2 to the NTUC U Care Fund, which helps low-income members and their families through various assistance programmes to defray their cost of living and children’s school expenses, as well as members whose livelihood had been affected by Covid-19.
When nominated:
1. All you need to do is record yourself “receiving” the drink from the person who nominated you and give a toast accompanied by a note of appreciation in the post.
2. “Pass” the drink on by nominating two others.
3. Tag @UHeartsg for us to keep track of the donations, and remember to make your post public!
This @UHeartsg initiative is by @nebosg and @young.ntuc, supported by NTUC Income."
