,username,comments,timestamp,postUrl,pubDate,description
0,h.hxnnah_,I don't want to use the trace token,2020-12-13T08:01:25.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
1,sirnaazali,When will there be a replenishment for the token? Don't want to use the app.. it drains the phone battery fast,2020-12-16T15:45:26.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
2,euan_1iw0,No,2020-12-21T13:08:17.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
3,itznat.yc,do i have to use wifi/ data to check in,2020-12-27T01:40:32.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
4,jordanielrantornlips27,"Hi,It might be good, as covid spreads in aerosol AIRBORNE and direct transmission, to add another layer of protection. On top to the Measures by MOH to be applied to all Businesses, Employees nad Employer in Singapore..I AM ONLY GIVING FEEDBACKWE CAN MANDATE1. Install Counter Shield thick plastic or glass in all of OUR Cashier/Concierge/Customer Service countersREASON: STAFF & CUSTOMERS are constanly interact with one another, hence speech droplets are produce, although they wore facemask, 2. All of our temperature Checker to wear both Facemask, FaceShield and install COUNTER SHIELD CLEAR PLASTIC OR GLASS IN CHECK IN/OUT COUNTERSREASON: Same reason as the 1st. Staff and people see each other face to face.3. Install Table Shield Arcylic glass/clear thick plastic in all of our dine in TablesREASON: PEOPLE in dine in will remove Facemask when eating, hence breath and speech droplets are release in airThis will add additional protection specially to all service staff and make everyone feel even safer while VISITING, BUSINESS, shopping or dining in.THANK YOU",2021-01-01T15:56:30.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
5,property_consultant_irinn_lee,"Is it true? Anyone from NZ does not have to be quarantined, if they have negative Covid-19 test results??",2021-01-02T11:19:31.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
6,vveiling,is it true that doctors are allowed to deny medical treatment like hormone therapy if @moesingapore decides that a student doesn't deserve healthcare?,2021-01-16T15:50:33.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
7,glaringbliss,Where is the vote consolidated from @moh_singapore ? My doubts just getting stronger,2021-01-28T02:25:41.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
8,bellepoh2901,Hello!! U tell people a little bit of flu a little bit of cough & runny nose pls go & see doctor. Any how also cost $25. Why dnt U let us pay by medisave or shut up yr mouth,2021-02-08T03:09:02.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
9,bellepoh2901,U say chronic illness then can pay by medisave outpatient cost. How many chronic illness that person must have to use up 40-50k of medisave saving with U?? A big joke,2021-02-08T03:13:47.000Z,https://www.instagram.com/p/CIqBd54H0z1/,2020-12-11T11:57:33.000Z,"TraceTogether is most effective when the majority of the population is armed with it. Let's all get on board, so we can resume more activities with greater confidence.

If we all have TraceTogether, contact tracing will be much faster. Let’s say, you have been in close contact for an extended period with a person infected with COVID-19. You can be identified and notified quickly, and immediate action can be taken to protect you and your loved ones.

TraceTogether doesn’t collect or use your location data. It only records who you might have been close to for an extended period. Only you can access and upload encrypted Bluetooth exchanges from your TraceTogether App or Token in the event of a possible infection, and when requested by the authorities for contact tracing purposes. After 25 days, the information will be automatically deleted from your App or Token.

Rest assured that TraceTogether is not about tracing you. It’s really about tracking down those who have been exposed to COVID-19, getting them the appropriate care in the fastest possible time and limiting further spread. Download and use the TraceTogether App or collect your Token now. For details, visit www.tracetogether.gov.sg."
