,username,comments,timestamp,postUrl,pubDate,description
0,cindylim1156,🙏🙏🙏👏👏👏❤️❤️❤️❤️❤️💪,2020-10-06T07:27:49.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
1,totally.samtan,Part of the East Coast Plan,2020-10-06T07:30:59.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
2,zhxsheng,sorry boss no one want make with me,2020-10-06T07:52:33.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
3,benlimcz_,So no need for Safe Entry anymore? 😉,2020-10-06T07:58:43.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
4,zaharaufi,@akidtect 🤗,2020-10-06T10:42:09.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
5,ch.arlie_30,"𝗜 𝗮𝗺 𝘀𝗼 𝗵𝗮𝗽𝗽𝘆 𝗻𝗼𝘄 𝘁𝗵𝗮𝘁 𝗶 𝗵𝗮𝘃𝗲 𝗯𝗲𝗲𝗻 𝗶𝗻𝘁𝗿𝗼𝗱𝘂𝗰𝗲 𝘁𝗼 𝗮 𝗹𝗲𝗴𝗶𝘁𝗺𝗮𝘁𝗲 𝗳𝗼𝗿𝗲𝘅 𝗮𝗰𝗰𝗼𝘂𝗻𝘁 𝗺𝗮𝗻𝗮𝗴𝗲𝗿, 𝗶 𝗵𝗮𝘃𝗲 𝗹𝗼𝘀𝘁 𝗮𝗹𝗼𝘁 𝘁𝗼 𝗶𝗻𝗲𝘅𝗽𝗲𝗿𝗶𝗻𝗰𝗲 𝗺𝗮𝗻𝗮𝗴𝗲𝗿 𝗵𝗲𝗿𝗲.. 𝗕𝘂𝘁 𝘀𝗶𝗻𝗰𝗲 𝗶 𝘀𝘁𝗮𝗿𝘁𝗲𝗱 𝗶𝗻𝘃𝗲𝘀𝘁𝗶𝗻𝗴 𝘄𝗶𝘁𝗵 𝗺𝗿 George. 𝗪𝗶𝘁𝗵 𝗺𝘆 𝗶𝗻𝘃𝗲𝘀𝘁𝗺𝗲𝗻𝘁 𝗼𝗳 $1,000 𝗶 𝗮𝗺 𝗮𝗯𝗹𝗲 𝘁𝗼 𝗿𝗲𝗰𝗶𝗲𝘃𝗲 $10,500 @kevin_jon_george",2020-10-06T10:51:26.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
6,demon_lord_kh,@sheldor_th3_conqueror you know what you gotta do with Amanda for that cash bonus 😏,2020-10-06T13:29:29.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
7,ipaidbakt,@chermaineloox,2020-10-07T00:25:06.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
8,azharikreno.4,"The voucher of $300 which receive in oct and dec $150 each, is for each person above 21 staying in a 1 room flat /2 room flat. Or per household",2020-10-07T04:02:26.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
9,lowchuihong,PAP gov👍❤️🇸🇬🙏,2020-10-08T00:34:32.000Z,https://www.instagram.com/p/CF_lmtMB6YC/,2020-10-06T07:23:46.000Z,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶"
0,ichelodier,*for singaporeans only,2020-10-04T12:24:50.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
1,kellyterence082,Thank you so much,2020-10-04T12:34:28.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
2,junquan_koh,@ong0203 🤔,2020-10-04T13:15:11.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
3,shahizzuan_05,This is a great news,2020-10-04T15:31:47.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
4,flamboyantlouie,Everything increases. Thank you singaporeans for voting them,2020-10-04T17:06:59.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
5,faruq.mk62,Yes  electricity tariffa increases 9% thk to all singaporeans for voting them👏,2020-10-04T23:37:33.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
6,since70s,Time for payback.Give you one drumstick and take back whole spring chicken.,2020-10-05T00:17:34.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
7,angshpat,Don't blame the voters. Most of them don't know the impact behind. They only glad to receive the GST vouchers. 😢😢😢,2020-10-05T01:04:45.000Z,https://www.instagram.com/p/CF6t56TnxkC/,2020-10-04T09:59:31.000Z,"In total, all Singaporean HDB households will receive twice the regular amount of GSTV - U-Save to help offset their utilities bills this year. 

Larger families will receive 2.5 times their regular GSTV- U-Save. #linkinbio 

Photo from Unsplash."
