,username,comments,timestamp,postUrl,pubDate,description
0,zxra1fun,@shariq_is_my_name @qeemvsthewrld @dar.wisyy @yan_kyckc @r_eimi_sugi.moto @aqiljuhair_  MR CHEWW🔥,2020-08-06T12:13:17.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
1,ms.famn,Now we know that we have so many foreign workers dormitories in Singapore 😮,2020-08-06T12:52:49.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
2,____y__h____,Wat i thought u count them at first when u put them into isolation then after tat u test them and if its still positive by right shouldn't add on to the confirmed case alr isn't it? Since they r alr listed in the cfm case after the first testing?🤔,2020-08-06T13:11:27.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
3,snowbreeeze,Once cleared the next hurdle is the imported cases. Those can be reduced to zero or near zero.  Just ban the non citizens.  Stop them from importing their problems to SG!,2020-08-06T13:52:12.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
4,_alxyasir,"why allow msians to come to Singapore? just extend till next year. I tot saving jobs for singaporean is upmost priority. Not like our doctors, nurses, securities and economist are msians",2020-08-06T15:26:02.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
5,timlee1038,"Infectious building ... how are you sure , they are not going get infected again .",2020-08-06T22:15:48.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
6,ytohfb,Will this briefing be regular? How regular? @lawrencewongst,2020-08-07T00:13:29.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
7,owleongchuan,👏,2020-08-07T01:17:05.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
8,vira_mie,"❤️@official_carolina_fx_trade win big with her, she’s the best bitcoin account manager, I’ve earning massively on her platform",2020-08-07T01:28:59.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
9,blessedjeanie,"Provided all human beings living in Singapore is cooperative and vigilant to cause the number to go down, by doing their part to continue putting on the mask and be responsible for others as well.",2020-08-07T01:47:32.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
10,walkyourdreams,Hmmmm I dunno. I just find it does not make too much sense when the dorm have been under strict control and yet the numbers are still high after 4 months.,2020-08-07T23:24:09.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
11,henry_chiew,"Finishing the testing just before National Day? 😏 Hopefully the lessons learned from this unfortunate event will pave way for a better management of the dormitories, do not let the migrant workers feel such anxieties working in a foreign country. No more waves please. They are here to earn a living and contributing in building and maintaining the nation, not to be sent back to their home country in a body bag.",2020-08-08T02:43:13.000Z,https://www.instagram.com/p/CDjBj9mnwpm/,2020-08-06T12:08:19.000Z,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks."
0,luke.gibbo,"But why already know why their mental health is shot. They work 12 hour days, 6 days a week, hard conditions, with shit pay, and then they sleep in a small cramped conditions. Not to mention the whole covid-19 thing. This won’t be fixed by doctors, this will be fixed by proper union action, not capable under the current PAP apparatus.",2020-08-06T11:53:42.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
1,cptnsquanch,"""I totally believe whatever it is you are saying about taking care of the migrant workers mental health.""-insert sarcastic tone-",2020-08-06T11:56:37.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
2,ajefucecilia,I've become free from all my debts since I started with Anna Jeremy @_annafxtrader,2020-08-06T12:00:33.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
3,d3adman_89,ENOUGH WITH THE LIES!!!!,2020-08-06T12:06:24.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
4,emelody__,@_annafxtrader Not too long ago I got in contact with Anna Jeremy and ever since then I’ve been earning cumulative returns.,2020-08-06T12:09:39.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
5,alloyminium,🤡🤡,2020-08-06T12:14:00.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
6,dumb_monke,what about the mental health of students?,2020-08-06T12:40:21.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
7,dr.andrew.goh,The DMS seems to have gained quite a lot of weight. Isn’t his job of managing the COVID-19 pandemic in Singapore a very stressful one?,2020-08-06T14:01:12.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
8,timlee1038,Very simple . Give them beer 🍺 for the day weekend. Plus peanuts 🥜.,2020-08-06T23:08:33.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
9,santimentally,Not a single apology.,2020-08-07T11:06:56.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
10,es_in_tokyo,What took you so long to realize that mental health is important among the migrant workers?,2020-08-08T01:33:49.000Z,https://www.instagram.com/p/CDi_hWEnJEg/,2020-08-06T11:49:58.000Z,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs."
