,username,comments,timestamp,postUrl,pubDate,description
0,sataysedapnya,Have to link to phone n use my battery ah? Give handout$ 1st then say lo..,2020-09-10T05:36:15.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
1,sataysedapnya,Gov got drone in e sky liao leh,2020-09-10T05:37:26.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
2,sataysedapnya,Why still need token?,2020-09-10T05:37:41.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
3,sataysedapnya,Just put a drone on each one of us la... Non citizens get 2 drones..😆,2020-09-10T05:38:35.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
4,dropdeadmys,no,2020-09-10T06:40:55.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
5,sujathashanmugam,Soon it is going to be most places,2020-09-10T07:01:34.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
6,zakross.kizz,Skynet,2020-09-10T07:02:49.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
7,mrs.early_,so can we stop scanning safeentry with this?,2020-09-10T14:33:45.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
8,kadva.lo,Hope this one entirely made in Singapore.,2020-09-11T04:11:59.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
9,the_sloth_g,All the CB-ian confirm like this. Dont say you dont like because you want this to happen.,2020-09-11T06:26:42.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
10,bondon,"So essentially they’re slowly enforcing the app, right? Cause you know, some places require the app for entry.",2020-09-11T07:17:37.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
11,jaredzlong,Me when I recive TT tokens: 50 WAYS TO BREAK A TRACETOGETHER TOKEN,2020-09-14T10:38:59.000Z,https://www.instagram.com/p/CE6kAyaHZ_v/,2020-09-09T12:01:41.000Z,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech."
0,ah.k.diary,Exactly!! 😂,2020-08-10T05:34:10.000Z,https://www.instagram.com/p/CDshrrUHXLf/,2020-08-10T04:40:33.000Z,Also: Check in check out check in check out check in check out check in check out
1,ksbsm_yrmh,Imaging working at a job that forces u to work on a public holiday and doesn’t pay you extra for that,2020-08-10T05:35:14.000Z,https://www.instagram.com/p/CDshrrUHXLf/,2020-08-10T04:40:33.000Z,Also: Check in check out check in check out check in check out check in check out
2,aashisharora07,😂😂,2020-08-10T05:47:19.000Z,https://www.instagram.com/p/CDshrrUHXLf/,2020-08-10T04:40:33.000Z,Also: Check in check out check in check out check in check out check in check out
