,username,comments,timestamp,postUrl,pubDate,description
0,dharni,"Singapore’s governing system is much to be commended. Some Singaporeans don’t know how lucky they are... I moved back to Singapore from Europe and I can safely say Europe’s way of handling the Covid-19 pandemic is pre-historic compared to Singapore’s. Another factor is that Singaporeans are compliant and adhere to the law passed down by the govt, while Europe’s people are in a mess, and their left and right wings are tearing apart further amidst the pandemic. After being back here, I never felt more lucky and grateful to be Singaporean.",2021-02-02T18:02:58.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
1,cherryflakelolly,"Please be grateful how our government trying their best to come out with tokens for contract tracing . Look at Perth Australia , they only have 1 community case and they had to go on lockdown . Please read up news around the world and you know will how bless you are in Singapore .",2021-02-02T13:21:51.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
2,_junlin,“I take full responsibility for this mistake.” Video TLDW but it’s heartening to hear the govt acknowledging and claiming their mistakes. That’s more like it. Now MOE do the same.,2021-02-02T12:13:45.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
3,mothershipsg,#igsg #instasg #singapore #sgig #IGerssingapore #instadaily #photooftheday #potd #igsingapore #instasingapore #sg #sgphoto #singaporean #madaboutsingapore #yoursingapore #everydaysingapore #everydaysg #sgvideos #videos #tracetogether #vivianbalakrishnan #sgpolitics #sgparliament,2021-02-02T13:08:54.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
4,eat_play.repeat,"If ones did nothing wrong why need to worry about privacy involving in criminal procedure code?! Those people kpkb about privacy matter because they like to do illegal things, scare kena easily get caught is it?! 😂",2021-02-02T13:36:13.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
5,kevbestin,Like what 5 years later 🤣,2021-02-02T12:02:30.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
6,_.a.me._,The pandemic going to last a bloody decade then.,2021-02-02T12:24:52.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
7,aras365,"Questions ; when will ""Covid-19 over?""",2021-02-02T12:13:06.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
8,inkpotant,"Singaporeans and all living here please be thankful that our government is doing their utmost best to protect everyone here, seeing to all our daily supplies as we have no natural resources, we have fantastic health care facilities here, making sure there are sufficient vaccinations for everyone, setting laws, rules and regulations so that we don’t loose our love ones here!  You people do not know you’re living in heaven and are complaining like hell.  Go talk to people who lived overseas and those here who had lost their love ones over their.  Otherwise fly anywhere out of Singapore to see for yourself.  Please be appreciative that we can still live quite normally here and building our economy to our best so that everyone can still have a job!  Wake up Singaporeans!",2021-02-03T01:23:35.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
9,kimkg03,i lost mine 💀,2021-02-02T12:38:36.000Z,https://www.instagram.com/p/CKyf841A4xO/,2021-02-02T12:01:47.000Z,"""We acknowledge our error in not stating that data from TraceTogether is not exempt from the Criminal Procedure Code. I take full responsibility for this mistake.""

In a Parliament session on Feb. 2, Minister Vivian Balakrishnan addressed privacy concerns over the TraceTogether programme, adding that he ""regret[s] the consternation [and] the anxiety"" caused.

He further emphasised that TraceTogether and other digital contact tracing programmes would be deactivated when Covid-19 is over."
