,username,comments,timestamp,postUrl,pubDate,description
0,joshua_mercadal,EH? You're here ⏸ already! 👋👏 Good! I got 😂 super suprise for 🙌 you! 🏻👀 Shopee pee 💦💦 pee pee 💦🚰 pee 💦😮 pee pee. 🚰 99 super 😅 shopping day! Buy 💵 everything 💯😬 on Shopee. Shopee 99 super 👑 shopping day! 🌞 Don't play play! Use 👏 your brain. 🌀 99 super 💙 shopping day. 🌞🎉 Million 💯💯 dollar ❗❎ discount eh! Really ah? 😂😂 Abuden. Don't 🚫🙅 play 🏻 play! 🎽😏 Use 🚀🚀 Shopee! 50% 🔫 off vouchers. 18% 👸💗 cashback leh. Don't 🚫😡 say I never 🚫 say! ☝ Don't play play! 😘👅 Use 👏 Shopee! Best 👌 in 🙏📥 Singapore just 🗼🙏 like me. 👈👧 Listen 🎧👴 to 💦 me what 😤💆 I say. 99 🙅 Super 😅 Shopping Day! 🕞🌚 Shopee pee pee 😮 pee 😮 pee pee pee. 99 super 💙🌟 shopping day! Buy 💵💰 everything 🙌🏻 on 🎁🚶 Shopee. Shopee 99 🤑 super 👑👑 shopping day! 😊🎁 Shopee pee pee pee pee 💦💦 pee 🚰 pee. 99 💵 super 😅 shopping day! 🎉☀ Buy 💵💲 everything on Shopee. Shopee 99 super 💢💙 shopping day! 😵🙌 Freeze! 😥😥 Use your 🤴😩 brain. 👾👾 Don't miss 👞😤 this ☝ shopee 99 ♂ super 😅 shopping day ah! Don't 🚫 play 🎮 play. Download Shopee now!,2021-02-19T13:34:30.000Z,https://www.instagram.com/p/CLeXrwNH0r-/,2021-02-19T12:55:23.000Z,"Opened on Feb. 18, Jalan Besar Community Club is Singapore’s third vaccination center. 31 vaccination centers are expected to be in operation by mid March.

Addressing the incident of the 72-year-old man who suffered a cardiac arrest after receiving the vaccine, Health Minister Gan Kim Yong said vaccinated patients will be monitored via thorough questionnaires on their wellbeing and a 30-minute post-vaccination observation period."
1,viharikaj,wait he suffered from a cardiac arrest post vaccination 👀👀 uh...,2021-02-19T15:13:25.000Z,https://www.instagram.com/p/CLeXrwNH0r-/,2021-02-19T12:55:23.000Z,"Opened on Feb. 18, Jalan Besar Community Club is Singapore’s third vaccination center. 31 vaccination centers are expected to be in operation by mid March.

Addressing the incident of the 72-year-old man who suffered a cardiac arrest after receiving the vaccine, Health Minister Gan Kim Yong said vaccinated patients will be monitored via thorough questionnaires on their wellbeing and a 30-minute post-vaccination observation period."
2,muaythaipanda,@stsh80,2021-02-19T15:16:03.000Z,https://www.instagram.com/p/CLeXrwNH0r-/,2021-02-19T12:55:23.000Z,"Opened on Feb. 18, Jalan Besar Community Club is Singapore’s third vaccination center. 31 vaccination centers are expected to be in operation by mid March.

Addressing the incident of the 72-year-old man who suffered a cardiac arrest after receiving the vaccine, Health Minister Gan Kim Yong said vaccinated patients will be monitored via thorough questionnaires on their wellbeing and a 30-minute post-vaccination observation period."
3,jesperlau98,👍🏻👍🏻👍🏻👍🏻👏🏻👏🏻👏🏻,2021-02-19T15:27:52.000Z,https://www.instagram.com/p/CLeXrwNH0r-/,2021-02-19T12:55:23.000Z,"Opened on Feb. 18, Jalan Besar Community Club is Singapore’s third vaccination center. 31 vaccination centers are expected to be in operation by mid March.

Addressing the incident of the 72-year-old man who suffered a cardiac arrest after receiving the vaccine, Health Minister Gan Kim Yong said vaccinated patients will be monitored via thorough questionnaires on their wellbeing and a 30-minute post-vaccination observation period."
4,dannyslonelyplanet,👏👏👏,2021-02-19T16:23:46.000Z,https://www.instagram.com/p/CLeXrwNH0r-/,2021-02-19T12:55:23.000Z,"Opened on Feb. 18, Jalan Besar Community Club is Singapore’s third vaccination center. 31 vaccination centers are expected to be in operation by mid March.

Addressing the incident of the 72-year-old man who suffered a cardiac arrest after receiving the vaccine, Health Minister Gan Kim Yong said vaccinated patients will be monitored via thorough questionnaires on their wellbeing and a 30-minute post-vaccination observation period."
0,s00kfang,♥️,2021-01-26T14:35:14.000Z,https://www.instagram.com/p/CKgvfa7pkgv/,2021-01-26T14:31:40.000Z,"Along with Teck Ghee CC in Ang Mo Kio, this vaccination centre in Tanjong Pagar CC is part of the first two facilities that have been set up to cater vaccinations to residents aged 70 and above.

Trade and Industry Minister Chan Chun Sing, who visited the centre today (Jan. 26) said: “Our aim is targeting to have one community vaccination centre in every town by the end of March."""
1,mothershipsg,#igsg #instasg #singapore #sgig #IGerssingapore #instadaily #photooftheday #potd #igsingapore #instasingapore #sg #sgphoto #singaporean #madaboutsingapore #yoursingapore #everydaysingapore #everydaysg #sgvideos #videos #covid_19 #covid19 #covid19sg #covid19vacccine,2021-01-26T14:36:56.000Z,https://www.instagram.com/p/CKgvfa7pkgv/,2021-01-26T14:31:40.000Z,"Along with Teck Ghee CC in Ang Mo Kio, this vaccination centre in Tanjong Pagar CC is part of the first two facilities that have been set up to cater vaccinations to residents aged 70 and above.

Trade and Industry Minister Chan Chun Sing, who visited the centre today (Jan. 26) said: “Our aim is targeting to have one community vaccination centre in every town by the end of March."""
2,bonnieneo_vyz,"Tanjong Pagar and Teck Ghee: one father, one son",2021-01-26T14:43:34.000Z,https://www.instagram.com/p/CKgvfa7pkgv/,2021-01-26T14:31:40.000Z,"Along with Teck Ghee CC in Ang Mo Kio, this vaccination centre in Tanjong Pagar CC is part of the first two facilities that have been set up to cater vaccinations to residents aged 70 and above.

Trade and Industry Minister Chan Chun Sing, who visited the centre today (Jan. 26) said: “Our aim is targeting to have one community vaccination centre in every town by the end of March."""
3,pe1sichen,Great initiative! Already Enrolled my mom for vaccine tomorrow.,2021-01-26T14:48:07.000Z,https://www.instagram.com/p/CKgvfa7pkgv/,2021-01-26T14:31:40.000Z,"Along with Teck Ghee CC in Ang Mo Kio, this vaccination centre in Tanjong Pagar CC is part of the first two facilities that have been set up to cater vaccinations to residents aged 70 and above.

Trade and Industry Minister Chan Chun Sing, who visited the centre today (Jan. 26) said: “Our aim is targeting to have one community vaccination centre in every town by the end of March."""
4,decentraleo.crypto,Wow,2021-01-26T19:40:17.000Z,https://www.instagram.com/p/CKgvfa7pkgv/,2021-01-26T14:31:40.000Z,"Along with Teck Ghee CC in Ang Mo Kio, this vaccination centre in Tanjong Pagar CC is part of the first two facilities that have been set up to cater vaccinations to residents aged 70 and above.

Trade and Industry Minister Chan Chun Sing, who visited the centre today (Jan. 26) said: “Our aim is targeting to have one community vaccination centre in every town by the end of March."""
