username,comments,timestamp,postUrl,pubDate,description
mabelyje,Please put up more signs especially in the bus to ask people not to chit chat in the bus.🙏,2021-02-25T03:38:12.000Z,https://www.instagram.com/p/CLssQ_mD6Yk/,2021-02-25T02:25:07.000Z,"Without masks, droplets from a cough or sneeze on a moving train can spread to as far as 6 people away. 

With masks and other safe management measures, we can continue to travel safely on public transport. 

Watch this short video to find out more about the study done by @astarsg and @ltasg.

This study is part of a wider initiative by A*STAR and @temasekfoundation to study how transmission occurs in different settings, and thus improve our measures to reduce the spread of COVID-19."
melwu5057,I know that people tend to remove their shoes put their feet on the edge of the bus seat which can be unhygienic for the next person who came aboard the bus to find a seat to sit down,2021-02-25T06:36:02.000Z,https://www.instagram.com/p/CLssQ_mD6Yk/,2021-02-25T02:25:07.000Z,"Without masks, droplets from a cough or sneeze on a moving train can spread to as far as 6 people away. 

With masks and other safe management measures, we can continue to travel safely on public transport. 

Watch this short video to find out more about the study done by @astarsg and @ltasg.

This study is part of a wider initiative by A*STAR and @temasekfoundation to study how transmission occurs in different settings, and thus improve our measures to reduce the spread of COVID-19."
philip_yong2,👏👏👏👏👏👏,2021-02-15T03:02:33.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
na.th669,👏👏❤️❤️,2021-02-15T08:10:14.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
hanakoteh,👏👏👏.加油!,2021-02-15T09:29:31.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
chiochiotan,Good job 👏👏👏,2021-02-15T12:00:43.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
vinstan1502,👏👏👏,2021-02-16T06:05:16.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
joycesvillareal,👏👏❤️❤️😍,2021-02-15T02:45:45.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
sforshaw,"Great story, thanks for sharing!",2021-02-15T14:07:49.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
sforshaw,"Great story, thanks for sharing!",2021-02-15T14:07:48.000Z,https://www.instagram.com/p/CLS7XsOMfzK/,2021-02-15T02:15:55.000Z,"Crowne Plaza Changi Airport is our airport hotel. Recently, three workers there got infected with COVID-19, most likely from foreign air crew who stayed there during their layover. 

So the hotel closed, and worked with @moh_singapore and CAAS to implement tighter procedures to keep the staff and guests safe. 

@cpchangiairport recently opened again. I visited them to see the changes. 

The hotel is now only open to foreign air crew, no staycations. 

It is divided into Green and Amber zones, depending on potential exposure to the virus. 

More measures were taken to ensure foreign air crew stay in their rooms, with contactless laundry and food delivery. 

Much care is taken to ensure staff working in the Amber zone wear Personal Protective Equipment (PPE), and are properly trained. 

Some 180 staff have also gone for vaccination. 

What left me the strongest impression was the kitchen and restaurant. It is a Green zone, where staff prepares the food and packs them. Across the demarcation of the restaurant is an Amber zone, where staff in full PPE collect the food to be delivered to the rooms. 

I met the kitchen staff, Ms Thulasi, who just returned to work after being infected with COVID-19. She said her symptoms were fortunately mild, and she was in very good spirits and just got her vaccination. When she was down, all her colleagues were quarantined, and all the management staff chipped in to help cook and clean the kitchen. 

There was a lot of positive spirit in this hotel despite what happened. I think thatâ€™s why it has been voted the best airport hotel in the world."
