username,comments,timestamp,postUrl,pubDate,description
rockandroeee,Why no social distancing though? It is not about the class size,2020-03-18T10:00:38.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
glendatan339,🔥🔥🔥,2020-03-18T10:26:39.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
snowbreeeze,A good theme for a class in SG and SMU. Too many students forget that they  are in social diversified country and region.,2020-03-18T10:36:00.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
smu_iie,👏,2020-03-18T10:40:17.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
jorgdietzel,Should have come to mine!,2020-03-18T10:53:04.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
victorgo,Welcome to SMU Sir!,2020-03-18T10:54:24.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
yuantokusnadi,@charlie_set,2020-03-18T14:50:55.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
isa_cordelia,"Welcome to SMU, sir! :) Glad to e-meet you during my elevator pitch today :D I was part of the group where my friend shared about the online alarm clock app for students! 😁",2020-03-18T16:36:18.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
jacelyn_insta,Why only Minister is observing the distancing protocol ?,2020-03-19T03:16:48.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
planats,@itsjust2letters,2020-03-19T10:07:57.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
genie.sg,Nice! Good to see that the students are all still in good spirits too. 🙌,2020-03-19T12:49:57.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
typhonelife99,"Dear Minister, find out what it is like being the only socially distant person in the room: chng.it/JTtXgNFfCr",2020-03-20T04:01:52.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
decentraleo.crypto,Absolutely gorgeous! 🙌,2020-03-20T04:13:24.000Z,https://www.instagram.com/p/B93tvHKHflt/,2020-03-18T09:49:10.000Z,Popped into a â€˜lectureâ€™ at SMU today. They are operating at class sizes of no more than 50. This lecture is on Asian Diversity.
michelleowyeong,❤️,2021-03-01T01:33:14.000Z,https://www.instagram.com/p/CL25T0ssRTC/,2021-03-01T01:30:34.000Z,"We officially started the Sea-Air Vaccination Exercise for our frontliners working at our borders on 18 Jan 2021. 

The attached graph shows the progress made in the maritime sector. 

The top horizontal line shows the number of frontline workers eligible - 18k. 

The first line bordering the blue area shows the number that got their first dose over the last 1.5 months. The number now stands at 17.6k, or 98% of eligible frontline maritime personnel. 

The second line bordering the green area shows the number who have received the second dose of the COVID-19 vaccine. 16.7k have, and in the coming days, almost all would have. 

This means that substantially all frontline maritime workers will be vaccinated, and this is a major step in securing our borders and minimising import cases infiltrating our community, and strengthening international confidence in our maritime hub. 

I thank the various stakeholders - @maritime_sg, EDB, EnterpriseSG, SMOU, SOS, SSA, ASMI, @moh_singapore, Fullerton Health, maritime companies, and also workers and their families, for their tremendous support. 

#MaritimeSGSteadyLah
#MaritimeSG"
sophie_t237,❤️❤️❤️ Well done! Thank you for protecting our frontline specialists.,2021-03-01T01:35:20.000Z,https://www.instagram.com/p/CL25T0ssRTC/,2021-03-01T01:30:34.000Z,"We officially started the Sea-Air Vaccination Exercise for our frontliners working at our borders on 18 Jan 2021. 

The attached graph shows the progress made in the maritime sector. 

The top horizontal line shows the number of frontline workers eligible - 18k. 

The first line bordering the blue area shows the number that got their first dose over the last 1.5 months. The number now stands at 17.6k, or 98% of eligible frontline maritime personnel. 

The second line bordering the green area shows the number who have received the second dose of the COVID-19 vaccine. 16.7k have, and in the coming days, almost all would have. 

This means that substantially all frontline maritime workers will be vaccinated, and this is a major step in securing our borders and minimising import cases infiltrating our community, and strengthening international confidence in our maritime hub. 

I thank the various stakeholders - @maritime_sg, EDB, EnterpriseSG, SMOU, SOS, SSA, ASMI, @moh_singapore, Fullerton Health, maritime companies, and also workers and their families, for their tremendous support. 

#MaritimeSGSteadyLah
#MaritimeSG"
gankoktiong,Wishing a merry time ahead for our maritime sector.,2021-03-01T02:17:06.000Z,https://www.instagram.com/p/CL25T0ssRTC/,2021-03-01T01:30:34.000Z,"We officially started the Sea-Air Vaccination Exercise for our frontliners working at our borders on 18 Jan 2021. 

The attached graph shows the progress made in the maritime sector. 

The top horizontal line shows the number of frontline workers eligible - 18k. 

The first line bordering the blue area shows the number that got their first dose over the last 1.5 months. The number now stands at 17.6k, or 98% of eligible frontline maritime personnel. 

The second line bordering the green area shows the number who have received the second dose of the COVID-19 vaccine. 16.7k have, and in the coming days, almost all would have. 

This means that substantially all frontline maritime workers will be vaccinated, and this is a major step in securing our borders and minimising import cases infiltrating our community, and strengthening international confidence in our maritime hub. 

I thank the various stakeholders - @maritime_sg, EDB, EnterpriseSG, SMOU, SOS, SSA, ASMI, @moh_singapore, Fullerton Health, maritime companies, and also workers and their families, for their tremendous support. 

#MaritimeSGSteadyLah
#MaritimeSG"
