username,comments,timestamp,postUrl,pubDate,description
andunderscorerew,Am I understanding this correctly? The average household in SG earns over $9000 a month?,2021-02-08T06:44:36.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
muskarimy,Average is 10k with 4 adults in household working full time or 2 adults working at Sheng shiong... ???œ,2021-02-08T07:26:57.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
patricia.tong1602,"How did they do this survey?!?! At those $$, are they looking at high income families? I'm on the lowest of low ???›",2021-02-08T06:51:09.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
aren_woka_,that is average?,2021-02-08T06:36:54.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
amazingg.me,What happen with sg?,2021-02-08T06:35:12.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
thedarthfaisal,Many commenters so surprised. Median does not equal average HH income ???,2021-02-08T10:02:24.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
94arisha,Covid-19 meh. Other countries are affected harder. There are sure ups and downs in life.,2021-02-08T06:43:23.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
sharnster73,"$9000 over what time period? Month, year, what?",2021-02-08T09:37:33.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
alvinseekianboon,like tat all cannot stay HDB liao...must apply EC or condo...,2021-02-08T23:39:11.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
thefinancialcoconut,This is definitely a challenge.,2021-02-08T06:43:10.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
