username,comments,timestamp,postUrl,pubDate,description
iclickmedia,👍 good use of #tech,2020-09-25T11:30:01.000Z,https://www.instagram.com/p/CFjjc0clqgP/,2020-09-25T10:06:00.000Z,"Starting next month, robots and drones will take on roles such as SafeEntry, temperature taking and surveillance at National University Health System hospitals. They can also deny entrance to visitors who do not comply with social distancing measures."
sheenaanaia,@shine_lum,2020-09-26T01:07:59.000Z,https://www.instagram.com/p/CFjjc0clqgP/,2020-09-25T10:06:00.000Z,"Starting next month, robots and drones will take on roles such as SafeEntry, temperature taking and surveillance at National University Health System hospitals. They can also deny entrance to visitors who do not comply with social distancing measures."
iamjuslim,👍🏼,2020-09-26T03:14:53.000Z,https://www.instagram.com/p/CFjjc0clqgP/,2020-09-25T10:06:00.000Z,"Starting next month, robots and drones will take on roles such as SafeEntry, temperature taking and surveillance at National University Health System hospitals. They can also deny entrance to visitors who do not comply with social distancing measures."
hari7800,Wait.. isn’t this ntfgh?,2020-09-26T04:23:51.000Z,https://www.instagram.com/p/CFjjc0clqgP/,2020-09-25T10:06:00.000Z,"Starting next month, robots and drones will take on roles such as SafeEntry, temperature taking and surveillance at National University Health System hospitals. They can also deny entrance to visitors who do not comply with social distancing measures."
mail_liw,Kenobi???,2020-09-26T07:38:57.000Z,https://www.instagram.com/p/CFjjc0clqgP/,2020-09-25T10:06:00.000Z,"Starting next month, robots and drones will take on roles such as SafeEntry, temperature taking and surveillance at National University Health System hospitals. They can also deny entrance to visitors who do not comply with social distancing measures."
sand_artist_lawrence_koh,❤️,2020-08-25T08:06:01.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
legit_oldmoney_buyer,I buy old  money collector I buy old UAE 🇦🇪 🇲🇾MYR <10k> per one ☝ 🇸🇬SGD <10k> per one ☝ 🇧🇳BRU <10k> per one ☝ 🇨🇳CH or any country coin and note.Pm me!!!!!I buy old MAL 🇲🇾(coins$ notes)10kkmyr per☝️old Sin🇸🇬(coins$note)10ksgd per☝️OLD BRU🇧🇳(coins$notes)10ksgd per☝️ YA ALLAH 🙏🙏🙏✅🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾STAY SAFE 🤙🤙🤙🤙,2020-08-25T08:06:06.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
whoisadityaa,Is it to buy the building AHAHAH,2020-08-25T08:09:53.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
mmmmelvin,"Rumour has it that if you scan this QR code,  you wont need to scan anymore SafeEntry QR codes for a year",2020-08-25T08:14:58.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
allaroundsingapore_food,Scan for holographic experience,2020-08-25T08:19:55.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
luoxieer18,👍😄,2020-08-25T08:28:33.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
bryanlee_sk,For the convenience of safe entry scanning?,2020-08-25T08:30:11.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
cheng_jung6,Its gonna be a rick roll,2020-08-25T08:52:01.000Z,https://www.instagram.com/p/CEThDLXF4CW/,2020-08-25T08:05:25.000Z,"Saw this giant QR code outside @singaporeartmuseum? ⁣
You won't be able to get safe entry into the building with it yet though, as it is currently under renovation. ⁣
Find out what the QR code is about - link in bio @straits_times⁣
📸: Shintaro Tay⁣
#StraitsTimes #SafeEntry #SingaporeArtMuseum"
