username,comments,timestamp,postUrl,pubDate,description
jjasmineloh,So much easier then!! 🙌,2021-02-02T04:57:57.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
helowriter,Sounds better..?,2021-02-02T04:53:07.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
phil.che,OMFG THANK YOU,2021-02-02T04:59:09.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
sgb.legends,Screenshot and show the guards,2021-02-02T04:57:43.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
sanyuhesselink,Off bluetooth after entering mall.,2021-02-02T07:02:26.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
lovingmylifeworldpeace,👏🏼👏🏼👏🏼👍🏼👍🏼👍🏼❤️❤️ Singapore rocks,2021-02-02T05:03:20.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
itznat.yc,"what happens if u turn off the bluetooth, will the app still record ur location",2021-02-02T11:52:42.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
deus_est_mortuus_,To bad. I dont even scan,2021-02-02T04:54:48.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
arcadiansai,bye stop,2021-02-02T09:13:41.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
iclickmedia,👍,2021-02-02T06:07:21.000Z,https://www.instagram.com/p/CKxutMWlcI3/,2021-02-02T04:50:19.000Z,"A single check-in with the TraceTogether app or token will suffice, with exceptions made to places where the Covid-19 transmission risk is higher.

Link in bio @straits_times
📸: Lim Yaohui
#StraitsTimes #Covid19 #TraceTogether #SafeEntry #coronavirus"
